Date,all_homes
1996-04-30,79500.0
1996-05-31,79200.0
1996-06-30,79500.0
1996-07-31,79700.0
1996-08-31,79700.0
1996-09-30,79700.0
1996-10-31,80100.0
1996-11-30,80600.0
1996-12-31,80800.0
1997-01-31,80700.0
1997-02-28,80900.0
1997-03-31,81300.0
1997-04-30,81300.0
1997-05-31,80900.0
1997-06-30,80900.0
1997-07-31,81100.0
1997-08-31,81400.0
1997-09-30,81700.0
1997-10-31,81800.0
1997-11-30,81900.0
1997-12-31,82400.0
1998-01-31,82900.0
1998-02-28,83400.0
1998-03-31,84000.0
1998-04-30,84500.0
1998-05-31,84700.0
1998-06-30,84800.0
1998-07-31,85100.0
1998-08-31,85500.0
1998-09-30,85700.0
1998-10-31,85900.0
1998-11-30,86200.0
1998-12-31,86700.0
1999-01-31,87000.0
1999-02-28,87500.0
1999-03-31,88000.0
1999-04-30,88700.0
1999-05-31,89400.0
1999-06-30,90000.0
1999-07-31,90200.0
1999-08-31,90300.0
1999-09-30,90400.0
1999-10-31,90600.0
1999-11-30,90800.0
1999-12-31,90800.0
2000-01-31,90900.0
2000-02-29,91000.0
2000-03-31,90900.0
2000-04-30,91200.0
2000-05-31,91700.0
2000-06-30,92000.0
2000-07-31,92200.0
2000-08-31,92600.0
2000-09-30,92800.0
2000-10-31,92600.0
2000-11-30,92600.0
2000-12-31,92800.0
2001-01-31,93000.0
2001-02-28,93100.0
2001-03-31,93400.0
2001-04-30,93800.0
2001-05-31,94300.0
2001-06-30,94700.0
2001-07-31,94700.0
2001-08-31,94600.0
2001-09-30,94800.0
2001-10-31,95100.0
2001-11-30,95500.0
2001-12-31,96000.0
2002-01-31,96600.0
2002-02-28,96900.0
2002-03-31,96800.0
2002-04-30,96500.0
2002-05-31,96400.0
2002-06-30,96700.0
2002-07-31,97000.0
2002-08-31,97000.0
2002-09-30,97000.0
2002-10-31,97200.0
2002-11-30,97400.0
2002-12-31,97500.0
2003-01-31,97900.0
2003-02-28,98700.0
2003-03-31,99200.0
2003-04-30,99400.0
2003-05-31,99200.0
2003-06-30,98900.0
2003-07-31,99100.0
2003-08-31,99800.0
2003-09-30,100700.0
2003-10-31,101400.0
2003-11-30,101800.0
2003-12-31,102200.0
2004-01-31,102300.0
2004-02-29,102200.0
2004-03-31,102400.0
2004-04-30,102900.0
2004-05-31,103800.0
2004-06-30,104900.0
2004-07-31,105800.0
2004-08-31,106800.0
2004-09-30,107800.0
2004-10-31,108800.0
2004-11-30,109600.0
2004-12-31,110400.0
2005-01-31,111400.0
2005-02-28,112200.0
2005-03-31,113700.0
2005-04-30,115600.0
2005-05-31,116900.0
2005-06-30,117300.0
2005-07-31,117900.0
2005-08-31,118500.0
2005-09-30,119000.0
2005-10-31,119600.0
2005-11-30,120400.0
2005-12-31,121500.0
2006-01-31,122800.0
2006-02-28,123900.0
2006-03-31,124500.0
2006-04-30,124800.0
2006-05-31,125200.0
2006-06-30,125700.0
2006-07-31,126000.0
2006-08-31,126100.0
2006-09-30,126100.0
2006-10-31,126100.0
2006-11-30,126200.0
2006-12-31,126600.0
2007-01-31,127500.0
2007-02-28,128100.0
2007-03-31,128100.0
2007-04-30,128100.0
2007-05-31,128100.0
2007-06-30,128500.0
2007-07-31,128900.0
2007-08-31,129200.0
2007-09-30,129400.0
2007-10-31,129300.0
2007-11-30,128800.0
2007-12-31,128600.0
2008-01-31,128600.0
2008-02-29,128500.0
2008-03-31,128100.0
2008-04-30,128100.0
2008-05-31,128100.0
2008-06-30,128600.0
2008-07-31,129500.0
2008-08-31,129900.0
2008-09-30,129800.0
2008-10-31,130000.0
2008-11-30,130400.0
2008-12-31,131300.0
2009-01-31,132600.0
2009-02-28,133400.0
2009-03-31,133700.0
2009-04-30,133800.0
2009-05-31,133900.0
2009-06-30,133800.0
2009-07-31,133300.0
2009-08-31,132400.0
2009-09-30,131900.0
2009-10-31,132000.0
2009-11-30,132900.0
2009-12-31,129700.0
2010-01-31,123800.0
2010-02-28,120300.0
2010-03-31,120100.0
2010-04-30,119300.0
2010-05-31,118500.0
2010-06-30,117500.0
2010-07-31,116900.0
2010-08-31,116500.0
2010-09-30,116000.0
2010-10-31,115400.0
2010-11-30,114700.0
2010-12-31,115000.0
2011-01-31,115900.0
2011-02-28,116200.0
2011-03-31,115700.0
2011-04-30,115600.0
2011-05-31,115400.0
2011-06-30,115000.0
2011-07-31,114500.0
2011-08-31,114900.0
2011-09-30,116100.0
2011-10-31,116500.0
2011-11-30,115800.0
2011-12-31,115800.0
2012-01-31,116400.0
2012-02-29,116900.0
2012-03-31,116700.0
2012-04-30,116700.0
2012-05-31,116800.0
2012-06-30,116800.0
2012-07-31,116700.0
2012-08-31,116400.0
2012-09-30,115900.0
2012-10-31,115500.0
2012-11-30,115300.0
2012-12-31,115300.0
2013-01-31,115500.0
2013-02-28,115800.0
2013-03-31,116000.0
2013-04-30,115900.0
2013-05-31,116000.0
2013-06-30,116100.0
2013-07-31,116200.0
2013-08-31,116100.0
2013-09-30,116000.0
2013-10-31,115900.0
2013-11-30,116100.0
2013-12-31,116700.0
2014-01-31,117300.0
2014-02-28,117600.0
2014-03-31,117600.0
2014-04-30,117500.0
2014-05-31,117400.0
2014-06-30,117300.0
2014-07-31,117600.0
2014-08-31,117600.0
2014-09-30,117200.0
2014-10-31,117200.0
2014-11-30,117500.0
2014-12-31,117600.0
2015-01-31,117900.0
2015-02-28,118200.0
2015-03-31,118400.0
2015-04-30,118700.0
2015-05-31,118900.0
2015-06-30,119100.0
2015-07-31,119500.0
2015-08-31,119600.0
2015-09-30,119700.0
2015-10-31,119800.0
2015-11-30,119800.0
2015-12-31,120000.0
2016-01-31,120600.0
2016-02-29,120900.0
2016-03-31,121100.0
2016-04-30,121300.0
2016-05-31,121400.0
2016-06-30,121600.0
2016-07-31,121800.0
2016-08-31,121900.0
2016-09-30,121900.0
2016-10-31,122100.0
2016-11-30,122400.0
2016-12-31,123000.0
2017-01-31,123900.0
2017-02-28,124400.0
2017-03-31,124700.0
2017-04-30,125000.0
2017-05-31,125300.0
2017-06-30,125300.0
2017-07-31,125300.0
2017-08-31,125600.0
2017-09-30,126000.0
2017-10-31,126200.0
2017-11-30,126500.0
2017-12-31,127200.0
