Date,all_homes
1996-04-30,103600.0
1996-05-31,103900.0
1996-06-30,104100.0
1996-07-31,104400.0
1996-08-31,104600.0
1996-09-30,104900.0
1996-10-31,105100.0
1996-11-30,105400.0
1996-12-31,105700.0
1997-01-31,106300.0
1997-02-28,106900.0
1997-03-31,107200.0
1997-04-30,107400.0
1997-05-31,107600.0
1997-06-30,108000.0
1997-07-31,108300.0
1997-08-31,108700.0
1997-09-30,109200.0
1997-10-31,109700.0
1997-11-30,110000.0
1997-12-31,110400.0
1998-01-31,111100.0
1998-02-28,111900.0
1998-03-31,112300.0
1998-04-30,112600.0
1998-05-31,113000.0
1998-06-30,113800.0
1998-07-31,114500.0
1998-08-31,114800.0
1998-09-30,114900.0
1998-10-31,115300.0
1998-11-30,115800.0
1998-12-31,116200.0
1999-01-31,116600.0
1999-02-28,116800.0
1999-03-31,117300.0
1999-04-30,118000.0
1999-05-31,118400.0
1999-06-30,118600.0
1999-07-31,118800.0
1999-08-31,119300.0
1999-09-30,119900.0
1999-10-31,120400.0
1999-11-30,121100.0
1999-12-31,122000.0
2000-01-31,122900.0
2000-02-29,124000.0
2000-03-31,125100.0
2000-04-30,125900.0
2000-05-31,126600.0
2000-06-30,127200.0
2000-07-31,127600.0
2000-08-31,128300.0
2000-09-30,129000.0
2000-10-31,129500.0
2000-11-30,129900.0
2000-12-31,130500.0
2001-01-31,131100.0
2001-02-28,131600.0
2001-03-31,132200.0
2001-04-30,132600.0
2001-05-31,132800.0
2001-06-30,133000.0
2001-07-31,133300.0
2001-08-31,133500.0
2001-09-30,133600.0
2001-10-31,134100.0
2001-11-30,134900.0
2001-12-31,135600.0
2002-01-31,136200.0
2002-02-28,136900.0
2002-03-31,137500.0
2002-04-30,138300.0
2002-05-31,139100.0
2002-06-30,139700.0
2002-07-31,140300.0
2002-08-31,141100.0
2002-09-30,141800.0
2002-10-31,142500.0
2002-11-30,143300.0
2002-12-31,144100.0
2003-01-31,145000.0
2003-02-28,145900.0
2003-03-31,146700.0
2003-04-30,147400.0
2003-05-31,148200.0
2003-06-30,149100.0
2003-07-31,149900.0
2003-08-31,150600.0
2003-09-30,151300.0
2003-10-31,152000.0
2003-11-30,152900.0
2003-12-31,154100.0
2004-01-31,155200.0
2004-02-29,156400.0
2004-03-31,157800.0
2004-04-30,158900.0
2004-05-31,160200.0
2004-06-30,162000.0
2004-07-31,164200.0
2004-08-31,167000.0
2004-09-30,170400.0
2004-10-31,174200.0
2004-11-30,178100.0
2004-12-31,182300.0
2005-01-31,186800.0
2005-02-28,191500.0
2005-03-31,197000.0
2005-04-30,203800.0
2005-05-31,211500.0
2005-06-30,219500.0
2005-07-31,227600.0
2005-08-31,234900.0
2005-09-30,241000.0
2005-10-31,246400.0
2005-11-30,251000.0
2005-12-31,254500.0
2006-01-31,257200.0
2006-02-28,259600.0
2006-03-31,261200.0
2006-04-30,261900.0
2006-05-31,262000.0
2006-06-30,261900.0
2006-07-31,261400.0
2006-08-31,260500.0
2006-09-30,259500.0
2006-10-31,258300.0
2006-11-30,256900.0
2006-12-31,255800.0
2007-01-31,255000.0
2007-02-28,254000.0
2007-03-31,252700.0
2007-04-30,251300.0
2007-05-31,249700.0
2007-06-30,247500.0
2007-07-31,245300.0
2007-08-31,243500.0
2007-09-30,241800.0
2007-10-31,239600.0
2007-11-30,236900.0
2007-12-31,234000.0
2008-01-31,231000.0
2008-02-29,227600.0
2008-03-31,223700.0
2008-04-30,220000.0
2008-05-31,216400.0
2008-06-30,212900.0
2008-07-31,209700.0
2008-08-31,206800.0
2008-09-30,204400.0
2008-10-31,202100.0
2008-11-30,199800.0
2008-12-31,197700.0
2009-01-31,195600.0
2009-02-28,193300.0
2009-03-31,190700.0
2009-04-30,187900.0
2009-05-31,185200.0
2009-06-30,182200.0
2009-07-31,179200.0
2009-08-31,176200.0
2009-09-30,173400.0
2009-10-31,170700.0
2009-11-30,168200.0
2009-12-31,165000.0
2010-01-31,161300.0
2010-02-28,158900.0
2010-03-31,157800.0
2010-04-30,156600.0
2010-05-31,155400.0
2010-06-30,154200.0
2010-07-31,152700.0
2010-08-31,150600.0
2010-09-30,148200.0
2010-10-31,146400.0
2010-11-30,145000.0
2010-12-31,143600.0
2011-01-31,142400.0
2011-02-28,141300.0
2011-03-31,140300.0
2011-04-30,138800.0
2011-05-31,136800.0
2011-06-30,134900.0
2011-07-31,133400.0
2011-08-31,132500.0
2011-09-30,132200.0
2011-10-31,132200.0
2011-11-30,132400.0
2011-12-31,133400.0
2012-01-31,134900.0
2012-02-29,136500.0
2012-03-31,137900.0
2012-04-30,139700.0
2012-05-31,142000.0
2012-06-30,144600.0
2012-07-31,147300.0
2012-08-31,149800.0
2012-09-30,151800.0
2012-10-31,153300.0
2012-11-30,154900.0
2012-12-31,156500.0
2013-01-31,158300.0
2013-02-28,160100.0
2013-03-31,162200.0
2013-04-30,164200.0
2013-05-31,166200.0
2013-06-30,168500.0
2013-07-31,171200.0
2013-08-31,173400.0
2013-09-30,175200.0
2013-10-31,177000.0
2013-11-30,178500.0
2013-12-31,180000.0
2014-01-31,181400.0
2014-02-28,182100.0
2014-03-31,182300.0
2014-04-30,182700.0
2014-05-31,183400.0
2014-06-30,183600.0
2014-07-31,183600.0
2014-08-31,184000.0
2014-09-30,184700.0
2014-10-31,185400.0
2014-11-30,186300.0
2014-12-31,187400.0
2015-01-31,188700.0
2015-02-28,189700.0
2015-03-31,190700.0
2015-04-30,191800.0
2015-05-31,192700.0
2015-06-30,193500.0
2015-07-31,194500.0
2015-08-31,196000.0
2015-09-30,197500.0
2015-10-31,198700.0
2015-11-30,200000.0
2015-12-31,201300.0
2016-01-31,202600.0
2016-02-29,203900.0
2016-03-31,205200.0
2016-04-30,206500.0
2016-05-31,207500.0
2016-06-30,209000.0
2016-07-31,210400.0
2016-08-31,211500.0
2016-09-30,212700.0
2016-10-31,214300.0
2016-11-30,215800.0
2016-12-31,217500.0
2017-01-31,218800.0
2017-02-28,219900.0
2017-03-31,220800.0
2017-04-30,221600.0
2017-05-31,222600.0
2017-06-30,224000.0
2017-07-31,225100.0
2017-08-31,226300.0
2017-09-30,227800.0
2017-10-31,229600.0
2017-11-30,230800.0
2017-12-31,231100.0
