Date,all_homes
1996-04-30,64400.0
1996-05-31,64400.0
1996-06-30,64400.0
1996-07-31,64300.0
1996-08-31,64100.0
1996-09-30,64100.0
1996-10-31,64300.0
1996-11-30,64500.0
1996-12-31,64700.0
1997-01-31,65000.0
1997-02-28,65300.0
1997-03-31,65800.0
1997-04-30,66500.0
1997-05-31,66900.0
1997-06-30,67000.0
1997-07-31,67100.0
1997-08-31,67200.0
1997-09-30,67400.0
1997-10-31,67700.0
1997-11-30,67900.0
1997-12-31,68200.0
1998-01-31,68300.0
1998-02-28,68400.0
1998-03-31,68700.0
1998-04-30,69000.0
1998-05-31,68900.0
1998-06-30,69000.0
1998-07-31,69200.0
1998-08-31,69400.0
1998-09-30,69500.0
1998-10-31,69700.0
1998-11-30,69800.0
1998-12-31,69900.0
1999-01-31,69700.0
1999-02-28,69700.0
1999-03-31,69700.0
1999-04-30,69700.0
1999-05-31,69800.0
1999-06-30,69700.0
1999-07-31,69900.0
1999-08-31,70200.0
1999-09-30,70500.0
1999-10-31,70500.0
1999-11-30,70600.0
1999-12-31,70900.0
2000-01-31,71100.0
2000-02-29,71300.0
2000-03-31,71600.0
2000-04-30,71600.0
2000-05-31,71900.0
2000-06-30,72200.0
2000-07-31,72500.0
2000-08-31,72800.0
2000-09-30,73100.0
2000-10-31,73400.0
2000-11-30,73600.0
2000-12-31,73700.0
2001-01-31,74200.0
2001-02-28,74700.0
2001-03-31,74900.0
2001-04-30,75200.0
2001-05-31,75600.0
2001-06-30,75900.0
2001-07-31,76100.0
2001-08-31,76200.0
2001-09-30,76100.0
2001-10-31,76100.0
2001-11-30,76100.0
2001-12-31,76100.0
2002-01-31,76100.0
2002-02-28,76200.0
2002-03-31,76400.0
2002-04-30,76700.0
2002-05-31,76700.0
2002-06-30,76800.0
2002-07-31,77200.0
2002-08-31,77700.0
2002-09-30,78200.0
2002-10-31,78600.0
2002-11-30,79000.0
2002-12-31,79300.0
2003-01-31,79600.0
2003-02-28,79900.0
2003-03-31,80400.0
2003-04-30,80800.0
