Date,all_homes
1996-04-30,157900.0
1996-05-31,157800.0
1996-06-30,157500.0
1996-07-31,157300.0
1996-08-31,157000.0
1996-09-30,156800.0
1996-10-31,156900.0
1996-11-30,157200.0
1996-12-31,157500.0
1997-01-31,158100.0
1997-02-28,159000.0
1997-03-31,159800.0
1997-04-30,160000.0
1997-05-31,160300.0
1997-06-30,160600.0
1997-07-31,161000.0
1997-08-31,161300.0
1997-09-30,161900.0
1997-10-31,162600.0
1997-11-30,163700.0
1997-12-31,165000.0
1998-01-31,166400.0
1998-02-28,168100.0
1998-03-31,168100.0
1998-04-30,168000.0
1998-05-31,169500.0
1998-06-30,171900.0
1998-07-31,173000.0
1998-08-31,174300.0
1998-09-30,175300.0
1998-10-31,176600.0
1998-11-30,177900.0
1998-12-31,179000.0
1999-01-31,180000.0
1999-02-28,181100.0
1999-03-31,182800.0
1999-04-30,184400.0
1999-05-31,185700.0
1999-06-30,187000.0
1999-07-31,188800.0
1999-08-31,190600.0
1999-09-30,192300.0
1999-10-31,194300.0
1999-11-30,196300.0
1999-12-31,198700.0
2000-01-31,201300.0
2000-02-29,204200.0
2000-03-31,206900.0
2000-04-30,209600.0
2000-05-31,212300.0
2000-06-30,215000.0
2000-07-31,217500.0
2000-08-31,219900.0
2000-09-30,222400.0
2000-10-31,225000.0
2000-11-30,227500.0
2000-12-31,230000.0
2001-01-31,232900.0
2001-02-28,235900.0
2001-03-31,238700.0
2001-04-30,241400.0
2001-05-31,243600.0
2001-06-30,245500.0
2001-07-31,247700.0
2001-08-31,250000.0
2001-09-30,252200.0
2001-10-31,254100.0
2001-11-30,256200.0
2001-12-31,258600.0
2002-01-31,261300.0
2002-02-28,264100.0
2002-03-31,267000.0
2002-04-30,270100.0
2002-05-31,273600.0
2002-06-30,277200.0
2002-07-31,281200.0
2002-08-31,285500.0
2002-09-30,290100.0
2002-10-31,294400.0
2002-11-30,298800.0
2002-12-31,303200.0
2003-01-31,307500.0
2003-02-28,311500.0
2003-03-31,315900.0
2003-04-30,320100.0
2003-05-31,324000.0
2003-06-30,327500.0
2003-07-31,331500.0
2003-08-31,336000.0
2003-09-30,341200.0
2003-10-31,346700.0
2003-11-30,352500.0
2003-12-31,358900.0
2004-01-31,365600.0
2004-02-29,372600.0
