Date,all_homes
1996-04-30,128100.0
1996-05-31,128400.0
1996-06-30,128700.0
1996-07-31,128900.0
1996-08-31,129300.0
1996-09-30,129800.0
1996-10-31,130300.0
1996-11-30,130800.0
1996-12-31,131200.0
1997-01-31,131800.0
1997-02-28,132600.0
1997-03-31,133200.0
1997-04-30,133600.0
1997-05-31,134000.0
1997-06-30,134600.0
1997-07-31,135200.0
1997-08-31,135800.0
1997-09-30,136400.0
1997-10-31,137200.0
1997-11-30,137900.0
1997-12-31,138700.0
1998-01-31,139700.0
1998-02-28,140500.0
1998-03-31,141000.0
1998-04-30,141500.0
1998-05-31,141800.0
1998-06-30,142200.0
1998-07-31,142800.0
1998-08-31,143400.0
1998-09-30,144000.0
1998-10-31,144600.0
1998-11-30,145400.0
1998-12-31,146400.0
1999-01-31,147600.0
1999-02-28,148900.0
1999-03-31,150400.0
1999-04-30,152000.0
1999-05-31,153600.0
1999-06-30,155100.0
1999-07-31,156700.0
1999-08-31,158200.0
1999-09-30,159500.0
1999-10-31,160900.0
1999-11-30,162500.0
1999-12-31,163900.0
2000-01-31,165200.0
2000-02-29,166900.0
2000-03-31,168500.0
2000-04-30,170000.0
2000-05-31,171900.0
2000-06-30,173600.0
2000-07-31,175000.0
2000-08-31,176600.0
2000-09-30,178300.0
2000-10-31,180000.0
2000-11-30,181600.0
2000-12-31,183200.0
2001-01-31,184800.0
2001-02-28,186500.0
2001-03-31,188200.0
2001-04-30,189700.0
2001-05-31,191100.0
2001-06-30,192400.0
2001-07-31,193600.0
2001-08-31,194800.0
2001-09-30,195800.0
2001-10-31,196400.0
2001-11-30,197000.0
2001-12-31,197800.0
2002-01-31,198300.0
2002-02-28,198600.0
2002-03-31,199100.0
2002-04-30,199900.0
2002-05-31,200700.0
2002-06-30,201300.0
2002-07-31,202100.0
2002-08-31,202900.0
2002-09-30,203500.0
2002-10-31,203900.0
2002-11-30,204400.0
2002-12-31,204900.0
2003-01-31,205400.0
2003-02-28,205900.0
2003-03-31,206100.0
2003-04-30,206200.0
2003-05-31,206300.0
2003-06-30,206500.0
2003-07-31,206600.0
2003-08-31,206900.0
2003-09-30,207500.0
2003-10-31,208200.0
2003-11-30,208800.0
2003-12-31,209300.0
2004-01-31,209800.0
2004-02-29,210400.0
2004-03-31,210900.0
2004-04-30,211400.0
2004-05-31,211800.0
2004-06-30,212200.0
2004-07-31,212600.0
2004-08-31,213000.0
2004-09-30,213400.0
2004-10-31,214000.0
