Date,all_homes
1996-04-30,132000.0
1996-05-31,132400.0
1996-06-30,132700.0
1996-07-31,132900.0
1996-08-31,133100.0
1996-09-30,133200.0
1996-10-31,133100.0
1996-11-30,133200.0
1996-12-31,133500.0
1997-01-31,134000.0
1997-02-28,134600.0
1997-03-31,135100.0
1997-04-30,135300.0
1997-05-31,135600.0
1997-06-30,135900.0
1997-07-31,136100.0
1997-08-31,136400.0
1997-09-30,136700.0
1997-10-31,137100.0
1997-11-30,137600.0
1997-12-31,138200.0
1998-01-31,139000.0
1998-02-28,139800.0
1998-03-31,140700.0
1998-04-30,141200.0
1998-05-31,141300.0
1998-06-30,141400.0
1998-07-31,141500.0
1998-08-31,141800.0
1998-09-30,142100.0
1998-10-31,142400.0
1998-11-30,143100.0
1998-12-31,144000.0
1999-01-31,145000.0
1999-02-28,145900.0
1999-03-31,146800.0
1999-04-30,147600.0
1999-05-31,148500.0
1999-06-30,149500.0
1999-07-31,150500.0
1999-08-31,151200.0
1999-09-30,152300.0
1999-10-31,153500.0
1999-11-30,154600.0
1999-12-31,155500.0
2000-01-31,157000.0
2000-02-29,158700.0
2000-03-31,159900.0
2000-04-30,160700.0
2000-05-31,161800.0
2000-06-30,163100.0
2000-07-31,164500.0
2000-08-31,165500.0
2000-09-30,166400.0
2000-10-31,167200.0
2000-11-30,168400.0
2000-12-31,169500.0
2001-01-31,170700.0
2001-02-28,172200.0
2001-03-31,173700.0
2001-04-30,175100.0
2001-05-31,176300.0
2001-06-30,177400.0
2001-07-31,178600.0
2001-08-31,180200.0
2001-09-30,182000.0
2001-10-31,183800.0
2001-11-30,185300.0
2001-12-31,186900.0
2002-01-31,188500.0
2002-02-28,189900.0
2002-03-31,191300.0
2002-04-30,193100.0
2002-05-31,195300.0
2002-06-30,197400.0
2002-07-31,199900.0
2002-08-31,202400.0
2002-09-30,204500.0
2002-10-31,206600.0
2002-11-30,209100.0
2002-12-31,211500.0
2003-01-31,213800.0
2003-02-28,216100.0
2003-03-31,218400.0
2003-04-30,220600.0
2003-05-31,222400.0
2003-06-30,224100.0
2003-07-31,225900.0
2003-08-31,227700.0
2003-09-30,229500.0
2003-10-31,231500.0
2003-11-30,233500.0
2003-12-31,235500.0
2004-01-31,237300.0
2004-02-29,239200.0
2004-03-31,241400.0
2004-04-30,244000.0
2004-05-31,246900.0
2004-06-30,250200.0
2004-07-31,253200.0
2004-08-31,256200.0
2004-09-30,259300.0
2004-10-31,262000.0
2004-11-30,264300.0
2004-12-31,266500.0
2005-01-31,268700.0
2005-02-28,270900.0
2005-03-31,273000.0
2005-04-30,275000.0
2005-05-31,277200.0
2005-06-30,279200.0
2005-07-31,281200.0
2005-08-31,283500.0
2005-09-30,285500.0
2005-10-31,287200.0
2005-11-30,289100.0
2005-12-31,290500.0
2006-01-31,291300.0
2006-02-28,291800.0
2006-03-31,292500.0
2006-04-30,293000.0
2006-05-31,293300.0
2006-06-30,293300.0
2006-07-31,293200.0
