Date,all_homes
1996-04-30,106800.0
1996-05-31,107200.0
1996-06-30,107500.0
1996-07-31,108000.0
1996-08-31,108800.0
1996-09-30,109300.0
1996-10-31,109500.0
1996-11-30,109700.0
1996-12-31,109800.0
1997-01-31,109800.0
1997-02-28,109800.0
1997-03-31,109900.0
1997-04-30,110000.0
1997-05-31,110200.0
1997-06-30,110100.0
1997-07-31,110200.0
1997-08-31,110200.0
1997-09-30,110600.0
1997-10-31,111000.0
1997-11-30,111600.0
1997-12-31,112200.0
1998-01-31,112800.0
1998-02-28,113200.0
1998-03-31,113700.0
1998-04-30,114200.0
1998-05-31,114300.0
1998-06-30,114200.0
1998-07-31,114100.0
1998-08-31,114100.0
1998-09-30,114000.0
1998-10-31,113700.0
1998-11-30,113600.0
1998-12-31,113600.0
1999-01-31,114000.0
1999-02-28,114800.0
1999-03-31,115600.0
1999-04-30,116000.0
1999-05-31,116700.0
1999-06-30,117400.0
1999-07-31,117900.0
1999-08-31,118000.0
1999-09-30,118200.0
1999-10-31,118700.0
1999-11-30,119300.0
1999-12-31,119800.0
2000-01-31,120600.0
2000-02-29,121800.0
2000-03-31,122700.0
2000-04-30,123200.0
2000-05-31,123800.0
2000-06-30,124600.0
2000-07-31,125300.0
2000-08-31,125900.0
2000-09-30,126600.0
2000-10-31,127200.0
2000-11-30,127800.0
2000-12-31,128300.0
2001-01-31,129000.0
2001-02-28,129800.0
2001-03-31,130600.0
2001-04-30,131000.0
2001-05-31,131300.0
2001-06-30,131700.0
2001-07-31,132200.0
2001-08-31,132800.0
2001-09-30,133200.0
2001-10-31,133700.0
2001-11-30,134400.0
2001-12-31,135500.0
2002-01-31,136600.0
2002-02-28,137700.0
2002-03-31,138800.0
2002-04-30,140100.0
2002-05-31,141200.0
2002-06-30,142400.0
2002-07-31,143800.0
2002-08-31,145400.0
2002-09-30,146900.0
2002-10-31,148500.0
2002-11-30,149900.0
2002-12-31,151400.0
2003-01-31,153000.0
2003-02-28,154600.0
2003-03-31,156000.0
2003-04-30,157300.0
2003-05-31,158700.0
2003-06-30,159700.0
2003-07-31,160500.0
2003-08-31,161700.0
2003-09-30,162900.0
2003-10-31,164000.0
2003-11-30,165500.0
2003-12-31,167200.0
2004-01-31,168600.0
2004-02-29,170000.0
2004-03-31,171500.0
2004-04-30,173400.0
2004-05-31,175500.0
2004-06-30,177800.0
2004-07-31,180000.0
2004-08-31,182400.0
2004-09-30,184800.0
2004-10-31,187200.0
2004-11-30,189500.0
2004-12-31,192000.0
2005-01-31,194400.0
2005-02-28,196600.0
2005-03-31,198800.0
2005-04-30,201300.0
2005-05-31,204300.0
2005-06-30,207600.0
2005-07-31,210800.0
2005-08-31,213900.0
2005-09-30,217300.0
2005-10-31,220300.0
2005-11-30,222400.0
2005-12-31,224100.0
2006-01-31,225500.0
2006-02-28,226500.0
2006-03-31,227300.0
2006-04-30,228200.0
2006-05-31,229100.0
2006-06-30,229900.0
2006-07-31,230500.0
2006-08-31,230600.0
2006-09-30,230800.0
2006-10-31,231100.0
2006-11-30,231600.0
2006-12-31,232100.0
2007-01-31,232900.0
2007-02-28,233300.0
2007-03-31,233600.0
2007-04-30,234000.0
2007-05-31,234100.0
2007-06-30,233900.0
2007-07-31,233800.0
2007-08-31,233500.0
2007-09-30,233000.0
2007-10-31,232100.0
2007-11-30,230900.0
2007-12-31,230000.0
2008-01-31,229700.0
2008-02-29,229100.0
2008-03-31,227700.0
2008-04-30,226100.0
2008-05-31,224500.0
2008-06-30,223100.0
2008-07-31,222200.0
2008-08-31,221700.0
2008-09-30,221600.0
2008-10-31,221500.0
2008-11-30,221000.0
2008-12-31,221100.0
2009-01-31,222100.0
2009-02-28,222800.0
2009-03-31,222600.0
2009-04-30,222300.0
2009-05-31,221800.0
2009-06-30,221400.0
2009-07-31,221500.0
2009-08-31,221500.0
2009-09-30,221300.0
2009-10-31,221100.0
2009-11-30,221800.0
2009-12-31,218300.0
2010-01-31,212000.0
2010-02-28,208200.0
2010-03-31,208600.0
2010-04-30,208800.0
2010-05-31,208500.0
2010-06-30,207400.0
2010-07-31,205700.0
2010-08-31,203700.0
2010-09-30,200900.0
2010-10-31,198800.0
2010-11-30,198100.0
2010-12-31,198700.0
2011-01-31,199000.0
2011-02-28,198700.0
2011-03-31,197100.0
2011-04-30,195400.0
2011-05-31,193900.0
2011-06-30,192600.0
2011-07-31,191400.0
2011-08-31,190100.0
2011-09-30,189000.0
2011-10-31,188000.0
2011-11-30,186900.0
2011-12-31,186500.0
2012-01-31,186500.0
2012-02-29,186600.0
2012-03-31,186300.0
2012-04-30,185800.0
2012-05-31,185300.0
2012-06-30,185100.0
2012-07-31,185100.0
2012-08-31,185600.0
2012-09-30,186900.0
2012-10-31,187500.0
2012-11-30,186800.0
2012-12-31,186500.0
2013-01-31,187000.0
2013-02-28,187300.0
2013-03-31,187700.0
2013-04-30,188600.0
2013-05-31,189500.0
2013-06-30,190300.0
2013-07-31,191200.0
2013-08-31,191500.0
2013-09-30,191200.0
2013-10-31,190900.0
2013-11-30,190700.0
2013-12-31,191300.0
2014-01-31,192800.0
2014-02-28,194200.0
2014-03-31,194400.0
2014-04-30,194600.0
2014-05-31,195500.0
2014-06-30,196500.0
2014-07-31,197200.0
2014-08-31,197600.0
2014-09-30,198200.0
2014-10-31,198700.0
2014-11-30,198600.0
2014-12-31,198400.0
2015-01-31,198700.0
2015-02-28,199400.0
2015-03-31,199900.0
2015-04-30,200400.0
2015-05-31,200600.0
2015-06-30,201200.0
2015-07-31,202300.0
