Date,all_homes
1996-04-30,86300.0
1996-05-31,86600.0
1996-06-30,86700.0
1996-07-31,86600.0
1996-08-31,86500.0
1996-09-30,86500.0
1996-10-31,86400.0
1996-11-30,86700.0
1996-12-31,86900.0
1997-01-31,87200.0
1997-02-28,87700.0
1997-03-31,88200.0
1997-04-30,88200.0
1997-05-31,88300.0
1997-06-30,88700.0
1997-07-31,89100.0
1997-08-31,89300.0
1997-09-30,89600.0
1997-10-31,89900.0
1997-11-30,90200.0
1997-12-31,90500.0
1998-01-31,91100.0
1998-02-28,91700.0
1998-03-31,92200.0
1998-04-30,92400.0
1998-05-31,92600.0
1998-06-30,92800.0
1998-07-31,92900.0
1998-08-31,93200.0
1998-09-30,93300.0
1998-10-31,93500.0
1998-11-30,93900.0
1998-12-31,94400.0
1999-01-31,95000.0
1999-02-28,95600.0
1999-03-31,96200.0
1999-04-30,96600.0
1999-05-31,96800.0
1999-06-30,97100.0
1999-07-31,97500.0
1999-08-31,98200.0
1999-09-30,98900.0
1999-10-31,99500.0
1999-11-30,99900.0
1999-12-31,100600.0
2000-01-31,101400.0
2000-02-29,102300.0
2000-03-31,102800.0
2000-04-30,103500.0
2000-05-31,104300.0
2000-06-30,105100.0
2000-07-31,105800.0
2000-08-31,106500.0
2000-09-30,107200.0
2000-10-31,108000.0
2000-11-30,108800.0
2000-12-31,109600.0
2001-01-31,110500.0
2001-02-28,111200.0
2001-03-31,111900.0
2001-04-30,112900.0
2001-05-31,113900.0
2001-06-30,114900.0
2001-07-31,115800.0
2001-08-31,116700.0
2001-09-30,117600.0
2001-10-31,118500.0
2001-11-30,119600.0
2001-12-31,120600.0
2002-01-31,121500.0
2002-02-28,122600.0
2002-03-31,123900.0
2002-04-30,125000.0
2002-05-31,126000.0
2002-06-30,127000.0
2002-07-31,128200.0
2002-08-31,129100.0
2002-09-30,130200.0
2002-10-31,131500.0
2002-11-30,132700.0
2002-12-31,133900.0
2003-01-31,135400.0
2003-02-28,136700.0
2003-03-31,138000.0
2003-04-30,139300.0
2003-05-31,140500.0
2003-06-30,141800.0
2003-07-31,143100.0
2003-08-31,144500.0
2003-09-30,146000.0
2003-10-31,147500.0
2003-11-30,149100.0
2003-12-31,150700.0
2004-01-31,152500.0
2004-02-29,154500.0
2004-03-31,156500.0
2004-04-30,158800.0
2004-05-31,161400.0
2004-06-30,164100.0
2004-07-31,167100.0
2004-08-31,170500.0
2004-09-30,174000.0
2004-10-31,177300.0
2004-11-30,180600.0
2004-12-31,184300.0
2005-01-31,188000.0
2005-02-28,192000.0
2005-03-31,196600.0
2005-04-30,201700.0
2005-05-31,207200.0
2005-06-30,212900.0
2005-07-31,218500.0
2005-08-31,224000.0
2005-09-30,229200.0
