Date,all_homes
1996-04-30,92000.0
1996-05-31,92400.0
1996-06-30,92600.0
1996-07-31,92700.0
1996-08-31,92700.0
1996-09-30,92900.0
1996-10-31,93300.0
1996-11-30,93700.0
1996-12-31,94000.0
1997-01-31,94300.0
1997-02-28,94700.0
1997-03-31,95000.0
1997-04-30,95200.0
1997-05-31,95700.0
1997-06-30,96200.0
1997-07-31,96900.0
1997-08-31,97600.0
1997-09-30,98000.0
1997-10-31,98500.0
1997-11-30,99000.0
1997-12-31,99500.0
1998-01-31,100000.0
1998-02-28,100600.0
1998-03-31,101300.0
1998-04-30,101700.0
1998-05-31,102100.0
1998-06-30,102600.0
1998-07-31,103400.0
1998-08-31,104000.0
1998-09-30,104700.0
1998-10-31,105500.0
1998-11-30,106000.0
1998-12-31,106500.0
1999-01-31,107400.0
1999-02-28,108100.0
1999-03-31,108500.0
1999-04-30,109000.0
1999-05-31,109800.0
1999-06-30,110600.0
1999-07-31,111500.0
1999-08-31,112100.0
1999-09-30,112700.0
1999-10-31,113500.0
1999-11-30,114100.0
1999-12-31,114800.0
2000-01-31,115800.0
2000-02-29,116900.0
2000-03-31,117800.0
2000-04-30,118400.0
2000-05-31,119100.0
2000-06-30,119800.0
2000-07-31,120400.0
2000-08-31,121200.0
2000-09-30,121800.0
2000-10-31,122600.0
2000-11-30,123200.0
2000-12-31,123700.0
2001-01-31,124100.0
2001-02-28,124900.0
2001-03-31,125600.0
2001-04-30,126300.0
2001-05-31,127000.0
2001-06-30,127600.0
2001-07-31,127900.0
2001-08-31,128100.0
2001-09-30,128400.0
2001-10-31,128600.0
2001-11-30,129000.0
2001-12-31,129600.0
2002-01-31,130200.0
2002-02-28,130500.0
2002-03-31,131000.0
2002-04-30,131400.0
2002-05-31,131900.0
2002-06-30,132100.0
2002-07-31,132500.0
2002-08-31,133100.0
2002-09-30,133600.0
2002-10-31,133800.0
2002-11-30,134300.0
2002-12-31,134700.0
2003-01-31,134800.0
2003-02-28,135000.0
2003-03-31,135600.0
2003-04-30,136100.0
2003-05-31,136600.0
2003-06-30,136900.0
2003-07-31,137100.0
2003-08-31,137500.0
2003-09-30,138000.0
2003-10-31,138300.0
2003-11-30,138800.0
2003-12-31,139400.0
2004-01-31,140000.0
2004-02-29,140300.0
2004-03-31,140800.0
2004-04-30,141200.0
2004-05-31,141300.0
2004-06-30,141600.0
2004-07-31,142100.0
2004-08-31,142600.0
2004-09-30,143200.0
2004-10-31,143900.0
2004-11-30,144200.0
2004-12-31,144700.0
2005-01-31,145500.0
2005-02-28,146200.0
2005-03-31,146600.0
2005-04-30,147200.0
2005-05-31,147900.0
2005-06-30,148400.0
2005-07-31,148900.0
2005-08-31,149600.0
2005-09-30,150300.0
2005-10-31,151100.0
2005-11-30,151800.0
2005-12-31,152300.0
2006-01-31,152700.0
2006-02-28,153300.0
2006-03-31,153700.0
2006-04-30,154000.0
2006-05-31,154600.0
2006-06-30,155200.0
2006-07-31,155600.0
2006-08-31,156000.0
2006-09-30,156200.0
2006-10-31,156500.0
2006-11-30,156700.0
2006-12-31,156500.0
2007-01-31,156200.0
2007-02-28,156100.0
2007-03-31,156100.0
2007-04-30,156300.0
2007-05-31,156500.0
2007-06-30,156600.0
2007-07-31,156600.0
2007-08-31,156600.0
2007-09-30,156500.0
2007-10-31,156100.0
2007-11-30,155800.0
2007-12-31,155600.0
2008-01-31,155200.0
2008-02-29,154500.0
2008-03-31,154000.0
2008-04-30,153100.0
2008-05-31,151900.0
2008-06-30,150900.0
2008-07-31,149900.0
2008-08-31,148900.0
2008-09-30,148100.0
2008-10-31,147300.0
2008-11-30,146500.0
2008-12-31,145600.0
2009-01-31,144700.0
2009-02-28,143800.0
2009-03-31,142900.0
2009-04-30,141800.0
2009-05-31,140500.0
2009-06-30,139400.0
2009-07-31,138600.0
2009-08-31,137700.0
2009-09-30,136800.0
2009-10-31,136200.0
2009-11-30,135700.0
2009-12-31,135400.0
2010-01-31,135200.0
2010-02-28,134600.0
2010-03-31,133900.0
2010-04-30,133400.0
2010-05-31,132900.0
2010-06-30,132100.0
2010-07-31,131000.0
2010-08-31,129700.0
2010-09-30,128100.0
2010-10-31,126600.0
2010-11-30,125200.0
2010-12-31,123900.0
2011-01-31,122600.0
2011-02-28,121400.0
2011-03-31,120300.0
2011-04-30,119300.0
2011-05-31,118400.0
2011-06-30,117600.0
2011-07-31,116900.0
2011-08-31,116200.0
2011-09-30,115500.0
2011-10-31,114700.0
2011-11-30,114000.0
2011-12-31,113400.0
2012-01-31,113000.0
2012-02-29,112800.0
2012-03-31,112600.0
2012-04-30,112600.0
2012-05-31,112800.0
2012-06-30,112900.0
2012-07-31,113200.0
2012-08-31,113700.0
2012-09-30,114300.0
2012-10-31,114900.0
2012-11-30,115400.0
2012-12-31,116000.0
2013-01-31,116800.0
2013-02-28,117500.0
2013-03-31,118200.0
2013-04-30,118900.0
2013-05-31,119600.0
2013-06-30,120500.0
2013-07-31,121400.0
2013-08-31,122400.0
2013-09-30,123300.0
2013-10-31,124200.0
2013-11-30,124800.0
2013-12-31,125500.0
2014-01-31,126000.0
2014-02-28,126600.0
2014-03-31,127300.0
2014-04-30,128000.0
2014-05-31,128600.0
2014-06-30,129100.0
2014-07-31,129500.0
2014-08-31,129900.0
2014-09-30,130300.0
2014-10-31,130900.0
2014-11-30,131500.0
2014-12-31,132100.0
2015-01-31,132700.0
2015-02-28,133800.0
2015-03-31,134800.0
2015-04-30,135600.0
2015-05-31,136600.0
2015-06-30,137700.0
2015-07-31,138700.0
2015-08-31,139500.0
2015-09-30,140400.0
2015-10-31,141300.0
2015-11-30,142200.0
2015-12-31,143100.0
2016-01-31,143800.0
2016-02-29,144400.0
2016-03-31,145100.0
2016-04-30,145900.0
2016-05-31,146600.0
2016-06-30,147200.0
2016-07-31,147700.0
2016-08-31,148300.0
2016-09-30,149200.0
2016-10-31,150100.0
2016-11-30,150900.0
2016-12-31,151900.0
2017-01-31,152700.0
2017-02-28,153300.0
2017-03-31,154000.0
2017-04-30,154600.0
2017-05-31,155100.0
2017-06-30,155900.0
2017-07-31,156800.0
2017-08-31,157900.0
2017-09-30,159000.0
2017-10-31,159800.0
2017-11-30,160300.0
2017-12-31,160800.0
