Date,all_homes
1996-04-30,227400.0
1996-05-31,224900.0
1996-06-30,223400.0
1996-07-31,221800.0
1996-08-31,220400.0
1996-09-30,219500.0
1996-10-31,219200.0
1996-11-30,218900.0
1996-12-31,218600.0
1997-01-31,218300.0
1997-02-28,218000.0
1997-03-31,217600.0
1997-04-30,216900.0
1997-05-31,216100.0
1997-06-30,215400.0
1997-07-31,215200.0
1997-08-31,215300.0
1997-09-30,215400.0
1997-10-31,214900.0
1997-11-30,213800.0
1997-12-31,212600.0
1998-01-31,211800.0
1998-02-28,211600.0
1998-03-31,211400.0
1998-04-30,210900.0
1998-05-31,210100.0
1998-06-30,209900.0
1998-07-31,210200.0
1998-08-31,210200.0
1998-09-30,209700.0
1998-10-31,209300.0
1998-11-30,208900.0
1998-12-31,209300.0
1999-01-31,210200.0
1999-02-28,211100.0
1999-03-31,211900.0
1999-04-30,213000.0
1999-05-31,213500.0
1999-06-30,213000.0
1999-07-31,211900.0
1999-08-31,210900.0
1999-09-30,210200.0
1999-10-31,210000.0
1999-11-30,209900.0
1999-12-31,209800.0
2000-01-31,210200.0
2000-02-29,211100.0
2000-03-31,212200.0
2000-04-30,213600.0
2000-05-31,214900.0
2000-06-30,216200.0
2000-07-31,217800.0
2000-08-31,220100.0
2000-09-30,222400.0
2000-10-31,224000.0
2000-11-30,225600.0
2000-12-31,227100.0
2001-01-31,228000.0
2001-02-28,228600.0
2001-03-31,229600.0
2001-04-30,231400.0
2001-05-31,233800.0
2001-06-30,236000.0
2001-07-31,237500.0
2001-08-31,238500.0
2001-09-30,239400.0
2001-10-31,240500.0
2001-11-30,241900.0
2001-12-31,243100.0
2002-01-31,244600.0
2002-02-28,246500.0
2002-03-31,248500.0
2002-04-30,249600.0
2002-05-31,251200.0
2002-06-30,253400.0
2002-07-31,255700.0
2002-08-31,258300.0
2002-09-30,261900.0
2002-10-31,265800.0
2002-11-30,269800.0
2002-12-31,274300.0
2003-01-31,278700.0
2003-02-28,282500.0
2003-03-31,286100.0
2003-04-30,290100.0
2003-05-31,294400.0
2003-06-30,298700.0
2003-07-31,303200.0
