Date,all_homes
1996-04-30,109300.0
1996-05-31,109400.0
1996-06-30,109500.0
1996-07-31,109300.0
1996-08-31,108900.0
1996-09-30,108900.0
1996-10-31,108900.0
1996-11-30,108900.0
1996-12-31,109000.0
1997-01-31,109500.0
1997-02-28,109900.0
1997-03-31,110500.0
1997-04-30,111000.0
1997-05-31,110900.0
1997-06-30,110400.0
1997-07-31,110400.0
1997-08-31,110700.0
1997-09-30,111100.0
1997-10-31,111700.0
1997-11-30,112300.0
1997-12-31,112300.0
1998-01-31,111800.0
1998-02-28,111300.0
1998-03-31,110800.0
1998-04-30,110400.0
1998-05-31,110100.0
1998-06-30,109900.0
1998-07-31,110000.0
1998-08-31,110600.0
1998-09-30,110800.0
1998-10-31,110300.0
1998-11-30,109800.0
1998-12-31,110000.0
1999-01-31,110500.0
1999-02-28,111000.0
1999-03-31,111200.0
1999-04-30,111400.0
1999-05-31,111700.0
1999-06-30,111700.0
1999-07-31,111600.0
1999-08-31,111500.0
1999-09-30,111700.0
1999-10-31,112100.0
1999-11-30,112600.0
1999-12-31,112600.0
2000-01-31,112400.0
2000-02-29,112400.0
2000-03-31,112800.0
2000-04-30,113300.0
2000-05-31,113800.0
2000-06-30,114200.0
2000-07-31,114600.0
2000-08-31,114900.0
2000-09-30,115200.0
2000-10-31,115700.0
2000-11-30,116300.0
2000-12-31,116500.0
2001-01-31,116700.0
2001-02-28,117000.0
2001-03-31,117300.0
2001-04-30,117300.0
2001-05-31,117400.0
2001-06-30,118200.0
2001-07-31,119300.0
2001-08-31,119900.0
2001-09-30,120100.0
2001-10-31,120200.0
2001-11-30,120500.0
2001-12-31,121200.0
2002-01-31,121900.0
2002-02-28,122400.0
2002-03-31,122700.0
2002-04-30,123000.0
2002-05-31,123100.0
2002-06-30,123400.0
2002-07-31,124000.0
2002-08-31,124500.0
2002-09-30,124500.0
2002-10-31,124700.0
2002-11-30,125100.0
2002-12-31,125500.0
2003-01-31,125800.0
2003-02-28,126100.0
2003-03-31,126500.0
2003-04-30,127000.0
2003-05-31,127800.0
2003-06-30,127900.0
2003-07-31,127100.0
2003-08-31,126500.0
2003-09-30,126900.0
2003-10-31,127500.0
2003-11-30,127500.0
2003-12-31,127200.0
2004-01-31,127300.0
2004-02-29,127900.0
2004-03-31,128400.0
2004-04-30,128700.0
2004-05-31,128800.0
2004-06-30,129100.0
2004-07-31,129500.0
2004-08-31,130300.0
2004-09-30,131200.0
2004-10-31,132000.0
2004-11-30,133000.0
2004-12-31,134600.0
2005-01-31,136200.0
2005-02-28,137500.0
2005-03-31,138700.0
2005-04-30,140200.0
2005-05-31,141700.0
2005-06-30,143200.0
2005-07-31,144900.0
2005-08-31,147200.0
2005-09-30,149600.0
2005-10-31,152000.0
2005-11-30,154700.0
2005-12-31,158200.0
2006-01-31,162100.0
2006-02-28,165800.0
2006-03-31,169500.0
2006-04-30,173800.0
2006-05-31,177900.0
2006-06-30,181800.0
2006-07-31,185500.0
2006-08-31,188200.0
2006-09-30,189900.0
2006-10-31,191000.0
2006-11-30,191200.0
2006-12-31,191600.0
2007-01-31,192200.0
2007-02-28,192200.0
2007-03-31,191900.0
2007-04-30,192000.0
2007-05-31,192600.0
2007-06-30,193400.0
2007-07-31,194100.0
2007-08-31,194300.0
2007-09-30,194700.0
2007-10-31,195700.0
2007-11-30,196700.0
2007-12-31,196600.0
2008-01-31,196000.0
2008-02-29,195400.0
2008-03-31,194700.0
2008-04-30,193400.0
2008-05-31,192200.0
2008-06-30,191300.0
2008-07-31,189900.0
2008-08-31,188400.0
2008-09-30,187100.0
2008-10-31,185900.0
2008-11-30,184400.0
2008-12-31,183400.0
2009-01-31,182900.0
2009-02-28,182200.0
2009-03-31,180800.0
2009-04-30,179300.0
2009-05-31,177600.0
2009-06-30,175800.0
2009-07-31,174900.0
2009-08-31,174200.0
2009-09-30,172700.0
2009-10-31,170700.0
2009-11-30,170300.0
2009-12-31,167300.0
2010-01-31,162300.0
2010-02-28,159200.0
2010-03-31,158800.0
2010-04-30,157700.0
2010-05-31,156200.0
2010-06-30,154600.0
2010-07-31,153000.0
2010-08-31,152000.0
2010-09-30,151300.0
2010-10-31,150500.0
2010-11-30,149300.0
2010-12-31,148700.0
2011-01-31,148700.0
2011-02-28,148100.0
2011-03-31,146900.0
2011-04-30,145900.0
2011-05-31,144800.0
2011-06-30,143500.0
2011-07-31,142500.0
2011-08-31,141400.0
2011-09-30,140500.0
2011-10-31,139800.0
2011-11-30,139100.0
2011-12-31,139200.0
2012-01-31,139700.0
2012-02-29,139700.0
2012-03-31,139200.0
2012-04-30,139100.0
2012-05-31,139300.0
2012-06-30,139800.0
2012-07-31,140100.0
2012-08-31,140500.0
2012-09-30,141200.0
2012-10-31,141900.0
2012-11-30,142600.0
2012-12-31,143700.0
2013-01-31,144800.0
2013-02-28,145800.0
2013-03-31,146700.0
2013-04-30,147700.0
2013-05-31,148700.0
2013-06-30,149800.0
2013-07-31,150900.0
2013-08-31,151800.0
2013-09-30,152700.0
2013-10-31,153500.0
2013-11-30,154300.0
2013-12-31,155200.0
2014-01-31,155900.0
2014-02-28,156400.0
2014-03-31,156900.0
2014-04-30,157400.0
2014-05-31,157800.0
2014-06-30,158200.0
2014-07-31,158500.0
2014-08-31,158600.0
2014-09-30,158600.0
2014-10-31,158600.0
2014-11-30,159000.0
2014-12-31,159900.0
2015-01-31,160900.0
2015-02-28,161900.0
2015-03-31,162700.0
2015-04-30,163200.0
2015-05-31,163500.0
2015-06-30,164100.0
2015-07-31,164800.0
2015-08-31,165300.0
2015-09-30,165900.0
2015-10-31,166500.0
2015-11-30,167000.0
2015-12-31,167900.0
2016-01-31,169100.0
2016-02-29,170400.0
2016-03-31,171700.0
2016-04-30,173000.0
2016-05-31,174200.0
2016-06-30,175200.0
2016-07-31,176300.0
2016-08-31,177600.0
2016-09-30,178800.0
2016-10-31,179900.0
2016-11-30,180900.0
2016-12-31,182100.0
2017-01-31,183400.0
2017-02-28,184700.0
2017-03-31,186200.0
2017-04-30,188300.0
2017-05-31,190600.0
2017-06-30,192800.0
2017-07-31,194500.0
2017-08-31,196100.0
2017-09-30,198800.0
2017-10-31,201000.0
2017-11-30,200500.0
2017-12-31,199500.0
