Date,all_homes
1996-04-30,113900.0
1996-05-31,114400.0
1996-06-30,114500.0
1996-07-31,113900.0
1996-08-31,113100.0
1996-09-30,112900.0
1996-10-31,113000.0
1996-11-30,113300.0
1996-12-31,114000.0
1997-01-31,115100.0
1997-02-28,115900.0
1997-03-31,116000.0
1997-04-30,115900.0
1997-05-31,116000.0
1997-06-30,116200.0
1997-07-31,116600.0
1997-08-31,117000.0
1997-09-30,117300.0
1997-10-31,117700.0
1997-11-30,118100.0
1997-12-31,118400.0
1998-01-31,118700.0
1998-02-28,118900.0
1998-03-31,119000.0
1998-04-30,119100.0
1998-05-31,119300.0
1998-06-30,119600.0
1998-07-31,119900.0
1998-08-31,120300.0
1998-09-30,120800.0
1998-10-31,121200.0
1998-11-30,121600.0
1998-12-31,121800.0
1999-01-31,122100.0
1999-02-28,122700.0
1999-03-31,123400.0
1999-04-30,123800.0
1999-05-31,124300.0
1999-06-30,124900.0
1999-07-31,125500.0
1999-08-31,126000.0
1999-09-30,126600.0
1999-10-31,127500.0
1999-11-30,128300.0
1999-12-31,128800.0
2000-01-31,129500.0
2000-02-29,130200.0
2000-03-31,131000.0
2000-04-30,131700.0
2000-05-31,132400.0
2000-06-30,133300.0
2000-07-31,134000.0
2000-08-31,134400.0
2000-09-30,134900.0
2000-10-31,135700.0
2000-11-30,136500.0
2000-12-31,137500.0
2001-01-31,138500.0
2001-02-28,139300.0
2001-03-31,140000.0
2001-04-30,140900.0
2001-05-31,141800.0
2001-06-30,142600.0
2001-07-31,143600.0
2001-08-31,144700.0
2001-09-30,145800.0
2001-10-31,146800.0
2001-11-30,147700.0
2001-12-31,148500.0
2002-01-31,149200.0
2002-02-28,149800.0
2002-03-31,150700.0
2002-04-30,151600.0
2002-05-31,152200.0
2002-06-30,152900.0
2002-07-31,153600.0
2002-08-31,154100.0
2002-09-30,154900.0
2002-10-31,156000.0
2002-11-30,157200.0
2002-12-31,158100.0
2003-01-31,158900.0
2003-02-28,160000.0
2003-03-31,161500.0
2003-04-30,162900.0
2003-05-31,164300.0
2003-06-30,165800.0
2003-07-31,167100.0
2003-08-31,167900.0
2003-09-30,168400.0
2003-10-31,169000.0
2003-11-30,169700.0
2003-12-31,170400.0
2004-01-31,171400.0
2004-02-29,172300.0
2004-03-31,173100.0
2004-04-30,173800.0
2004-05-31,174500.0
2004-06-30,174800.0
2004-07-31,176400.0
2004-08-31,178800.0
2004-09-30,180100.0
2004-10-31,180000.0
2004-11-30,180500.0
2004-12-31,181700.0
2005-01-31,182900.0
2005-02-28,184200.0
2005-03-31,185300.0
2005-04-30,186400.0
2005-05-31,187500.0
2005-06-30,188700.0
2005-07-31,189700.0
2005-08-31,190300.0
2005-09-30,191200.0
2005-10-31,192700.0
2005-11-30,194100.0
2005-12-31,194800.0
2006-01-31,195800.0
2006-02-28,196700.0
2006-03-31,197200.0
2006-04-30,197800.0
2006-05-31,198500.0
2006-06-30,199100.0
2006-07-31,199400.0
2006-08-31,200800.0
2006-09-30,202200.0
2006-10-31,202400.0
2006-11-30,202000.0
2006-12-31,202500.0
2007-01-31,202900.0
2007-02-28,203200.0
2007-03-31,203400.0
2007-04-30,203300.0
2007-05-31,203400.0
2007-06-30,203300.0
2007-07-31,202800.0
2007-08-31,202000.0
2007-09-30,201700.0
2007-10-31,201500.0
2007-11-30,201100.0
2007-12-31,200600.0
2008-01-31,200200.0
2008-02-29,199500.0
2008-03-31,198200.0
2008-04-30,197100.0
2008-05-31,196000.0
2008-06-30,194800.0
2008-07-31,193500.0
2008-08-31,191900.0
2008-09-30,190200.0
2008-10-31,188900.0
2008-11-30,187700.0
2008-12-31,186600.0
2009-01-31,185700.0
2009-02-28,184800.0
2009-03-31,183500.0
2009-04-30,181900.0
2009-05-31,180100.0
2009-06-30,178200.0
2009-07-31,176600.0
2009-08-31,175300.0
2009-09-30,174200.0
2009-10-31,173500.0
2009-11-30,173000.0
2009-12-31,171400.0
2010-01-31,168900.0
2010-02-28,166800.0
2010-03-31,165500.0
2010-04-30,164400.0
2010-05-31,163700.0
2010-06-30,162900.0
2010-07-31,161200.0
2010-08-31,159400.0
2010-09-30,158100.0
2010-10-31,157100.0
2010-11-30,155900.0
2010-12-31,154800.0
2011-01-31,154100.0
2011-02-28,153300.0
2011-03-31,152200.0
2011-04-30,150800.0
2011-05-31,149400.0
2011-06-30,148000.0
2011-07-31,146900.0
2011-08-31,146000.0
2011-09-30,144700.0
2011-10-31,143500.0
2011-11-30,142500.0
2011-12-31,141800.0
2012-01-31,141000.0
2012-02-29,140400.0
2012-03-31,140100.0
2012-04-30,140100.0
2012-05-31,140000.0
2012-06-30,140200.0
2012-07-31,140500.0
2012-08-31,140700.0
2012-09-30,140400.0
2012-10-31,140500.0
2012-11-30,140800.0
2012-12-31,140800.0
2013-01-31,140700.0
2013-02-28,140900.0
2013-03-31,141400.0
2013-04-30,141800.0
2013-05-31,142600.0
2013-06-30,143700.0
2013-07-31,144800.0
2013-08-31,145700.0
2013-09-30,146700.0
2013-10-31,147100.0
2013-11-30,147200.0
2013-12-31,147600.0
2014-01-31,148400.0
2014-02-28,148800.0
2014-03-31,149200.0
2014-04-30,149400.0
2014-05-31,149500.0
2014-06-30,149600.0
2014-07-31,149900.0
2014-08-31,150300.0
2014-09-30,150900.0
2014-10-31,151300.0
2014-11-30,151700.0
2014-12-31,152100.0
2015-01-31,152200.0
2015-02-28,152300.0
2015-03-31,152700.0
2015-04-30,153400.0
2015-05-31,154200.0
2015-06-30,154700.0
2015-07-31,155100.0
2015-08-31,155500.0
2015-09-30,156000.0
2015-10-31,156200.0
2015-11-30,156700.0
2015-12-31,157300.0
2016-01-31,157700.0
2016-02-29,158200.0
2016-03-31,158800.0
2016-04-30,159600.0
2016-05-31,160200.0
2016-06-30,161100.0
2016-07-31,162100.0
2016-08-31,162700.0
2016-09-30,163100.0
2016-10-31,163600.0
2016-11-30,164100.0
2016-12-31,165000.0
2017-01-31,166300.0
2017-02-28,167400.0
2017-03-31,168000.0
2017-04-30,168200.0
2017-05-31,168500.0
2017-06-30,168800.0
2017-07-31,168800.0
2017-08-31,169100.0
2017-09-30,169600.0
2017-10-31,169900.0
2017-11-30,170100.0
2017-12-31,170600.0
