Date,all_homes
1996-04-30,72100.0
1996-05-31,74200.0
1996-06-30,75200.0
1996-07-31,75400.0
1996-08-31,75200.0
1996-09-30,75200.0
1996-10-31,75400.0
1996-11-30,75600.0
1996-12-31,75700.0
1997-01-31,76300.0
1997-02-28,77500.0
1997-03-31,78500.0
1997-04-30,78500.0
1997-05-31,78400.0
1997-06-30,78700.0
1997-07-31,79300.0
1997-08-31,80000.0
1997-09-30,80800.0
1997-10-31,81500.0
1997-11-30,82300.0
1997-12-31,83000.0
1998-01-31,83400.0
1998-02-28,83500.0
1998-03-31,83600.0
1998-04-30,83600.0
1998-05-31,83700.0
1998-06-30,83900.0
1998-07-31,84200.0
1998-08-31,84500.0
1998-09-30,84800.0
1998-10-31,85100.0
1998-11-30,85500.0
1998-12-31,85600.0
1999-01-31,85300.0
1999-02-28,85500.0
1999-03-31,85900.0
1999-04-30,86100.0
1999-05-31,86400.0
1999-06-30,86800.0
1999-07-31,87300.0
1999-08-31,87400.0
1999-09-30,87400.0
1999-10-31,87600.0
1999-11-30,88000.0
1999-12-31,88000.0
2000-01-31,87900.0
2000-02-29,88400.0
2000-03-31,88900.0
2000-04-30,89100.0
2000-05-31,89400.0
2000-06-30,89800.0
2000-07-31,90000.0
2000-08-31,90300.0
2000-09-30,90600.0
2000-10-31,90800.0
2000-11-30,90900.0
2000-12-31,92600.0
2001-01-31,95700.0
2001-02-28,97700.0
2001-03-31,98500.0
2001-04-30,99400.0
2001-05-31,100000.0
2001-06-30,100500.0
2001-07-31,100900.0
2001-08-31,101500.0
2001-09-30,101900.0
2001-10-31,102000.0
2001-11-30,102100.0
2001-12-31,102200.0
2002-01-31,102200.0
2002-02-28,102200.0
2002-03-31,102300.0
2002-04-30,102200.0
2002-05-31,101900.0
2002-06-30,101800.0
2002-07-31,101900.0
2002-08-31,102000.0
2002-09-30,102000.0
2002-10-31,101800.0
2002-11-30,101700.0
2002-12-31,101400.0
2003-01-31,101400.0
2003-02-28,101500.0
2003-03-31,101500.0
2003-04-30,101600.0
2003-05-31,102000.0
2003-06-30,102200.0
2003-07-31,102400.0
2003-08-31,103000.0
2003-09-30,103800.0
2003-10-31,104900.0
2003-11-30,105800.0
2003-12-31,106600.0
2004-01-31,107200.0
2004-02-29,107800.0
2004-03-31,108500.0
2004-04-30,109100.0
2004-05-31,109700.0
2004-06-30,110600.0
2004-07-31,111600.0
2004-08-31,112800.0
2004-09-30,113900.0
2004-10-31,114700.0
2004-11-30,115200.0
2004-12-31,115600.0
2005-01-31,116000.0
2005-02-28,116600.0
2005-03-31,116900.0
2005-04-30,117400.0
2005-05-31,118000.0
2005-06-30,118800.0
