Date,all_homes
1996-04-30,56800.0
1996-05-31,57500.0
1996-06-30,58000.0
1996-07-31,58600.0
1996-08-31,59300.0
1996-09-30,60200.0
1996-10-31,61100.0
1996-11-30,62300.0
1996-12-31,63400.0
1997-01-31,64400.0
1997-02-28,65100.0
1997-03-31,66000.0
1997-04-30,66700.0
1997-05-31,67100.0
1997-06-30,67400.0
1997-07-31,68300.0
1997-08-31,69100.0
1997-09-30,68900.0
1997-10-31,68300.0
1997-11-30,68200.0
1997-12-31,68600.0
1998-01-31,68400.0
1998-02-28,68400.0
1998-03-31,68800.0
1998-04-30,69200.0
1998-05-31,69000.0
1998-06-30,69400.0
1998-07-31,69800.0
1998-08-31,70100.0
1998-09-30,70300.0
1998-10-31,71100.0
1998-11-30,72400.0
1998-12-31,73500.0
1999-01-31,74100.0
1999-02-28,74500.0
1999-03-31,75100.0
1999-04-30,75900.0
1999-05-31,76600.0
1999-06-30,76700.0
1999-07-31,76400.0
1999-08-31,75800.0
1999-09-30,76000.0
1999-10-31,76700.0
1999-11-30,76500.0
1999-12-31,75100.0
2000-01-31,73900.0
2000-02-29,73300.0
2000-03-31,73200.0
2000-04-30,73800.0
2000-05-31,74500.0
2000-06-30,75000.0
2000-07-31,75400.0
2000-08-31,75900.0
2000-09-30,75800.0
2000-10-31,75600.0
2000-11-30,75700.0
2000-12-31,76500.0
2001-01-31,77300.0
2001-02-28,77800.0
2001-03-31,78200.0
2001-04-30,78500.0
2001-05-31,78200.0
2001-06-30,78200.0
2001-07-31,78700.0
2001-08-31,78800.0
2001-09-30,78800.0
2001-10-31,78800.0
2001-11-30,78700.0
2001-12-31,78800.0
2002-01-31,79600.0
2002-02-28,80300.0
2002-03-31,80700.0
2002-04-30,80900.0
2002-05-31,81200.0
2002-06-30,81500.0
2002-07-31,81200.0
2002-08-31,81700.0
2002-09-30,83500.0
2002-10-31,84900.0
2002-11-30,85000.0
2002-12-31,85100.0
2003-01-31,85700.0
2003-02-28,87000.0
2003-03-31,88100.0
2003-04-30,87800.0
2003-05-31,87100.0
2003-06-30,87000.0
2003-07-31,87400.0
2003-08-31,87900.0
2003-09-30,87800.0
2003-10-31,87800.0
2003-11-30,88200.0
2003-12-31,88200.0
2004-01-31,88200.0
2004-02-29,88200.0
2004-03-31,88200.0
2004-04-30,88400.0
2004-05-31,88100.0
2004-06-30,86900.0
2004-07-31,86700.0
2004-08-31,87200.0
2004-09-30,87300.0
2004-10-31,87100.0
2004-11-30,87500.0
2004-12-31,88300.0
2005-01-31,89000.0
2005-02-28,88800.0
2005-03-31,88400.0
2005-04-30,88400.0
2005-05-31,90100.0
2005-06-30,92300.0
2005-07-31,93100.0
2005-08-31,92800.0
2005-09-30,91900.0
2005-10-31,91000.0
2005-11-30,90500.0
2005-12-31,91200.0
2006-01-31,91600.0
2006-02-28,91800.0
2006-03-31,91300.0
2006-04-30,91000.0
2006-05-31,91100.0
2006-06-30,91600.0
2006-07-31,91300.0
2006-08-31,90200.0
2006-09-30,90000.0
2006-10-31,90600.0
2006-11-30,90700.0
2006-12-31,90200.0
2007-01-31,89400.0
2007-02-28,88500.0
2007-03-31,88100.0
2007-04-30,88500.0
2007-05-31,89000.0
2007-06-30,90500.0
2007-07-31,92100.0
2007-08-31,93000.0
2007-09-30,93700.0
2007-10-31,94500.0
2007-11-30,94600.0
2007-12-31,94200.0
2008-01-31,94200.0
2008-02-29,94500.0
2008-03-31,95400.0
2008-04-30,96000.0
2008-05-31,95300.0
2008-06-30,93400.0
2008-07-31,92200.0
2008-08-31,93000.0
2008-09-30,94900.0
2008-10-31,96500.0
2008-11-30,98200.0
2008-12-31,100400.0
2009-01-31,103000.0
2009-02-28,105400.0
2009-03-31,107300.0
2009-04-30,109200.0
2009-05-31,110900.0
2009-06-30,112400.0
2009-07-31,114300.0
2009-08-31,116000.0
2009-09-30,116700.0
2009-10-31,117000.0
2009-11-30,118400.0
2009-12-31,117300.0
2010-01-31,114600.0
2010-02-28,113100.0
2010-03-31,113500.0
2010-04-30,113400.0
2010-05-31,113400.0
2010-06-30,113500.0
2010-07-31,113200.0
2010-08-31,112700.0
2010-09-30,112200.0
2010-10-31,111900.0
2010-11-30,111500.0
2010-12-31,111600.0
2011-01-31,112000.0
2011-02-28,112100.0
2011-03-31,111700.0
2011-04-30,111400.0
2011-05-31,111100.0
2011-06-30,111100.0
2011-07-31,111000.0
2011-08-31,110600.0
2011-09-30,110200.0
2011-10-31,110000.0
2011-11-30,109600.0
2011-12-31,109800.0
2012-01-31,110500.0
2012-02-29,111100.0
2012-03-31,111400.0
2012-04-30,111600.0
2012-05-31,111600.0
2012-06-30,111700.0
2012-07-31,112100.0
2012-08-31,112500.0
2012-09-30,112800.0
2012-10-31,112800.0
2012-11-30,112800.0
2012-12-31,113000.0
2013-01-31,113400.0
2013-02-28,113600.0
2013-03-31,113700.0
2013-04-30,114000.0
2013-05-31,114300.0
2013-06-30,114500.0
2013-07-31,114600.0
2013-08-31,114700.0
2013-09-30,114700.0
2013-10-31,114700.0
2013-11-30,114500.0
2013-12-31,114600.0
2014-01-31,115000.0
2014-02-28,115600.0
2014-03-31,116100.0
2014-04-30,116100.0
2014-05-31,116000.0
2014-06-30,116300.0
2014-07-31,116900.0
2014-08-31,117200.0
2014-09-30,117300.0
2014-10-31,117200.0
2014-11-30,117300.0
2014-12-31,117500.0
2015-01-31,118100.0
2015-02-28,118800.0
2015-03-31,118800.0
2015-04-30,118900.0
2015-05-31,119800.0
2015-06-30,120700.0
2015-07-31,120800.0
2015-08-31,120900.0
2015-09-30,120900.0
2015-10-31,120900.0
2015-11-30,121100.0
2015-12-31,121500.0
2016-01-31,121800.0
2016-02-29,122000.0
2016-03-31,122500.0
2016-04-30,123200.0
2016-05-31,123700.0
2016-06-30,124000.0
2016-07-31,124200.0
2016-08-31,124300.0
2016-09-30,124500.0
2016-10-31,125000.0
2016-11-30,125400.0
2016-12-31,126100.0
2017-01-31,126800.0
