Date,all_homes
1996-04-30,
1996-05-31,
1996-06-30,
1996-07-31,
1996-08-31,
1996-09-30,
1996-10-31,
1996-11-30,
1996-12-31,
1997-01-31,
1997-02-28,
1997-03-31,
1997-04-30,
1997-05-31,
1997-06-30,
1997-07-31,
1997-08-31,
1997-09-30,
1997-10-31,
1997-11-30,
1997-12-31,
1998-01-31,
1998-02-28,
1998-03-31,
1998-04-30,
1998-05-31,
1998-06-30,
1998-07-31,
1998-08-31,
1998-09-30,
1998-10-31,
1998-11-30,
1998-12-31,
1999-01-31,
1999-02-28,
1999-03-31,
1999-04-30,
1999-05-31,
1999-06-30,
1999-07-31,
1999-08-31,
1999-09-30,
1999-10-31,
1999-11-30,
1999-12-31,
2000-01-31,
2000-02-29,
2000-03-31,
2000-04-30,
2000-05-31,
2000-06-30,
2000-07-31,
2000-08-31,
2000-09-30,
2000-10-31,
2000-11-30,
2000-12-31,
2001-01-31,
2001-02-28,
2001-03-31,
2001-04-30,
2001-05-31,
2001-06-30,
2001-07-31,
2001-08-31,
2001-09-30,
2001-10-31,
2001-11-30,
2001-12-31,
2002-01-31,
2002-02-28,
2002-03-31,
2002-04-30,
2002-05-31,
2002-06-30,
2002-07-31,
2002-08-31,
2002-09-30,
2002-10-31,
2002-11-30,
2002-12-31,
2003-01-31,
2003-02-28,
2003-03-31,
2003-04-30,
2003-05-31,
2003-06-30,
2003-07-31,
2003-08-31,
2003-09-30,
2003-10-31,
2003-11-30,
2003-12-31,
2004-01-31,
2004-02-29,
2004-03-31,
2004-04-30,
2004-05-31,
2004-06-30,
2004-07-31,
2004-08-31,
2004-09-30,
2004-10-31,
2004-11-30,
2004-12-31,
2005-01-31,
2005-02-28,
2005-03-31,
2005-04-30,
2005-05-31,
2005-06-30,
2005-07-31,
2005-08-31,
2005-09-30,
2005-10-31,
2005-11-30,
2005-12-31,
2006-01-31,
2006-02-28,
2006-03-31,
2006-04-30,
2006-05-31,
2006-06-30,
2006-07-31,
2006-08-31,
2006-09-30,
2006-10-31,
2006-11-30,
2006-12-31,
2007-01-31,
2007-02-28,
2007-03-31,
2007-04-30,
2007-05-31,
2007-06-30,
2007-07-31,
2007-08-31,
2007-09-30,
2007-10-31,
2007-11-30,
2007-12-31,
2008-01-31,
2008-02-29,
2008-03-31,
2008-04-30,
2008-05-31,
2008-06-30,
2008-07-31,
2008-08-31,107200.0
2008-09-30,109600.0
2008-10-31,111200.0
2008-11-30,113000.0
2008-12-31,115100.0
2009-01-31,117000.0
2009-02-28,117700.0
2009-03-31,118500.0
2009-04-30,120000.0
2009-05-31,121600.0
2009-06-30,122000.0
2009-07-31,121900.0
2009-08-31,121800.0
2009-09-30,121700.0
2009-10-31,121400.0
2009-11-30,121600.0
2009-12-31,120700.0
2010-01-31,118600.0
2010-02-28,116800.0
2010-03-31,116400.0
2010-04-30,116200.0
2010-05-31,115900.0
2010-06-30,115500.0
2010-07-31,115500.0
2010-08-31,115600.0
2010-09-30,115600.0
2010-10-31,115500.0
2010-11-30,115200.0
2010-12-31,115100.0
2011-01-31,114700.0
2011-02-28,113800.0
2011-03-31,112900.0
2011-04-30,112500.0
2011-05-31,111900.0
2011-06-30,111300.0
2011-07-31,111400.0
2011-08-31,111800.0
2011-09-30,111700.0
2011-10-31,111400.0
2011-11-30,111500.0
2011-12-31,112000.0
2012-01-31,112400.0
2012-02-29,112200.0
2012-03-31,111800.0
2012-04-30,111500.0
2012-05-31,111200.0
2012-06-30,110900.0
2012-07-31,110900.0
2012-08-31,111000.0
2012-09-30,111100.0
2012-10-31,111100.0
2012-11-30,111000.0
2012-12-31,110800.0
2013-01-31,110600.0
2013-02-28,110300.0
2013-03-31,110200.0
2013-04-30,110100.0
2013-05-31,109700.0
2013-06-30,109600.0
2013-07-31,109800.0
2013-08-31,110200.0
2013-09-30,110500.0
2013-10-31,110800.0
2013-11-30,110900.0
2013-12-31,111400.0
2014-01-31,111900.0
2014-02-28,112100.0
2014-03-31,111800.0
2014-04-30,111600.0
2014-05-31,111900.0
2014-06-30,112500.0
2014-07-31,113000.0
2014-08-31,113100.0
2014-09-30,113300.0
2014-10-31,113500.0
2014-11-30,113400.0
2014-12-31,113300.0
2015-01-31,113400.0
2015-02-28,113600.0
2015-03-31,113800.0
2015-04-30,114200.0
2015-05-31,114700.0
2015-06-30,115100.0
2015-07-31,115600.0
2015-08-31,116100.0
2015-09-30,116700.0
2015-10-31,117100.0
2015-11-30,117400.0
2015-12-31,117800.0
2016-01-31,118400.0
2016-02-29,119000.0
2016-03-31,119500.0
2016-04-30,120100.0
2016-05-31,120300.0
2016-06-30,120200.0
2016-07-31,120600.0
2016-08-31,121000.0
2016-09-30,121200.0
2016-10-31,121600.0
2016-11-30,122400.0
2016-12-31,123200.0
2017-01-31,124000.0
2017-02-28,124500.0
2017-03-31,124900.0
2017-04-30,125100.0
2017-05-31,125400.0
2017-06-30,125500.0
2017-07-31,125700.0
2017-08-31,126100.0
2017-09-30,126600.0
2017-10-31,127200.0
2017-11-30,127800.0
2017-12-31,128200.0
