Date,all_homes
1996-04-30,74300.0
1996-05-31,75100.0
1996-06-30,76200.0
1996-07-31,77300.0
1996-08-31,78300.0
1996-09-30,79000.0
1996-10-31,79500.0
1996-11-30,79700.0
1996-12-31,79900.0
1997-01-31,80100.0
1997-02-28,80400.0
1997-03-31,80400.0
1997-04-30,80300.0
1997-05-31,80400.0
1997-06-30,80700.0
1997-07-31,80900.0
1997-08-31,81100.0
1997-09-30,81400.0
1997-10-31,81800.0
1997-11-30,82400.0
1997-12-31,82800.0
1998-01-31,83400.0
1998-02-28,84100.0
1998-03-31,84700.0
1998-04-30,85100.0
1998-05-31,85400.0
1998-06-30,85700.0
1998-07-31,86100.0
1998-08-31,86500.0
1998-09-30,86900.0
1998-10-31,87100.0
1998-11-30,87300.0
1998-12-31,87500.0
1999-01-31,88000.0
1999-02-28,88600.0
1999-03-31,89000.0
1999-04-30,89400.0
1999-05-31,89700.0
1999-06-30,89900.0
1999-07-31,90100.0
1999-08-31,90300.0
1999-09-30,90500.0
1999-10-31,90800.0
1999-11-30,91100.0
1999-12-31,91400.0
2000-01-31,91900.0
2000-02-29,92500.0
2000-03-31,93000.0
2000-04-30,93400.0
2000-05-31,93800.0
2000-06-30,94000.0
2000-07-31,94200.0
2000-08-31,94700.0
2000-09-30,95000.0
2000-10-31,95200.0
2000-11-30,95400.0
2000-12-31,95900.0
2001-01-31,96300.0
2001-02-28,96500.0
2001-03-31,97000.0
2001-04-30,97400.0
2001-05-31,97900.0
2001-06-30,98400.0
2001-07-31,98900.0
2001-08-31,99300.0
2001-09-30,99400.0
2001-10-31,99500.0
2001-11-30,99600.0
2001-12-31,99900.0
2002-01-31,100400.0
2002-02-28,100800.0
2002-03-31,101100.0
2002-04-30,101300.0
2002-05-31,101500.0
2002-06-30,101800.0
2002-07-31,102100.0
2002-08-31,102300.0
2002-09-30,102500.0
2002-10-31,102900.0
2002-11-30,103400.0
2002-12-31,103700.0
2003-01-31,103900.0
2003-02-28,104000.0
2003-03-31,104100.0
2003-04-30,104300.0
2003-05-31,104600.0
2003-06-30,104900.0
2003-07-31,105000.0
2003-08-31,105100.0
2003-09-30,105500.0
2003-10-31,105800.0
2003-11-30,106200.0
2003-12-31,106700.0
2004-01-31,107300.0
2004-02-29,107900.0
2004-03-31,108500.0
2004-04-30,109100.0
2004-05-31,109500.0
2004-06-30,109800.0
2004-07-31,110200.0
2004-08-31,110800.0
2004-09-30,111200.0
2004-10-31,111700.0
2004-11-30,112200.0
2004-12-31,112500.0
2005-01-31,112800.0
2005-02-28,113100.0
2005-03-31,113300.0
2005-04-30,113300.0
2005-05-31,113700.0
2005-06-30,114000.0
2005-07-31,114200.0
2005-08-31,114400.0
2005-09-30,114800.0
2005-10-31,115100.0
2005-11-30,115200.0
2005-12-31,115200.0
2006-01-31,115300.0
2006-02-28,115300.0
2006-03-31,115400.0
2006-04-30,115600.0
2006-05-31,115700.0
2006-06-30,115800.0
2006-07-31,115900.0
2006-08-31,115900.0
2006-09-30,116100.0
2006-10-31,116100.0
2006-11-30,116100.0
2006-12-31,116300.0
2007-01-31,116400.0
2007-02-28,116600.0
2007-03-31,116400.0
2007-04-30,116100.0
2007-05-31,116000.0
2007-06-30,116100.0
2007-07-31,116100.0
2007-08-31,116000.0
2007-09-30,115800.0
2007-10-31,115800.0
2007-11-30,115900.0
2007-12-31,115800.0
2008-01-31,115800.0
2008-02-29,115700.0
2008-03-31,115800.0
2008-04-30,116100.0
2008-05-31,116200.0
2008-06-30,116100.0
2008-07-31,116100.0
2008-08-31,116300.0
2008-09-30,116600.0
2008-10-31,117000.0
2008-11-30,117400.0
2008-12-31,117900.0
2009-01-31,118500.0
2009-02-28,119000.0
2009-03-31,119400.0
2009-04-30,119800.0
2009-05-31,120100.0
2009-06-30,120400.0
2009-07-31,120800.0
2009-08-31,121200.0
2009-09-30,121600.0
2009-10-31,121600.0
2009-11-30,121400.0
2009-12-31,120600.0
2010-01-31,119600.0
2010-02-28,119100.0
2010-03-31,119200.0
2010-04-30,119200.0
2010-05-31,119200.0
2010-06-30,119100.0
2010-07-31,118900.0
2010-08-31,118600.0
2010-09-30,118300.0
2010-10-31,118200.0
2010-11-30,118400.0
2010-12-31,118600.0
2011-01-31,118600.0
2011-02-28,118500.0
2011-03-31,118300.0
2011-04-30,118000.0
2011-05-31,117700.0
2011-06-30,117600.0
2011-07-31,117700.0
2011-08-31,117700.0
2011-09-30,117500.0
2011-10-31,117300.0
2011-11-30,117100.0
2011-12-31,117200.0
2012-01-31,117400.0
2012-02-29,117500.0
2012-03-31,117400.0
2012-04-30,117400.0
2012-05-31,117300.0
2012-06-30,117300.0
2012-07-31,117400.0
2012-08-31,117500.0
2012-09-30,117400.0
2012-10-31,117500.0
2012-11-30,117500.0
2012-12-31,117600.0
2013-01-31,117700.0
2013-02-28,117900.0
2013-03-31,118100.0
2013-04-30,118300.0
2013-05-31,118300.0
2013-06-30,118600.0
2013-07-31,118700.0
2013-08-31,118700.0
2013-09-30,118600.0
2013-10-31,118500.0
2013-11-30,118500.0
2013-12-31,118500.0
2014-01-31,118700.0
2014-02-28,119000.0
2014-03-31,119100.0
2014-04-30,119200.0
2014-05-31,119500.0
2014-06-30,119900.0
2014-07-31,120000.0
2014-08-31,119800.0
2014-09-30,119900.0
2014-10-31,120100.0
2014-11-30,120300.0
2014-12-31,120600.0
2015-01-31,121000.0
2015-02-28,121400.0
2015-03-31,121700.0
2015-04-30,122200.0
2015-05-31,122700.0
2015-06-30,122800.0
2015-07-31,123000.0
2015-08-31,123400.0
2015-09-30,123900.0
2015-10-31,124200.0
2015-11-30,124500.0
2015-12-31,125000.0
2016-01-31,125500.0
2016-02-29,126000.0
2016-03-31,126500.0
2016-04-30,127000.0
2016-05-31,127600.0
2016-06-30,128100.0
2016-07-31,128600.0
2016-08-31,129200.0
2016-09-30,130100.0
2016-10-31,130900.0
2016-11-30,131500.0
2016-12-31,132000.0
2017-01-31,132800.0
2017-02-28,133600.0
2017-03-31,133800.0
