Date,all_homes
1996-04-30,87400.0
1996-05-31,87200.0
1996-06-30,87200.0
1996-07-31,87400.0
1996-08-31,87600.0
1996-09-30,87700.0
1996-10-31,88000.0
1996-11-30,88200.0
1996-12-31,88200.0
1997-01-31,88400.0
1997-02-28,88700.0
1997-03-31,88900.0
1997-04-30,89200.0
1997-05-31,89800.0
1997-06-30,90200.0
1997-07-31,90500.0
1997-08-31,90800.0
1997-09-30,91300.0
1997-10-31,92100.0
1997-11-30,93200.0
1997-12-31,93800.0
1998-01-31,94200.0
1998-02-28,95000.0
1998-03-31,96200.0
1998-04-30,97700.0
1998-05-31,98600.0
1998-06-30,99000.0
1998-07-31,99500.0
1998-08-31,99900.0
1998-09-30,100200.0
1998-10-31,100700.0
1998-11-30,101100.0
1998-12-31,101900.0
1999-01-31,102700.0
1999-02-28,103600.0
1999-03-31,104600.0
1999-04-30,105600.0
1999-05-31,106600.0
1999-06-30,107900.0
1999-07-31,109100.0
1999-08-31,110300.0
1999-09-30,111300.0
1999-10-31,112200.0
1999-11-30,113500.0
1999-12-31,114900.0
2000-01-31,115800.0
2000-02-29,116600.0
2000-03-31,117500.0
2000-04-30,118300.0
2000-05-31,119500.0
2000-06-30,120900.0
2000-07-31,122600.0
2000-08-31,125400.0
2000-09-30,127800.0
2000-10-31,128000.0
2000-11-30,126800.0
2000-12-31,126800.0
2001-01-31,127900.0
2001-02-28,129300.0
2001-03-31,130700.0
2001-04-30,132300.0
2001-05-31,134200.0
2001-06-30,136400.0
2001-07-31,138500.0
2001-08-31,139600.0
2001-09-30,141700.0
2001-10-31,144900.0
2001-11-30,147900.0
2001-12-31,149700.0
2002-01-31,151700.0
2002-02-28,153400.0
2002-03-31,154700.0
2002-04-30,155000.0
2002-05-31,155000.0
2002-06-30,155600.0
2002-07-31,156700.0
2002-08-31,158000.0
2002-09-30,158800.0
2002-10-31,159700.0
2002-11-30,160700.0
2002-12-31,162300.0
2003-01-31,164200.0
2003-02-28,166300.0
2003-03-31,168300.0
2003-04-30,171100.0
2003-05-31,174100.0
2003-06-30,176000.0
2003-07-31,176800.0
2003-08-31,177500.0
2003-09-30,177900.0
2003-10-31,179200.0
2003-11-30,181900.0
2003-12-31,184500.0
2004-01-31,186300.0
2004-02-29,188300.0
2004-03-31,190300.0
2004-04-30,191500.0
2004-05-31,192600.0
2004-06-30,193800.0
2004-07-31,195500.0
2004-08-31,197500.0
2004-09-30,199700.0
2004-10-31,201300.0
2004-11-30,203200.0
2004-12-31,205900.0
2005-01-31,208300.0
2005-02-28,209600.0
2005-03-31,209900.0
2005-04-30,210400.0
2005-05-31,211100.0
2005-06-30,212200.0
2005-07-31,213400.0
2005-08-31,214800.0
2005-09-30,216300.0
2005-10-31,217800.0
2005-11-30,218600.0
2005-12-31,218600.0
2006-01-31,219100.0
2006-02-28,220200.0
2006-03-31,220300.0
2006-04-30,220300.0
2006-05-31,221100.0
2006-06-30,221600.0
2006-07-31,220300.0
2006-08-31,218800.0
2006-09-30,217400.0
2006-10-31,216500.0
2006-11-30,215400.0
2006-12-31,213800.0
2007-01-31,212100.0
2007-02-28,211100.0
2007-03-31,210100.0
2007-04-30,210200.0
