Date,all_homes
1996-04-30,127000.0
1996-05-31,126900.0
1996-06-30,126600.0
1996-07-31,126400.0
1996-08-31,126200.0
1996-09-30,126100.0
1996-10-31,126100.0
1996-11-30,126200.0
1996-12-31,126400.0
1997-01-31,126700.0
1997-02-28,127100.0
1997-03-31,127300.0
1997-04-30,127200.0
1997-05-31,127300.0
1997-06-30,127300.0
1997-07-31,127200.0
1997-08-31,127100.0
1997-09-30,127000.0
1997-10-31,127100.0
1997-11-30,127100.0
1997-12-31,127200.0
1998-01-31,127600.0
1998-02-28,128200.0
1998-03-31,128700.0
1998-04-30,128900.0
1998-05-31,128900.0
1998-06-30,128900.0
1998-07-31,128800.0
1998-08-31,128900.0
1998-09-30,129200.0
1998-10-31,129400.0
1998-11-30,129700.0
1998-12-31,129900.0
1999-01-31,130300.0
1999-02-28,130800.0
1999-03-31,131300.0
1999-04-30,131900.0
1999-05-31,132200.0
1999-06-30,132400.0
1999-07-31,132800.0
1999-08-31,133400.0
1999-09-30,134000.0
1999-10-31,134400.0
1999-11-30,134800.0
1999-12-31,135400.0
2000-01-31,136300.0
2000-02-29,137000.0
2000-03-31,137700.0
2000-04-30,138300.0
2000-05-31,139000.0
2000-06-30,139700.0
2000-07-31,140400.0
2000-08-31,141000.0
2000-09-30,141300.0
2000-10-31,141900.0
2000-11-30,142600.0
2000-12-31,143500.0
2001-01-31,144500.0
2001-02-28,145600.0
2001-03-31,146500.0
2001-04-30,147700.0
2001-05-31,148800.0
2001-06-30,149900.0
2001-07-31,150800.0
2001-08-31,151700.0
2001-09-30,152800.0
2001-10-31,154100.0
2001-11-30,155300.0
2001-12-31,156400.0
2002-01-31,157600.0
2002-02-28,159000.0
2002-03-31,160600.0
2002-04-30,162100.0
2002-05-31,163500.0
2002-06-30,165200.0
2002-07-31,167100.0
2002-08-31,169100.0
2002-09-30,170800.0
2002-10-31,172600.0
2002-11-30,174800.0
2002-12-31,177200.0
2003-01-31,179300.0
2003-02-28,181200.0
2003-03-31,183300.0
2003-04-30,185300.0
2003-05-31,187400.0
2003-06-30,189600.0
2003-07-31,191900.0
2003-08-31,194400.0
2003-09-30,196900.0
2003-10-31,199500.0
2003-11-30,202100.0
2003-12-31,204800.0
2004-01-31,207700.0
2004-02-29,210700.0
2004-03-31,213600.0
2004-04-30,216800.0
2004-05-31,220500.0
2004-06-30,224800.0
2004-07-31,229100.0
2004-08-31,233500.0
2004-09-30,238200.0
2004-10-31,242800.0
2004-11-30,247200.0
2004-12-31,251700.0
2005-01-31,256300.0
2005-02-28,260900.0
2005-03-31,265300.0
2005-04-30,270000.0
2005-05-31,275300.0
2005-06-30,280500.0
2005-07-31,285300.0
2005-08-31,290200.0
2005-09-30,295400.0
2005-10-31,300000.0
2005-11-30,304000.0
2005-12-31,307100.0
2006-01-31,309500.0
2006-02-28,312000.0
2006-03-31,314700.0
2006-04-30,316900.0
2006-05-31,318700.0
2006-06-30,320200.0
2006-07-31,321700.0
2006-08-31,322500.0
2006-09-30,322500.0
2006-10-31,322400.0
2006-11-30,322600.0
2006-12-31,322500.0
2007-01-31,322300.0
2007-02-28,322400.0
2007-03-31,322700.0
2007-04-30,323100.0
2007-05-31,323000.0
2007-06-30,322200.0
2007-07-31,320700.0
2007-08-31,318900.0
2007-09-30,316900.0
2007-10-31,315000.0
2007-11-30,312900.0
2007-12-31,310100.0
2008-01-31,306900.0
2008-02-29,303800.0
2008-03-31,301000.0
2008-04-30,298300.0
2008-05-31,295100.0
2008-06-30,291700.0
2008-07-31,288500.0
2008-08-31,285700.0
2008-09-30,282900.0
2008-10-31,280300.0
2008-11-30,277900.0
2008-12-31,275200.0
2009-01-31,272700.0
2009-02-28,270600.0
2009-03-31,268500.0
2009-04-30,265900.0
2009-05-31,263100.0
2009-06-30,260300.0
2009-07-31,257600.0
2009-08-31,255600.0
2009-09-30,254300.0
2009-10-31,253100.0
2009-11-30,251700.0
2009-12-31,252000.0
2010-01-31,253000.0
2010-02-28,252600.0
2010-03-31,250800.0
2010-04-30,249700.0
2010-05-31,248600.0
2010-06-30,247300.0
2010-07-31,245900.0
2010-08-31,244300.0
2010-09-30,242600.0
2010-10-31,241000.0
2010-11-30,239300.0
2010-12-31,237500.0
2011-01-31,235800.0
2011-02-28,234200.0
2011-03-31,232300.0
2011-04-30,230300.0
2011-05-31,228800.0
2011-06-30,227700.0
2011-07-31,226800.0
2011-08-31,226000.0
2011-09-30,224800.0
2011-10-31,223500.0
2011-11-30,222700.0
2011-12-31,222000.0
2012-01-31,221500.0
2012-02-29,221400.0
2012-03-31,221600.0
2012-04-30,221600.0
2012-05-31,221900.0
2012-06-30,222500.0
2012-07-31,223600.0
2012-08-31,224700.0
2012-09-30,225900.0
2012-10-31,227100.0
2012-11-30,228100.0
2012-12-31,228800.0
2013-01-31,229800.0
2013-02-28,231100.0
2013-03-31,232300.0
2013-04-30,233300.0
2013-05-31,234100.0
2013-06-30,235000.0
2013-07-31,235700.0
2013-08-31,236500.0
2013-09-30,237200.0
2013-10-31,237700.0
2013-11-30,238300.0
2013-12-31,239100.0
2014-01-31,239300.0
2014-02-28,239600.0
2014-03-31,240500.0
2014-04-30,241800.0
2014-05-31,243400.0
2014-06-30,244900.0
2014-07-31,246100.0
2014-08-31,246800.0
2014-09-30,246800.0
2014-10-31,246800.0
2014-11-30,247100.0
2014-12-31,247000.0
2015-01-31,246700.0
2015-02-28,247000.0
2015-03-31,247900.0
2015-04-30,248700.0
2015-05-31,249400.0
2015-06-30,250500.0
2015-07-31,251800.0
2015-08-31,252500.0
2015-09-30,253000.0
2015-10-31,253400.0
2015-11-30,254200.0
2015-12-31,254900.0
2016-01-31,255100.0
2016-02-29,255200.0
2016-03-31,256100.0
2016-04-30,257900.0
2016-05-31,259300.0
2016-06-30,260000.0
2016-07-31,260400.0
2016-08-31,261000.0
2016-09-30,262300.0
2016-10-31,264300.0
2016-11-30,266000.0
2016-12-31,267300.0
2017-01-31,268200.0
2017-02-28,268800.0
2017-03-31,268800.0
2017-04-30,268600.0
2017-05-31,268400.0
2017-06-30,268400.0
2017-07-31,268800.0
2017-08-31,270000.0
2017-09-30,271500.0
2017-10-31,272300.0
2017-11-30,272600.0
2017-12-31,273000.0
