Date,all_homes
1996-04-30,137300.0
1996-05-31,137700.0
1996-06-30,138000.0
1996-07-31,138200.0
1996-08-31,138500.0
1996-09-30,138900.0
1996-10-31,139300.0
1996-11-30,139800.0
1996-12-31,140600.0
1997-01-31,141500.0
1997-02-28,142500.0
1997-03-31,143300.0
1997-04-30,144000.0
1997-05-31,144500.0
1997-06-30,145200.0
1997-07-31,145900.0
1997-08-31,146200.0
1997-09-30,146600.0
1997-10-31,147100.0
1997-11-30,147900.0
1997-12-31,149000.0
1998-01-31,150300.0
1998-02-28,151600.0
1998-03-31,152500.0
1998-04-30,153500.0
1998-05-31,154500.0
1998-06-30,155400.0
1998-07-31,156400.0
1998-08-31,157700.0
1998-09-30,158800.0
1998-10-31,159900.0
1998-11-30,161000.0
1998-12-31,162100.0
1999-01-31,163300.0
1999-02-28,164900.0
1999-03-31,166700.0
1999-04-30,168400.0
1999-05-31,170200.0
1999-06-30,172100.0
1999-07-31,173900.0
1999-08-31,175700.0
1999-09-30,177500.0
1999-10-31,179500.0
1999-11-30,181600.0
1999-12-31,183600.0
2000-01-31,185800.0
2000-02-29,188100.0
2000-03-31,190400.0
2000-04-30,192900.0
2000-05-31,195700.0
2000-06-30,198800.0
2000-07-31,201800.0
2000-08-31,204800.0
2000-09-30,207600.0
2000-10-31,210600.0
2000-11-30,213700.0
2000-12-31,216500.0
2001-01-31,219400.0
2001-02-28,222400.0
2001-03-31,225600.0
2001-04-30,228600.0
2001-05-31,231500.0
2001-06-30,234300.0
2001-07-31,237200.0
2001-08-31,240200.0
2001-09-30,243400.0
2001-10-31,246100.0
2001-11-30,248600.0
2001-12-31,251000.0
2002-01-31,253200.0
2002-02-28,255500.0
2002-03-31,258000.0
2002-04-30,260600.0
2002-05-31,263200.0
2002-06-30,266000.0
2002-07-31,269100.0
2002-08-31,272400.0
2002-09-30,275900.0
2002-10-31,279100.0
2002-11-30,282400.0
2002-12-31,286000.0
2003-01-31,289500.0
2003-02-28,292300.0
2003-03-31,294700.0
2003-04-30,297100.0
2003-05-31,299100.0
2003-06-30,301100.0
2003-07-31,303200.0
2003-08-31,305300.0
2003-09-30,307200.0
2003-10-31,309300.0
2003-11-30,311400.0
2003-12-31,313100.0
2004-01-31,315100.0
2004-02-29,317500.0
2004-03-31,320100.0
2004-04-30,322800.0
2004-05-31,325700.0
2004-06-30,328600.0
2004-07-31,331300.0
2004-08-31,334000.0
2004-09-30,336400.0
2004-10-31,338700.0
2004-11-30,341100.0
2004-12-31,343400.0
2005-01-31,345700.0
2005-02-28,348200.0
2005-03-31,350600.0
2005-04-30,352600.0
2005-05-31,354300.0
2005-06-30,355500.0
2005-07-31,356300.0
2005-08-31,356900.0
2005-09-30,357200.0
2005-10-31,357600.0
2005-11-30,357700.0
2005-12-31,357100.0
2006-01-31,356100.0
2006-02-28,355100.0
2006-03-31,354500.0
2006-04-30,353800.0
2006-05-31,352600.0
2006-06-30,350900.0
2006-07-31,349000.0
2006-08-31,347000.0
2006-09-30,345000.0
2006-10-31,343100.0
2006-11-30,341500.0
2006-12-31,339600.0
2007-01-31,338100.0
2007-02-28,337600.0
2007-03-31,337400.0
2007-04-30,336700.0
2007-05-31,335500.0
2007-06-30,334200.0
2007-07-31,332900.0
2007-08-31,331800.0
2007-09-30,330900.0
2007-10-31,329700.0
2007-11-30,328300.0
2007-12-31,326600.0
2008-01-31,324700.0
2008-02-29,322100.0
2008-03-31,318800.0
2008-04-30,315500.0
2008-05-31,313200.0
2008-06-30,311300.0
2008-07-31,309600.0
2008-08-31,308000.0
2008-09-30,306500.0
2008-10-31,305000.0
2008-11-30,303900.0
2008-12-31,302500.0
2009-01-31,301200.0
2009-02-28,300200.0
2009-03-31,299100.0
2009-04-30,297200.0
2009-05-31,294600.0
2009-06-30,292900.0
2009-07-31,292600.0
2009-08-31,293100.0
2009-09-30,293600.0
2009-10-31,293900.0
2009-11-30,293500.0
2009-12-31,295000.0
2010-01-31,297200.0
2010-02-28,297600.0
2010-03-31,296800.0
2010-04-30,297400.0
2010-05-31,298100.0
2010-06-30,298400.0
2010-07-31,297700.0
2010-08-31,296000.0
2010-09-30,294200.0
2010-10-31,292700.0
2010-11-30,291500.0
2010-12-31,290400.0
2011-01-31,289300.0
2011-02-28,288700.0
2011-03-31,288800.0
2011-04-30,288800.0
2011-05-31,288400.0
2011-06-30,287900.0
2011-07-31,287300.0
2011-08-31,286400.0
2011-09-30,285500.0
2011-10-31,284700.0
2011-11-30,284100.0
2011-12-31,283500.0
2012-01-31,283000.0
2012-02-29,282100.0
2012-03-31,281600.0
2012-04-30,282200.0
2012-05-31,283300.0
2012-06-30,284000.0
2012-07-31,284200.0
2012-08-31,284500.0
2012-09-30,285000.0
2012-10-31,286100.0
2012-11-30,287500.0
2012-12-31,288500.0
2013-01-31,289600.0
2013-02-28,291300.0
2013-03-31,293900.0
2013-04-30,296600.0
2013-05-31,299300.0
2013-06-30,301900.0
2013-07-31,304400.0
2013-08-31,306500.0
2013-09-30,308100.0
2013-10-31,309300.0
2013-11-30,310600.0
2013-12-31,311400.0
2014-01-31,312000.0
2014-02-28,313000.0
2014-03-31,313400.0
2014-04-30,313200.0
2014-05-31,314000.0
2014-06-30,315200.0
2014-07-31,316100.0
2014-08-31,317500.0
2014-09-30,319000.0
2014-10-31,320400.0
2014-11-30,321800.0
2014-12-31,323400.0
2015-01-31,324600.0
2015-02-28,326200.0
2015-03-31,327900.0
2015-04-30,329200.0
2015-05-31,330200.0
2015-06-30,331400.0
2015-07-31,333100.0
2015-08-31,335000.0
2015-09-30,336600.0
2015-10-31,338100.0
2015-11-30,339800.0
2015-12-31,341500.0
2016-01-31,342900.0
2016-02-29,344100.0
2016-03-31,345500.0
2016-04-30,347200.0
2016-05-31,348900.0
2016-06-30,350500.0
2016-07-31,352200.0
2016-08-31,354100.0
2016-09-30,356400.0
2016-10-31,358700.0
2016-11-30,361000.0
2016-12-31,362900.0
2017-01-31,365000.0
2017-02-28,367400.0
2017-03-31,369900.0
2017-04-30,371700.0
2017-05-31,373500.0
2017-06-30,374900.0
2017-07-31,376500.0
2017-08-31,378400.0
2017-09-30,380500.0
2017-10-31,382400.0
2017-11-30,383900.0
2017-12-31,385100.0
