Date,all_homes
1996-04-30,87600.0
1996-05-31,87100.0
1996-06-30,87300.0
1996-07-31,88200.0
1996-08-31,87900.0
1996-09-30,87300.0
1996-10-31,87000.0
1996-11-30,87500.0
1996-12-31,87700.0
1997-01-31,87600.0
1997-02-28,87600.0
1997-03-31,88000.0
1997-04-30,88600.0
1997-05-31,89400.0
1997-06-30,90000.0
1997-07-31,90300.0
1997-08-31,90700.0
1997-09-30,91100.0
1997-10-31,91500.0
1997-11-30,92200.0
1997-12-31,93100.0
1998-01-31,94000.0
1998-02-28,94300.0
1998-03-31,94200.0
1998-04-30,94700.0
1998-05-31,95500.0
1998-06-30,96000.0
1998-07-31,96400.0
1998-08-31,97100.0
1998-09-30,98000.0
1998-10-31,98900.0
1998-11-30,99500.0
1998-12-31,100000.0
1999-01-31,101000.0
1999-02-28,102300.0
1999-03-31,103500.0
1999-04-30,104600.0
1999-05-31,105700.0
1999-06-30,106700.0
1999-07-31,107700.0
1999-08-31,108700.0
1999-09-30,109600.0
1999-10-31,110200.0
1999-11-30,110900.0
1999-12-31,111600.0
2000-01-31,112400.0
2000-02-29,113500.0
2000-03-31,114400.0
2000-04-30,115000.0
2000-05-31,115600.0
2000-06-30,116400.0
2000-07-31,116900.0
2000-08-31,117300.0
2000-09-30,117800.0
2000-10-31,118400.0
2000-11-30,118900.0
2000-12-31,119700.0
2001-01-31,120600.0
2001-02-28,121500.0
2001-03-31,122000.0
2001-04-30,122500.0
2001-05-31,123200.0
2001-06-30,123800.0
2001-07-31,124500.0
2001-08-31,125300.0
2001-09-30,125900.0
2001-10-31,126100.0
2001-11-30,126300.0
2001-12-31,126500.0
2002-01-31,126700.0
2002-02-28,127000.0
2002-03-31,127300.0
2002-04-30,127500.0
2002-05-31,127700.0
2002-06-30,128000.0
2002-07-31,128400.0
2002-08-31,129000.0
2002-09-30,129800.0
2002-10-31,130700.0
2002-11-30,131500.0
2002-12-31,131900.0
2003-01-31,132200.0
2003-02-28,132600.0
2003-03-31,133100.0
2003-04-30,133600.0
2003-05-31,134000.0
2003-06-30,134300.0
2003-07-31,134600.0
2003-08-31,135000.0
2003-09-30,135300.0
2003-10-31,135600.0
2003-11-30,136000.0
2003-12-31,136300.0
2004-01-31,136800.0
2004-02-29,137200.0
2004-03-31,137500.0
2004-04-30,137700.0
2004-05-31,138000.0
2004-06-30,138300.0
2004-07-31,138600.0
2004-08-31,139000.0
2004-09-30,139500.0
2004-10-31,139800.0
2004-11-30,140000.0
2004-12-31,140400.0
2005-01-31,140700.0
2005-02-28,141000.0
2005-03-31,141500.0
2005-04-30,141900.0
2005-05-31,142200.0
2005-06-30,142400.0
2005-07-31,142500.0
2005-08-31,142600.0
2005-09-30,142500.0
2005-10-31,142500.0
2005-11-30,142400.0
2005-12-31,142400.0
2006-01-31,142500.0
2006-02-28,142300.0
2006-03-31,142000.0
2006-04-30,141600.0
2006-05-31,141200.0
2006-06-30,140900.0
2006-07-31,140600.0
2006-08-31,139900.0
2006-09-30,139000.0
2006-10-31,138500.0
2006-11-30,138100.0
2006-12-31,137800.0
2007-01-31,137300.0
2007-02-28,136900.0
2007-03-31,136400.0
2007-04-30,135800.0
2007-05-31,135100.0
2007-06-30,134200.0
2007-07-31,133300.0
2007-08-31,132600.0
2007-09-30,131800.0
2007-10-31,130700.0
2007-11-30,129500.0
2007-12-31,128500.0
2008-01-31,127600.0
