Date,all_homes
1996-04-30,95700.0
1996-05-31,96200.0
1996-06-30,96200.0
1996-07-31,96200.0
1996-08-31,96200.0
1996-09-30,96200.0
1996-10-31,96200.0
1996-11-30,96300.0
1996-12-31,96600.0
1997-01-31,97300.0
1997-02-28,98200.0
1997-03-31,98900.0
1997-04-30,99400.0
1997-05-31,99900.0
1997-06-30,100200.0
1997-07-31,100600.0
1997-08-31,100900.0
1997-09-30,101400.0
1997-10-31,101900.0
1997-11-30,102500.0
1997-12-31,103200.0
1998-01-31,103900.0
1998-02-28,104900.0
1998-03-31,105800.0
1998-04-30,106400.0
1998-05-31,106700.0
1998-06-30,107100.0
1998-07-31,107500.0
1998-08-31,108300.0
1998-09-30,109000.0
1998-10-31,109700.0
1998-11-30,110500.0
1998-12-31,111600.0
1999-01-31,112500.0
1999-02-28,113600.0
1999-03-31,114800.0
1999-04-30,115700.0
1999-05-31,116500.0
1999-06-30,117700.0
1999-07-31,119200.0
1999-08-31,120600.0
1999-09-30,121800.0
1999-10-31,123000.0
1999-11-30,124300.0
1999-12-31,125500.0
2000-01-31,126600.0
2000-02-29,127500.0
2000-03-31,128500.0
2000-04-30,129800.0
2000-05-31,131100.0
2000-06-30,132500.0
2000-07-31,133900.0
2000-08-31,135300.0
2000-09-30,136800.0
2000-10-31,138300.0
2000-11-30,139400.0
2000-12-31,140600.0
2001-01-31,142100.0
2001-02-28,143400.0
2001-03-31,144800.0
2001-04-30,146500.0
2001-05-31,148100.0
2001-06-30,149500.0
2001-07-31,150700.0
2001-08-31,151800.0
2001-09-30,153100.0
2001-10-31,154200.0
2001-11-30,155100.0
2001-12-31,156200.0
2002-01-31,157400.0
2002-02-28,158400.0
2002-03-31,159300.0
2002-04-30,160300.0
2002-05-31,161600.0
2002-06-30,163000.0
2002-07-31,164400.0
2002-08-31,165800.0
2002-09-30,167200.0
2002-10-31,168500.0
2002-11-30,169700.0
2002-12-31,170600.0
2003-01-31,171600.0
2003-02-28,173100.0
2003-03-31,174600.0
2003-04-30,175800.0
2003-05-31,177000.0
2003-06-30,178100.0
2003-07-31,179100.0
2003-08-31,180100.0
2003-09-30,181100.0
2003-10-31,182200.0
2003-11-30,183300.0
2003-12-31,184400.0
2004-01-31,185500.0
2004-02-29,186400.0
2004-03-31,187100.0
2004-04-30,188000.0
2004-05-31,189100.0
2004-06-30,190600.0
2004-07-31,192100.0
2004-08-31,193500.0
2004-09-30,194500.0
2004-10-31,195500.0
2004-11-30,196800.0
2004-12-31,198200.0
2005-01-31,199400.0
2005-02-28,200600.0
2005-03-31,202000.0
2005-04-30,203100.0
2005-05-31,204000.0
2005-06-30,204800.0
2005-07-31,205700.0
2005-08-31,206400.0
2005-09-30,207000.0
2005-10-31,207700.0
2005-11-30,208300.0
2005-12-31,208800.0
2006-01-31,209200.0
2006-02-28,209700.0
2006-03-31,210100.0
2006-04-30,210600.0
2006-05-31,210900.0
2006-06-30,210700.0
2006-07-31,210200.0
2006-08-31,209600.0
2006-09-30,209300.0
2006-10-31,209000.0
2006-11-30,208700.0
2006-12-31,208500.0
2007-01-31,208500.0
2007-02-28,208300.0
2007-03-31,207800.0
2007-04-30,207100.0
2007-05-31,206300.0
2007-06-30,205200.0
2007-07-31,204200.0
2007-08-31,203300.0
2007-09-30,202500.0
2007-10-31,201600.0
2007-11-30,200400.0
2007-12-31,199400.0
2008-01-31,198400.0
2008-02-29,197000.0
2008-03-31,195300.0
2008-04-30,193500.0
2008-05-31,191700.0
2008-06-30,190100.0
2008-07-31,188600.0
2008-08-31,187400.0
2008-09-30,186400.0
2008-10-31,185500.0
2008-11-30,184700.0
2008-12-31,184400.0
2009-01-31,184300.0
2009-02-28,184000.0
2009-03-31,183300.0
2009-04-30,182300.0
2009-05-31,181000.0
2009-06-30,179800.0
2009-07-31,178600.0
2009-08-31,177700.0
2009-09-30,177000.0
2009-10-31,176200.0
2009-11-30,175700.0
2009-12-31,173500.0
2010-01-31,169700.0
2010-02-28,167000.0
2010-03-31,166300.0
2010-04-30,165800.0
2010-05-31,165500.0
2010-06-30,165200.0
2010-07-31,164500.0
2010-08-31,163200.0
2010-09-30,161600.0
2010-10-31,160100.0
2010-11-30,158900.0
2010-12-31,158300.0
2011-01-31,157900.0
2011-02-28,157000.0
2011-03-31,155100.0
2011-04-30,153300.0
2011-05-31,152300.0
2011-06-30,151600.0
2011-07-31,150900.0
2011-08-31,150100.0
2011-09-30,149500.0
2011-10-31,149000.0
2011-11-30,148100.0
2011-12-31,147500.0
2012-01-31,147500.0
2012-02-29,148000.0
2012-03-31,148900.0
2012-04-30,150000.0
2012-05-31,150600.0
2012-06-30,151100.0
2012-07-31,151900.0
2012-08-31,153000.0
2012-09-30,154100.0
2012-10-31,155100.0
2012-11-30,155900.0
2012-12-31,156800.0
2013-01-31,157900.0
2013-02-28,159300.0
2013-03-31,160400.0
2013-04-30,161200.0
2013-05-31,162100.0
2013-06-30,163100.0
2013-07-31,164300.0
2013-08-31,165400.0
2013-09-30,166200.0
2013-10-31,167000.0
2013-11-30,168100.0
2013-12-31,169400.0
2014-01-31,170500.0
2014-02-28,171300.0
2014-03-31,172000.0
2014-04-30,172800.0
2014-05-31,173600.0
2014-06-30,174300.0
2014-07-31,175000.0
2014-08-31,175600.0
2014-09-30,176100.0
2014-10-31,176300.0
2014-11-30,176500.0
2014-12-31,177000.0
2015-01-31,177600.0
2015-02-28,178100.0
2015-03-31,178600.0
2015-04-30,179100.0
2015-05-31,179800.0
2015-06-30,180600.0
2015-07-31,181400.0
2015-08-31,182100.0
2015-09-30,183000.0
2015-10-31,184100.0
2015-11-30,185100.0
2015-12-31,186200.0
2016-01-31,187500.0
2016-02-29,188600.0
2016-03-31,189700.0
2016-04-30,191000.0
2016-05-31,192400.0
2016-06-30,193600.0
2016-07-31,194700.0
2016-08-31,196000.0
2016-09-30,197300.0
2016-10-31,198400.0
2016-11-30,199800.0
2016-12-31,201500.0
2017-01-31,203100.0
2017-02-28,204100.0
2017-03-31,205200.0
2017-04-30,206700.0
2017-05-31,207800.0
2017-06-30,207900.0
2017-07-31,208300.0
2017-08-31,209100.0
2017-09-30,210000.0
2017-10-31,210900.0
2017-11-30,211400.0
2017-12-31,211800.0
