Date,all_homes
1996-04-30,64200.0
1996-05-31,64200.0
1996-06-30,64400.0
1996-07-31,64600.0
1996-08-31,65000.0
1996-09-30,65500.0
1996-10-31,65600.0
1996-11-30,65500.0
1996-12-31,65400.0
1997-01-31,65200.0
1997-02-28,65000.0
1997-03-31,65100.0
1997-04-30,65300.0
1997-05-31,65600.0
1997-06-30,65900.0
1997-07-31,66100.0
1997-08-31,66500.0
1997-09-30,67000.0
1997-10-31,67700.0
1997-11-30,68200.0
1997-12-31,68600.0
1998-01-31,68700.0
1998-02-28,68900.0
1998-03-31,69400.0
1998-04-30,70000.0
1998-05-31,70400.0
1998-06-30,70900.0
1998-07-31,71600.0
1998-08-31,72000.0
1998-09-30,72100.0
1998-10-31,72100.0
1998-11-30,71900.0
1998-12-31,72000.0
1999-01-31,72300.0
1999-02-28,72800.0
1999-03-31,73200.0
1999-04-30,73400.0
1999-05-31,73400.0
1999-06-30,73200.0
1999-07-31,73000.0
1999-08-31,73000.0
1999-09-30,73200.0
1999-10-31,73500.0
1999-11-30,73500.0
1999-12-31,73400.0
2000-01-31,73400.0
2000-02-29,73800.0
2000-03-31,74100.0
2000-04-30,73800.0
2000-05-31,73500.0
2000-06-30,73600.0
2000-07-31,74000.0
2000-08-31,74000.0
2000-09-30,73700.0
2000-10-31,73500.0
2000-11-30,73600.0
2000-12-31,73800.0
2001-01-31,74500.0
2001-02-28,75000.0
2001-03-31,75400.0
2001-04-30,75600.0
2001-05-31,75900.0
2001-06-30,76200.0
2001-07-31,76400.0
2001-08-31,76600.0
2001-09-30,76700.0
2001-10-31,76800.0
2001-11-30,76900.0
2001-12-31,77100.0
2002-01-31,77200.0
2002-02-28,77100.0
2002-03-31,76900.0
2002-04-30,76900.0
2002-05-31,77100.0
2002-06-30,76900.0
2002-07-31,76700.0
2002-08-31,76400.0
2002-09-30,76500.0
2002-10-31,76700.0
2002-11-30,77000.0
2002-12-31,77000.0
2003-01-31,77200.0
2003-02-28,77700.0
2003-03-31,78100.0
2003-04-30,78400.0
2003-05-31,78700.0
2003-06-30,79200.0
2003-07-31,80000.0
2003-08-31,80600.0
2003-09-30,80800.0
2003-10-31,80700.0
2003-11-30,80700.0
2003-12-31,81200.0
2004-01-31,81700.0
2004-02-29,81800.0
2004-03-31,82000.0
2004-04-30,82400.0
2004-05-31,82700.0
2004-06-30,83000.0
2004-07-31,83100.0
2004-08-31,83300.0
2004-09-30,83800.0
2004-10-31,84300.0
2004-11-30,84700.0
2004-12-31,85100.0
2005-01-31,84800.0
2005-02-28,84300.0
2005-03-31,84000.0
2005-04-30,84000.0
2005-05-31,84100.0
2005-06-30,84000.0
2005-07-31,83800.0
2005-08-31,83900.0
2005-09-30,84100.0
2005-10-31,84600.0
2005-11-30,85400.0
2005-12-31,85800.0
2006-01-31,85800.0
2006-02-28,85900.0
2006-03-31,86700.0
2006-04-30,87700.0
2006-05-31,88300.0
2006-06-30,88900.0
2006-07-31,89600.0
2006-08-31,90100.0
2006-09-30,90400.0
2006-10-31,91100.0
2006-11-30,91800.0
2006-12-31,92500.0
2007-01-31,93700.0
2007-02-28,94900.0
2007-03-31,95200.0
2007-04-30,95400.0
2007-05-31,95800.0
2007-06-30,96300.0
2007-07-31,96700.0
2007-08-31,97100.0
2007-09-30,97200.0
2007-10-31,97100.0
2007-11-30,97000.0
2007-12-31,97300.0
2008-01-31,98100.0
2008-02-29,98700.0
2008-03-31,99000.0
2008-04-30,99100.0
2008-05-31,99500.0
2008-06-30,100000.0
2008-07-31,100900.0
2008-08-31,102800.0
2008-09-30,105400.0
2008-10-31,107700.0
2008-11-30,109900.0
2008-12-31,112300.0
2009-01-31,114800.0
2009-02-28,117100.0
2009-03-31,119200.0
2009-04-30,121600.0
2009-05-31,124000.0
2009-06-30,126100.0
2009-07-31,127100.0
2009-08-31,127000.0
2009-09-30,126800.0
2009-10-31,126400.0
2009-11-30,125700.0
2009-12-31,123600.0
2010-01-31,120900.0
2010-02-28,119400.0
2010-03-31,119300.0
2010-04-30,118800.0
2010-05-31,117700.0
2010-06-30,116400.0
2010-07-31,115400.0
2010-08-31,114500.0
2010-09-30,113500.0
2010-10-31,112600.0
2010-11-30,111800.0
2010-12-31,111500.0
2011-01-31,111400.0
2011-02-28,111200.0
2011-03-31,110800.0
2011-04-30,110500.0
2011-05-31,110300.0
2011-06-30,110300.0
2011-07-31,110500.0
2011-08-31,110400.0
2011-09-30,110100.0
2011-10-31,109900.0
2011-11-30,109600.0
2011-12-31,109300.0
2012-01-31,109100.0
2012-02-29,108600.0
2012-03-31,107900.0
2012-04-30,107500.0
2012-05-31,107200.0
2012-06-30,107000.0
2012-07-31,106900.0
2012-08-31,107000.0
2012-09-30,107000.0
2012-10-31,107000.0
2012-11-30,107000.0
2012-12-31,107300.0
2013-01-31,107500.0
2013-02-28,107500.0
2013-03-31,107400.0
2013-04-30,107400.0
2013-05-31,107400.0
2013-06-30,107400.0
2013-07-31,107500.0
2013-08-31,107400.0
2013-09-30,107200.0
2013-10-31,107400.0
2013-11-30,107600.0
2013-12-31,107700.0
2014-01-31,107900.0
2014-02-28,108100.0
2014-03-31,108300.0
2014-04-30,108500.0
2014-05-31,108500.0
2014-06-30,108300.0
2014-07-31,108100.0
2014-08-31,108000.0
2014-09-30,108000.0
2014-10-31,108100.0
2014-11-30,108100.0
2014-12-31,108000.0
2015-01-31,107900.0
2015-02-28,108000.0
2015-03-31,108300.0
2015-04-30,108400.0
2015-05-31,108600.0
2015-06-30,108700.0
2015-07-31,108700.0
2015-08-31,108800.0
2015-09-30,109200.0
2015-10-31,109400.0
2015-11-30,109300.0
2015-12-31,109100.0
2016-01-31,109400.0
2016-02-29,109800.0
2016-03-31,109900.0
2016-04-30,109900.0
2016-05-31,109900.0
2016-06-30,110000.0
2016-07-31,110500.0
2016-08-31,111100.0
2016-09-30,111500.0
2016-10-31,111900.0
2016-11-30,111900.0
2016-12-31,111800.0
2017-01-31,111700.0
2017-02-28,112000.0
2017-03-31,112200.0
2017-04-30,112500.0
2017-05-31,112900.0
2017-06-30,113500.0
2017-07-31,114000.0
2017-08-31,114500.0
2017-09-30,114600.0
2017-10-31,114300.0
2017-11-30,115700.0
2017-12-31,118500.0
