Date,all_homes
1996-04-30,80700.0
1996-05-31,81400.0
1996-06-30,82000.0
1996-07-31,82600.0
1996-08-31,83300.0
1996-09-30,83700.0
1996-10-31,83700.0
1996-11-30,83600.0
1996-12-31,84200.0
1997-01-31,85500.0
1997-02-28,86700.0
1997-03-31,87600.0
1997-04-30,88000.0
1997-05-31,88200.0
1997-06-30,88900.0
1997-07-31,89500.0
1997-08-31,90000.0
1997-09-30,90400.0
1997-10-31,91000.0
1997-11-30,91300.0
1997-12-31,91700.0
1998-01-31,92100.0
1998-02-28,92600.0
1998-03-31,93200.0
1998-04-30,93600.0
1998-05-31,94100.0
1998-06-30,94300.0
1998-07-31,94400.0
1998-08-31,94600.0
1998-09-30,94700.0
1998-10-31,94800.0
1998-11-30,95400.0
1998-12-31,96100.0
1999-01-31,96700.0
1999-02-28,97500.0
1999-03-31,98200.0
1999-04-30,98600.0
1999-05-31,99100.0
1999-06-30,100000.0
1999-07-31,101200.0
1999-08-31,102200.0
1999-09-30,102600.0
1999-10-31,102800.0
1999-11-30,103000.0
1999-12-31,103800.0
2000-01-31,104900.0
2000-02-29,105800.0
2000-03-31,106700.0
2000-04-30,107500.0
2000-05-31,108000.0
2000-06-30,108600.0
2000-07-31,109700.0
2000-08-31,110700.0
2000-09-30,111200.0
2000-10-31,111800.0
2000-11-30,112800.0
2000-12-31,113600.0
2001-01-31,114100.0
2001-02-28,114800.0
2001-03-31,115600.0
2001-04-30,116200.0
2001-05-31,117000.0
2001-06-30,117900.0
2001-07-31,118300.0
2001-08-31,118300.0
2001-09-30,118800.0
2001-10-31,119600.0
2001-11-30,120400.0
2001-12-31,121000.0
2002-01-31,121600.0
2002-02-28,122200.0
2002-03-31,122700.0
2002-04-30,123400.0
2002-05-31,124200.0
2002-06-30,124700.0
2002-07-31,124700.0
2002-08-31,125100.0
2002-09-30,126300.0
2002-10-31,127800.0
2002-11-30,128300.0
2002-12-31,127800.0
2003-01-31,127900.0
2003-02-28,128900.0
2003-03-31,130000.0
2003-04-30,130800.0
2003-05-31,131600.0
2003-06-30,132100.0
2003-07-31,132800.0
2003-08-31,133800.0
2003-09-30,134700.0
2003-10-31,135600.0
2003-11-30,136800.0
2003-12-31,137700.0
2004-01-31,137500.0
2004-02-29,136500.0
2004-03-31,135900.0
2004-04-30,135700.0
2004-05-31,136000.0
2004-06-30,136500.0
2004-07-31,137100.0
2004-08-31,137700.0
2004-09-30,138300.0
2004-10-31,138800.0
2004-11-30,139400.0
2004-12-31,140300.0
2005-01-31,141600.0
2005-02-28,142600.0
2005-03-31,143500.0
2005-04-30,144200.0
2005-05-31,144300.0
2005-06-30,144300.0
2005-07-31,144800.0
2005-08-31,145300.0
2005-09-30,145500.0
2005-10-31,145600.0
2005-11-30,145900.0
2005-12-31,146800.0
2006-01-31,147800.0
2006-02-28,148500.0
2006-03-31,148600.0
2006-04-30,148900.0
2006-05-31,149400.0
2006-06-30,150000.0
2006-07-31,150400.0
2006-08-31,150900.0
2006-09-30,151300.0
2006-10-31,151700.0
2006-11-30,151800.0
2006-12-31,151700.0
2007-01-31,151600.0
2007-02-28,151500.0
2007-03-31,151900.0
2007-04-30,152600.0
2007-05-31,153200.0
2007-06-30,152900.0
2007-07-31,152400.0
2007-08-31,151800.0
2007-09-30,151100.0
2007-10-31,150000.0
2007-11-30,149000.0
2007-12-31,148500.0
2008-01-31,148400.0
2008-02-29,148400.0
2008-03-31,148100.0
2008-04-30,147800.0
2008-05-31,147700.0
2008-06-30,147500.0
2008-07-31,147000.0
2008-08-31,146400.0
2008-09-30,146100.0
2008-10-31,146000.0
2008-11-30,145700.0
2008-12-31,145600.0
2009-01-31,145600.0
2009-02-28,145500.0
2009-03-31,144900.0
2009-04-30,144100.0
2009-05-31,143200.0
2009-06-30,142500.0
2009-07-31,142000.0
2009-08-31,141700.0
2009-09-30,141500.0
2009-10-31,141500.0
2009-11-30,141800.0
2009-12-31,140500.0
2010-01-31,138000.0
2010-02-28,136400.0
2010-03-31,136200.0
2010-04-30,135800.0
2010-05-31,135400.0
2010-06-30,135000.0
2010-07-31,134500.0
2010-08-31,133800.0
2010-09-30,132800.0
2010-10-31,131800.0
2010-11-30,130900.0
2010-12-31,130500.0
2011-01-31,130500.0
2011-02-28,130200.0
2011-03-31,129600.0
2011-04-30,128800.0
2011-05-31,128000.0
2011-06-30,127500.0
2011-07-31,127000.0
2011-08-31,126400.0
2011-09-30,125700.0
2011-10-31,124800.0
2011-11-30,123700.0
2011-12-31,123100.0
2012-01-31,122700.0
2012-02-29,122300.0
2012-03-31,122000.0
2012-04-30,121900.0
2012-05-31,121500.0
2012-06-30,121300.0
2012-07-31,121400.0
2012-08-31,121500.0
2012-09-30,121300.0
2012-10-31,121400.0
2012-11-30,121700.0
2012-12-31,122000.0
2013-01-31,122300.0
2013-02-28,122600.0
2013-03-31,122600.0
2013-04-30,122400.0
2013-05-31,122600.0
2013-06-30,123000.0
2013-07-31,123200.0
2013-08-31,123300.0
2013-09-30,123500.0
2013-10-31,123700.0
2013-11-30,123800.0
2013-12-31,124000.0
2014-01-31,124300.0
2014-02-28,124500.0
2014-03-31,124700.0
2014-04-30,124900.0
2014-05-31,125100.0
2014-06-30,125300.0
2014-07-31,125400.0
2014-08-31,125600.0
2014-09-30,125900.0
2014-10-31,126200.0
2014-11-30,126400.0
2014-12-31,126800.0
2015-01-31,127300.0
2015-02-28,127500.0
2015-03-31,127700.0
2015-04-30,127900.0
2015-05-31,128000.0
2015-06-30,128400.0
2015-07-31,128800.0
2015-08-31,129100.0
2015-09-30,129500.0
2015-10-31,130100.0
2015-11-30,130400.0
2015-12-31,130800.0
2016-01-31,131300.0
2016-02-29,132000.0
2016-03-31,132700.0
2016-04-30,133500.0
2016-05-31,134500.0
2016-06-30,135300.0
2016-07-31,136100.0
2016-08-31,136800.0
2016-09-30,137500.0
2016-10-31,138200.0
2016-11-30,138800.0
2016-12-31,139300.0
2017-01-31,139700.0
2017-02-28,140000.0
2017-03-31,140200.0
2017-04-30,140600.0
2017-05-31,140900.0
2017-06-30,140900.0
2017-07-31,141000.0
2017-08-31,141400.0
2017-09-30,142000.0
2017-10-31,142600.0
2017-11-30,143400.0
2017-12-31,144200.0
