Date,all_homes
1996-04-30,82200.0
1996-05-31,82500.0
1996-06-30,82600.0
1996-07-31,82800.0
1996-08-31,83100.0
1996-09-30,83400.0
1996-10-31,83700.0
1996-11-30,83800.0
1996-12-31,84100.0
1997-01-31,84400.0
1997-02-28,84700.0
1997-03-31,85100.0
1997-04-30,85800.0
1997-05-31,86500.0
1997-06-30,86900.0
1997-07-31,87200.0
1997-08-31,87400.0
1997-09-30,87700.0
1997-10-31,88100.0
1997-11-30,88500.0
1997-12-31,88800.0
1998-01-31,89300.0
1998-02-28,89800.0
1998-03-31,90000.0
1998-04-30,90000.0
1998-05-31,90100.0
1998-06-30,90200.0
1998-07-31,90900.0
1998-08-31,91900.0
1998-09-30,92500.0
1998-10-31,93000.0
1998-11-30,93500.0
1998-12-31,93900.0
1999-01-31,94700.0
1999-02-28,95700.0
1999-03-31,96400.0
1999-04-30,96800.0
1999-05-31,97300.0
1999-06-30,98000.0
1999-07-31,98600.0
1999-08-31,98900.0
1999-09-30,98900.0
1999-10-31,98800.0
1999-11-30,99100.0
1999-12-31,99500.0
2000-01-31,100000.0
2000-02-29,100300.0
2000-03-31,100900.0
2000-04-30,101600.0
2000-05-31,102400.0
2000-06-30,103100.0
2000-07-31,103800.0
2000-08-31,104800.0
2000-09-30,105400.0
2000-10-31,105800.0
2000-11-30,106300.0
2000-12-31,106800.0
2001-01-31,107200.0
2001-02-28,107500.0
2001-03-31,107500.0
2001-04-30,107300.0
2001-05-31,107200.0
2001-06-30,107100.0
2001-07-31,106900.0
2001-08-31,106300.0
2001-09-30,106300.0
2001-10-31,106700.0
2001-11-30,107000.0
2001-12-31,107300.0
2002-01-31,107800.0
2002-02-28,108200.0
2002-03-31,108400.0
2002-04-30,108500.0
2002-05-31,108300.0
2002-06-30,108000.0
2002-07-31,108200.0
2002-08-31,108700.0
2002-09-30,109200.0
2002-10-31,109700.0
2002-11-30,110100.0
2002-12-31,110400.0
2003-01-31,110400.0
2003-02-28,110600.0
2003-03-31,110900.0
2003-04-30,111300.0
2003-05-31,112100.0
2003-06-30,113000.0
2003-07-31,113500.0
2003-08-31,113400.0
2003-09-30,113700.0
2003-10-31,114300.0
2003-11-30,114500.0
2003-12-31,114600.0
2004-01-31,114900.0
2004-02-29,115600.0
2004-03-31,116100.0
2004-04-30,116500.0
2004-05-31,116900.0
2004-06-30,117100.0
2004-07-31,117300.0
2004-08-31,117800.0
2004-09-30,118300.0
2004-10-31,118600.0
2004-11-30,119000.0
2004-12-31,119400.0
2005-01-31,119500.0
2005-02-28,119600.0
2005-03-31,120200.0
2005-04-30,121000.0
2005-05-31,121600.0
2005-06-30,121900.0
2005-07-31,122100.0
2005-08-31,122300.0
2005-09-30,122500.0
2005-10-31,122700.0
2005-11-30,123200.0
2005-12-31,123800.0
2006-01-31,124000.0
2006-02-28,124000.0
2006-03-31,124100.0
2006-04-30,124100.0
2006-05-31,124200.0
2006-06-30,124400.0
2006-07-31,124600.0
2006-08-31,124800.0
2006-09-30,124800.0
2006-10-31,124600.0
2006-11-30,124400.0
2006-12-31,124200.0
2007-01-31,124000.0
2007-02-28,124000.0
2007-03-31,124300.0
2007-04-30,124500.0
2007-05-31,124900.0
2007-06-30,125200.0
2007-07-31,125200.0
2007-08-31,125400.0
