Date,all_homes
1996-04-30,127300.0
1996-05-31,126800.0
1996-06-30,126200.0
1996-07-31,125900.0
1996-08-31,125800.0
1996-09-30,125800.0
1996-10-31,126100.0
1996-11-30,126400.0
1996-12-31,126800.0
1997-01-31,127200.0
1997-02-28,127700.0
1997-03-31,128300.0
1997-04-30,128700.0
1997-05-31,128900.0
1997-06-30,129000.0
1997-07-31,129300.0
1997-08-31,129500.0
1997-09-30,129800.0
1997-10-31,130000.0
1997-11-30,130200.0
1997-12-31,130400.0
1998-01-31,131100.0
1998-02-28,131600.0
1998-03-31,131500.0
1998-04-30,131400.0
1998-05-31,131700.0
1998-06-30,132200.0
1998-07-31,132700.0
1998-08-31,133000.0
1998-09-30,133400.0
1998-10-31,133800.0
1998-11-30,133700.0
1998-12-31,133500.0
1999-01-31,133500.0
1999-02-28,133700.0
1999-03-31,134000.0
1999-04-30,134300.0
1999-05-31,134500.0
1999-06-30,134900.0
1999-07-31,134900.0
1999-08-31,135000.0
1999-09-30,135300.0
1999-10-31,135800.0
1999-11-30,136400.0
1999-12-31,137200.0
2000-01-31,138100.0
2000-02-29,138900.0
2000-03-31,139300.0
2000-04-30,139500.0
2000-05-31,139900.0
2000-06-30,140400.0
2000-07-31,140800.0
2000-08-31,141400.0
2000-09-30,142100.0
2000-10-31,142600.0
2000-11-30,143200.0
2000-12-31,144000.0
2001-01-31,144800.0
2001-02-28,145500.0
2001-03-31,146300.0
2001-04-30,147000.0
2001-05-31,147600.0
2001-06-30,148100.0
2001-07-31,148900.0
2001-08-31,149600.0
2001-09-30,150400.0
2001-10-31,151300.0
2001-11-30,152700.0
2001-12-31,153900.0
2002-01-31,155000.0
2002-02-28,155800.0
2002-03-31,156500.0
2002-04-30,157300.0
2002-05-31,158100.0
2002-06-30,158600.0
2002-07-31,159200.0
2002-08-31,160100.0
2002-09-30,161000.0
2002-10-31,162000.0
2002-11-30,163300.0
2002-12-31,164900.0
2003-01-31,166500.0
2003-02-28,168000.0
2003-03-31,169400.0
2003-04-30,170800.0
2003-05-31,172000.0
2003-06-30,173300.0
2003-07-31,174900.0
2003-08-31,177000.0
2003-09-30,179500.0
2003-10-31,182500.0
2003-11-30,186000.0
2003-12-31,190100.0
2004-01-31,194700.0
2004-02-29,200400.0
2004-03-31,207300.0
2004-04-30,215700.0
2004-05-31,225300.0
2004-06-30,235900.0
2004-07-31,245600.0
2004-08-31,253900.0
2004-09-30,261100.0
2004-10-31,267300.0
2004-11-30,271800.0
2004-12-31,274800.0
2005-01-31,277100.0
2005-02-28,279600.0
2005-03-31,282400.0
2005-04-30,285400.0
2005-05-31,287800.0
2005-06-30,289900.0
2005-07-31,292600.0
2005-08-31,295600.0
2005-09-30,298300.0
2005-10-31,300500.0
2005-11-30,302800.0
2005-12-31,305400.0
2006-01-31,307700.0
2006-02-28,309300.0
2006-03-31,310300.0
2006-04-30,310800.0
2006-05-31,310500.0
2006-06-30,309700.0
2006-07-31,308700.0
2006-08-31,307500.0
2006-09-30,306000.0
2006-10-31,304600.0
2006-11-30,302800.0
2006-12-31,301000.0
2007-01-31,299800.0
2007-02-28,298300.0
2007-03-31,295900.0
2007-04-30,293400.0
2007-05-31,291100.0
2007-06-30,288900.0
2007-07-31,287000.0
2007-08-31,284700.0
2007-09-30,281700.0
2007-10-31,278400.0
2007-11-30,274600.0
2007-12-31,270200.0
2008-01-31,265800.0
2008-02-29,261100.0
2008-03-31,255800.0
2008-04-30,250200.0
2008-05-31,244500.0
2008-06-30,238800.0
2008-07-31,233300.0
2008-08-31,227900.0
2008-09-30,222500.0
2008-10-31,217200.0
2008-11-30,211800.0
2008-12-31,206500.0
2009-01-31,201400.0
2009-02-28,196400.0
2009-03-31,191300.0
2009-04-30,185800.0
2009-05-31,180400.0
2009-06-30,174600.0
2009-07-31,168700.0
2009-08-31,163900.0
2009-09-30,160400.0
2009-10-31,157400.0
2009-11-30,155000.0
2009-12-31,152700.0
2010-01-31,150200.0
2010-02-28,148600.0
2010-03-31,148000.0
2010-04-30,147000.0
2010-05-31,145800.0
2010-06-30,144500.0
2010-07-31,143100.0
2010-08-31,141800.0
2010-09-30,140800.0
2010-10-31,139800.0
2010-11-30,139200.0
2010-12-31,138400.0
2011-01-31,137100.0
2011-02-28,135100.0
2011-03-31,133100.0
2011-04-30,131300.0
2011-05-31,129600.0
2011-06-30,128100.0
2011-07-31,126700.0
2011-08-31,125600.0
2011-09-30,124500.0
2011-10-31,123600.0
2011-11-30,122900.0
2011-12-31,122900.0
