Date,all_homes
1996-04-30,97000.0
1996-05-31,97300.0
1996-06-30,97500.0
1996-07-31,97900.0
1996-08-31,98200.0
1996-09-30,98500.0
1996-10-31,98700.0
1996-11-30,98800.0
1996-12-31,98900.0
1997-01-31,99500.0
1997-02-28,100200.0
1997-03-31,100400.0
1997-04-30,100400.0
1997-05-31,100900.0
1997-06-30,101600.0
1997-07-31,102400.0
1997-08-31,103000.0
1997-09-30,103700.0
1997-10-31,104500.0
1997-11-30,105700.0
1997-12-31,106500.0
1998-01-31,107400.0
1998-02-28,108300.0
1998-03-31,109200.0
1998-04-30,109800.0
1998-05-31,110400.0
1998-06-30,111200.0
1998-07-31,112200.0
1998-08-31,113000.0
1998-09-30,113600.0
1998-10-31,113800.0
1998-11-30,114200.0
1998-12-31,114700.0
1999-01-31,115400.0
1999-02-28,116100.0
1999-03-31,116700.0
1999-04-30,117600.0
1999-05-31,118700.0
1999-06-30,119800.0
1999-07-31,120600.0
1999-08-31,121700.0
1999-09-30,123100.0
1999-10-31,124400.0
1999-11-30,125700.0
1999-12-31,127400.0
2000-01-31,129500.0
2000-02-29,131800.0
2000-03-31,133500.0
2000-04-30,134800.0
2000-05-31,136000.0
2000-06-30,137200.0
2000-07-31,138500.0
2000-08-31,140000.0
2000-09-30,141500.0
2000-10-31,142900.0
2000-11-30,144700.0
2000-12-31,147100.0
2001-01-31,149300.0
2001-02-28,151200.0
2001-03-31,152900.0
2001-04-30,154500.0
2001-05-31,155800.0
2001-06-30,157000.0
2001-07-31,159000.0
2001-08-31,161200.0
2001-09-30,162900.0
2001-10-31,164700.0
2001-11-30,166600.0
2001-12-31,168000.0
2002-01-31,169200.0
2002-02-28,170700.0
2002-03-31,172400.0
2002-04-30,174400.0
2002-05-31,176200.0
2002-06-30,177900.0
2002-07-31,179700.0
2002-08-31,182200.0
2002-09-30,185100.0
2002-10-31,187800.0
2002-11-30,189900.0
2002-12-31,191900.0
2003-01-31,193900.0
2003-02-28,195700.0
2003-03-31,197400.0
2003-04-30,199600.0
2003-05-31,202000.0
2003-06-30,204300.0
