Date,all_homes
1996-04-30,140300.0
1996-05-31,139900.0
1996-06-30,139700.0
1996-07-31,139600.0
1996-08-31,139300.0
1996-09-30,139200.0
1996-10-31,139100.0
1996-11-30,139100.0
1996-12-31,139100.0
1997-01-31,139400.0
1997-02-28,139900.0
1997-03-31,140400.0
1997-04-30,140700.0
1997-05-31,141000.0
1997-06-30,141300.0
1997-07-31,141400.0
1997-08-31,141400.0
1997-09-30,141600.0
1997-10-31,141900.0
1997-11-30,142400.0
1997-12-31,142900.0
1998-01-31,143700.0
1998-02-28,144800.0
1998-03-31,145600.0
1998-04-30,146200.0
1998-05-31,146600.0
1998-06-30,146800.0
1998-07-31,146800.0
1998-08-31,146900.0
1998-09-30,147100.0
1998-10-31,147700.0
1998-11-30,148300.0
1998-12-31,148900.0
1999-01-31,149800.0
1999-02-28,150900.0
1999-03-31,152000.0
1999-04-30,152900.0
1999-05-31,153600.0
1999-06-30,154600.0
1999-07-31,155800.0
1999-08-31,157100.0
1999-09-30,158300.0
1999-10-31,159300.0
1999-11-30,160400.0
1999-12-31,161700.0
2000-01-31,163100.0
2000-02-29,164400.0
2000-03-31,165800.0
2000-04-30,167100.0
2000-05-31,168500.0
2000-06-30,170000.0
2000-07-31,171500.0
2000-08-31,173000.0
2000-09-30,174500.0
2000-10-31,176000.0
2000-11-30,177500.0
2000-12-31,179200.0
2001-01-31,180900.0
2001-02-28,182500.0
2001-03-31,184000.0
2001-04-30,185800.0
2001-05-31,187800.0
2001-06-30,189700.0
2001-07-31,191400.0
2001-08-31,193500.0
2001-09-30,195900.0
2001-10-31,198300.0
2001-11-30,200400.0
2001-12-31,202600.0
2002-01-31,204800.0
2002-02-28,207200.0
2002-03-31,209900.0
2002-04-30,212900.0
2002-05-31,215800.0
2002-06-30,218800.0
2002-07-31,222200.0
2002-08-31,225900.0
2002-09-30,229300.0
2002-10-31,232500.0
2002-11-30,235700.0
2002-12-31,238900.0
2003-01-31,242200.0
2003-02-28,245300.0
2003-03-31,248400.0
2003-04-30,251100.0
2003-05-31,253900.0
2003-06-30,256900.0
2003-07-31,259900.0
2003-08-31,262900.0
2003-09-30,265700.0
2003-10-31,268400.0
2003-11-30,271200.0
2003-12-31,274100.0
2004-01-31,276900.0
2004-02-29,279600.0
2004-03-31,282400.0
2004-04-30,285500.0
2004-05-31,288900.0
2004-06-30,292700.0
2004-07-31,296600.0
2004-08-31,300600.0
2004-09-30,304400.0
2004-10-31,308400.0
2004-11-30,312500.0
2004-12-31,316600.0
2005-01-31,320300.0
2005-02-28,324000.0
2005-03-31,327800.0
2005-04-30,331800.0
2005-05-31,335700.0
2005-06-30,339700.0
2005-07-31,343500.0
2005-08-31,346700.0
2005-09-30,349600.0
2005-10-31,352700.0
2005-11-30,355800.0
2005-12-31,358300.0
2006-01-31,360300.0
2006-02-28,362100.0
2006-03-31,363900.0
2006-04-30,365600.0
2006-05-31,367000.0
2006-06-30,367700.0
2006-07-31,367700.0
2006-08-31,367600.0
2006-09-30,367400.0
2006-10-31,366800.0
2006-11-30,365600.0
2006-12-31,364400.0
2007-01-31,363800.0
2007-02-28,363400.0
2007-03-31,363000.0
2007-04-30,362600.0
2007-05-31,362100.0
2007-06-30,360900.0
2007-07-31,359400.0
2007-08-31,357600.0
2007-09-30,355900.0
2007-10-31,354200.0
2007-11-30,352700.0
2007-12-31,351200.0
2008-01-31,349600.0
2008-02-29,347800.0
2008-03-31,345800.0
2008-04-30,343200.0
2008-05-31,340300.0
2008-06-30,337400.0
2008-07-31,334500.0
2008-08-31,331800.0
2008-09-30,329500.0
2008-10-31,327300.0
2008-11-30,325200.0
2008-12-31,323100.0
2009-01-31,321200.0
2009-02-28,319300.0
2009-03-31,317200.0
2009-04-30,314900.0
2009-05-31,312200.0
2009-06-30,309400.0
2009-07-31,307100.0
2009-08-31,305500.0
2009-09-30,304400.0
2009-10-31,303300.0
2009-11-30,302400.0
2009-12-31,301000.0
2010-01-31,299400.0
2010-02-28,297900.0
2010-03-31,296800.0
2010-04-30,295200.0
2010-05-31,293900.0
2010-06-30,293200.0
2010-07-31,292300.0
2010-08-31,290600.0
2010-09-30,288500.0
2010-10-31,286900.0
2010-11-30,285500.0
2010-12-31,284000.0
2011-01-31,282700.0
2011-02-28,281300.0
2011-03-31,279600.0
2011-04-30,277900.0
2011-05-31,276300.0
2011-06-30,274900.0
2011-07-31,273500.0
2011-08-31,271900.0
2011-09-30,270100.0
2011-10-31,268300.0
2011-11-30,266500.0
2011-12-31,264900.0
2012-01-31,263800.0
2012-02-29,263100.0
2012-03-31,262400.0
2012-04-30,262100.0
2012-05-31,262400.0
2012-06-30,262500.0
2012-07-31,262500.0
2012-08-31,262900.0
2012-09-30,263400.0
2012-10-31,263500.0
2012-11-30,263900.0
2012-12-31,264600.0
2013-01-31,265300.0
2013-02-28,265600.0
2013-03-31,266200.0
2013-04-30,266900.0
2013-05-31,267400.0
2013-06-30,267900.0
2013-07-31,268900.0
2013-08-31,270100.0
2013-09-30,271400.0
2013-10-31,272300.0
2013-11-30,273100.0
2013-12-31,273700.0
2014-01-31,274400.0
2014-02-28,274900.0
2014-03-31,275700.0
2014-04-30,276700.0
2014-05-31,277800.0
2014-06-30,278800.0
2014-07-31,279300.0
2014-08-31,279800.0
2014-09-30,279900.0
2014-10-31,279600.0
2014-11-30,279300.0
2014-12-31,279600.0
2015-01-31,280200.0
2015-02-28,280200.0
2015-03-31,280300.0
2015-04-30,281000.0
2015-05-31,281900.0
2015-06-30,282700.0
2015-07-31,283600.0
2015-08-31,284300.0
2015-09-30,284600.0
2015-10-31,285000.0
2015-11-30,285600.0
2015-12-31,286100.0
2016-01-31,286500.0
2016-02-29,287300.0
2016-03-31,288500.0
2016-04-30,289800.0
2016-05-31,290500.0
2016-06-30,291000.0
2016-07-31,291700.0
2016-08-31,292800.0
2016-09-30,294100.0
2016-10-31,295900.0
2016-11-30,298000.0
2016-12-31,299600.0
2017-01-31,300600.0
2017-02-28,302000.0
2017-03-31,303300.0
2017-04-30,303100.0
2017-05-31,302800.0
2017-06-30,303800.0
2017-07-31,305200.0
2017-08-31,306500.0
2017-09-30,308400.0
2017-10-31,310200.0
2017-11-30,311000.0
2017-12-31,311600.0
