Date,all_homes
1996-04-30,118400.0
1996-05-31,116400.0
1996-06-30,115400.0
1996-07-31,115700.0
1996-08-31,117500.0
1996-09-30,118600.0
1996-10-31,118500.0
1996-11-30,118700.0
1996-12-31,118500.0
1997-01-31,118100.0
1997-02-28,118200.0
1997-03-31,118900.0
1997-04-30,120000.0
1997-05-31,120300.0
1997-06-30,120000.0
1997-07-31,119700.0
1997-08-31,119600.0
1997-09-30,119800.0
1997-10-31,120600.0
1997-11-30,120900.0
1997-12-31,120400.0
1998-01-31,120000.0
1998-02-28,120100.0
1998-03-31,121300.0
1998-04-30,123100.0
1998-05-31,124300.0
1998-06-30,124200.0
1998-07-31,123800.0
1998-08-31,124200.0
1998-09-30,123900.0
1998-10-31,122500.0
1998-11-30,121400.0
1998-12-31,122000.0
1999-01-31,122600.0
1999-02-28,123600.0
1999-03-31,125400.0
1999-04-30,128300.0
1999-05-31,130000.0
1999-06-30,130900.0
1999-07-31,131700.0
1999-08-31,132200.0
1999-09-30,133600.0
1999-10-31,134900.0
1999-11-30,135500.0
1999-12-31,136100.0
2000-01-31,137400.0
2000-02-29,137500.0
2000-03-31,136600.0
2000-04-30,133600.0
2000-05-31,131500.0
2000-06-30,132300.0
2000-07-31,133200.0
2000-08-31,132900.0
2000-09-30,132700.0
2000-10-31,132300.0
2000-11-30,132000.0
2000-12-31,132100.0
2001-01-31,132600.0
2001-02-28,133100.0
2001-03-31,133700.0
2001-04-30,134900.0
2001-05-31,138100.0
2001-06-30,141400.0
2001-07-31,143200.0
2001-08-31,144100.0
2001-09-30,145100.0
2001-10-31,145400.0
2001-11-30,145400.0
2001-12-31,145400.0
2002-01-31,145600.0
2002-02-28,145900.0
2002-03-31,146300.0
2002-04-30,147100.0
2002-05-31,147600.0
2002-06-30,147200.0
2002-07-31,147700.0
2002-08-31,149700.0
2002-09-30,151300.0
2002-10-31,151600.0
2002-11-30,151200.0
2002-12-31,150600.0
2003-01-31,150600.0
2003-02-28,151200.0
2003-03-31,151900.0
2003-04-30,152300.0
2003-05-31,152500.0
2003-06-30,152600.0
2003-07-31,151300.0
2003-08-31,150300.0
2003-09-30,149800.0
2003-10-31,149500.0
2003-11-30,150200.0
2003-12-31,153000.0
2004-01-31,155300.0
2004-02-29,156300.0
2004-03-31,157300.0
2004-04-30,158800.0
2004-05-31,160000.0
2004-06-30,160300.0
2004-07-31,159600.0
2004-08-31,159100.0
2004-09-30,158400.0
2004-10-31,160100.0
2004-11-30,163100.0
2004-12-31,165300.0
2005-01-31,166000.0
2005-02-28,168000.0
2005-03-31,170100.0
2005-04-30,172200.0
2005-05-31,174300.0
2005-06-30,176800.0
2005-07-31,179100.0
2005-08-31,178800.0
2005-09-30,179600.0
2005-10-31,183000.0
2005-11-30,185800.0
2005-12-31,187000.0
2006-01-31,186800.0
2006-02-28,184100.0
2006-03-31,180700.0
2006-04-30,177800.0
2006-05-31,174900.0
2006-06-30,174200.0
2006-07-31,176900.0
2006-08-31,181000.0
2006-09-30,183700.0
2006-10-31,185000.0
2006-11-30,185700.0
2006-12-31,185800.0
2007-01-31,186900.0
2007-02-28,188500.0
2007-03-31,190800.0
2007-04-30,192800.0
2007-05-31,193000.0
2007-06-30,193000.0
2007-07-31,193100.0
2007-08-31,192300.0
2007-09-30,191200.0
2007-10-31,190100.0
2007-11-30,188600.0
2007-12-31,188100.0
2008-01-31,188400.0
2008-02-29,188500.0
2008-03-31,188000.0
2008-04-30,187800.0
2008-05-31,187500.0
2008-06-30,186800.0
2008-07-31,186100.0
2008-08-31,186900.0
2008-09-30,188200.0
2008-10-31,188800.0
2008-11-30,189100.0
2008-12-31,190300.0
2009-01-31,192100.0
2009-02-28,193600.0
2009-03-31,194400.0
2009-04-30,195100.0
2009-05-31,196300.0
2009-06-30,196200.0
2009-07-31,195700.0
2009-08-31,194600.0
2009-09-30,192400.0
2009-10-31,190100.0
2009-11-30,189800.0
2009-12-31,185800.0
2010-01-31,179800.0
2010-02-28,177000.0
2010-03-31,177400.0
2010-04-30,176600.0
2010-05-31,175900.0
2010-06-30,175100.0
2010-07-31,173800.0
2010-08-31,172600.0
2010-09-30,171600.0
2010-10-31,170100.0
2010-11-30,168200.0
2010-12-31,167300.0
2011-01-31,167300.0
2011-02-28,166700.0
2011-03-31,165500.0
2011-04-30,164700.0
2011-05-31,164200.0
2011-06-30,163600.0
2011-07-31,162500.0
