Date,all_homes
1996-04-30,
1996-05-31,
1996-06-30,
1996-07-31,
1996-08-31,
1996-09-30,
1996-10-31,
1996-11-30,
1996-12-31,
1997-01-31,
1997-02-28,
1997-03-31,
1997-04-30,
1997-05-31,
1997-06-30,
1997-07-31,
1997-08-31,
1997-09-30,
1997-10-31,
1997-11-30,
1997-12-31,
1998-01-31,
1998-02-28,
1998-03-31,
1998-04-30,
1998-05-31,
1998-06-30,
1998-07-31,
1998-08-31,
1998-09-30,
1998-10-31,
1998-11-30,
1998-12-31,
1999-01-31,
1999-02-28,
1999-03-31,
1999-04-30,
1999-05-31,
1999-06-30,
1999-07-31,
1999-08-31,
1999-09-30,
1999-10-31,
1999-11-30,
1999-12-31,
2000-01-31,
2000-02-29,
2000-03-31,
2000-04-30,
2000-05-31,
2000-06-30,
2000-07-31,
2000-08-31,
2000-09-30,
2000-10-31,
2000-11-30,
2000-12-31,
2001-01-31,
2001-02-28,
2001-03-31,
2001-04-30,
2001-05-31,
2001-06-30,
2001-07-31,
2001-08-31,
2001-09-30,
2001-10-31,
2001-11-30,
2001-12-31,
2002-01-31,
2002-02-28,
2002-03-31,
2002-04-30,
2002-05-31,
2002-06-30,
2002-07-31,
2002-08-31,
2002-09-30,
2002-10-31,
2002-11-30,
2002-12-31,
2003-01-31,
2003-02-28,
2003-03-31,
2003-04-30,
2003-05-31,
2003-06-30,
2003-07-31,
2003-08-31,
2003-09-30,
2003-10-31,
2003-11-30,
2003-12-31,
2004-01-31,
2004-02-29,
2004-03-31,
2004-04-30,
2004-05-31,
2004-06-30,
2004-07-31,
2004-08-31,
2004-09-30,
2004-10-31,
2004-11-30,
2004-12-31,
2005-01-31,
2005-02-28,
2005-03-31,
2005-04-30,
2005-05-31,
2005-06-30,
2005-07-31,
2005-08-31,
2005-09-30,
2005-10-31,
2005-11-30,
2005-12-31,
2006-01-31,
2006-02-28,
2006-03-31,
2006-04-30,
2006-05-31,
2006-06-30,
2006-07-31,
2006-08-31,
2006-09-30,
2006-10-31,
2006-11-30,
2006-12-31,
2007-01-31,
2007-02-28,
2007-03-31,
2007-04-30,
2007-05-31,
2007-06-30,
2007-07-31,
2007-08-31,333800.0
2007-09-30,333600.0
2007-10-31,333400.0
2007-11-30,333200.0
2007-12-31,330700.0
2008-01-31,326800.0
2008-02-29,324400.0
2008-03-31,323900.0
2008-04-30,322600.0
2008-05-31,320700.0
2008-06-30,318400.0
2008-07-31,315900.0
2008-08-31,312500.0
2008-09-30,308700.0
2008-10-31,305200.0
2008-11-30,302000.0
2008-12-31,297200.0
2009-01-31,291300.0
2009-02-28,286800.0
2009-03-31,283900.0
2009-04-30,280600.0
2009-05-31,276700.0
2009-06-30,273200.0
2009-07-31,271100.0
2009-08-31,270200.0
2009-09-30,269400.0
2009-10-31,268900.0
2009-11-30,268600.0
2009-12-31,268200.0
2010-01-31,267700.0
2010-02-28,266900.0
2010-03-31,265500.0
2010-04-30,264000.0
2010-05-31,263000.0
2010-06-30,262100.0
2010-07-31,260900.0
2010-08-31,259900.0
2010-09-30,258800.0
2010-10-31,257700.0
2010-11-30,257000.0
2010-12-31,256000.0
2011-01-31,254700.0
2011-02-28,253600.0
2011-03-31,253200.0
2011-04-30,252700.0
2011-05-31,252400.0
2011-06-30,252000.0
2011-07-31,251300.0
2011-08-31,250400.0
2011-09-30,249500.0
2011-10-31,248200.0
2011-11-30,247100.0
2011-12-31,245800.0
2012-01-31,244300.0
2012-02-29,243600.0
2012-03-31,243700.0
2012-04-30,243200.0
2012-05-31,242600.0
2012-06-30,242500.0
2012-07-31,242700.0
2012-08-31,242800.0
2012-09-30,243100.0
2012-10-31,243300.0
2012-11-30,243500.0
2012-12-31,243500.0
2013-01-31,243400.0
2013-02-28,243400.0
2013-03-31,243600.0
2013-04-30,243900.0
2013-05-31,244400.0
2013-06-30,245000.0
2013-07-31,245900.0
2013-08-31,246400.0
2013-09-30,246700.0
2013-10-31,247300.0
2013-11-30,248100.0
2013-12-31,248500.0
2014-01-31,248800.0
2014-02-28,249100.0
2014-03-31,249400.0
2014-04-30,249400.0
2014-05-31,249700.0
2014-06-30,250500.0
2014-07-31,251600.0
2014-08-31,252600.0
2014-09-30,253200.0
2014-10-31,253600.0
2014-11-30,254200.0
2014-12-31,254700.0
2015-01-31,255100.0
2015-02-28,255600.0
2015-03-31,256300.0
2015-04-30,257000.0
2015-05-31,257400.0
2015-06-30,258000.0
2015-07-31,258800.0
2015-08-31,259900.0
2015-09-30,261300.0
2015-10-31,262400.0
2015-11-30,263200.0
2015-12-31,264100.0
2016-01-31,265300.0
2016-02-29,266200.0
2016-03-31,267000.0
2016-04-30,267400.0
2016-05-31,267600.0
2016-06-30,268200.0
2016-07-31,269000.0
2016-08-31,270000.0
2016-09-30,271600.0
2016-10-31,273400.0
2016-11-30,275500.0
2016-12-31,277600.0
2017-01-31,280100.0
2017-02-28,283200.0
2017-03-31,287600.0
2017-04-30,293500.0
2017-05-31,298900.0
2017-06-30,301500.0
2017-07-31,302100.0
2017-08-31,302900.0
2017-09-30,304300.0
2017-10-31,305700.0
2017-11-30,306900.0
2017-12-31,307800.0
