Date,all_homes
1996-04-30,91700.0
1996-05-31,91900.0
1996-06-30,92000.0
1996-07-31,92300.0
1996-08-31,92600.0
1996-09-30,92900.0
1996-10-31,93100.0
1996-11-30,93400.0
1996-12-31,93700.0
1997-01-31,94300.0
1997-02-28,94900.0
1997-03-31,95400.0
1997-04-30,96100.0
1997-05-31,97000.0
1997-06-30,97700.0
1997-07-31,98200.0
1997-08-31,98800.0
1997-09-30,99500.0
1997-10-31,100100.0
1997-11-30,100600.0
1997-12-31,101200.0
1998-01-31,101800.0
1998-02-28,102500.0
1998-03-31,103200.0
1998-04-30,103800.0
1998-05-31,104200.0
1998-06-30,104900.0
1998-07-31,105700.0
1998-08-31,106300.0
1998-09-30,106600.0
1998-10-31,107300.0
1998-11-30,107900.0
1998-12-31,108400.0
1999-01-31,108600.0
1999-02-28,108800.0
1999-03-31,109400.0
1999-04-30,109900.0
1999-05-31,110400.0
1999-06-30,111100.0
1999-07-31,111600.0
1999-08-31,111900.0
1999-09-30,112300.0
1999-10-31,112600.0
1999-11-30,112600.0
1999-12-31,113100.0
2000-01-31,113700.0
2000-02-29,114200.0
2000-03-31,114600.0
2000-04-30,115000.0
2000-05-31,115500.0
2000-06-30,115900.0
2000-07-31,116100.0
2000-08-31,116300.0
2000-09-30,116900.0
2000-10-31,117600.0
2000-11-30,118200.0
2000-12-31,118500.0
2001-01-31,119100.0
2001-02-28,119700.0
2001-03-31,119900.0
2001-04-30,119900.0
2001-05-31,120100.0
2001-06-30,120200.0
2001-07-31,120200.0
2001-08-31,120400.0
2001-09-30,120600.0
2001-10-31,120800.0
2001-11-30,121000.0
2001-12-31,121100.0
2002-01-31,121300.0
2002-02-28,121500.0
2002-03-31,121900.0
2002-04-30,122100.0
2002-05-31,122200.0
2002-06-30,122300.0
2002-07-31,122800.0
2002-08-31,123200.0
2002-09-30,123200.0
2002-10-31,123400.0
2002-11-30,123900.0
2002-12-31,124300.0
2003-01-31,124500.0
2003-02-28,124500.0
2003-03-31,124700.0
2003-04-30,125100.0
2003-05-31,125600.0
2003-06-30,125700.0
2003-07-31,125800.0
2003-08-31,126000.0
2003-09-30,126300.0
2003-10-31,126600.0
2003-11-30,126900.0
2003-12-31,127200.0
2004-01-31,127600.0
2004-02-29,128000.0
2004-03-31,128400.0
2004-04-30,128600.0
2004-05-31,128900.0
2004-06-30,129400.0
2004-07-31,129900.0
2004-08-31,130400.0
2004-09-30,130900.0
2004-10-31,131500.0
2004-11-30,131900.0
2004-12-31,132200.0
2005-01-31,132700.0
2005-02-28,133500.0
2005-03-31,134100.0
2005-04-30,134600.0
2005-05-31,135100.0
2005-06-30,135700.0
2005-07-31,136500.0
2005-08-31,137300.0
2005-09-30,137900.0
2005-10-31,138500.0
2005-11-30,139200.0
2005-12-31,140100.0
2006-01-31,140700.0
2006-02-28,141200.0
2006-03-31,141600.0
2006-04-30,142200.0
2006-05-31,142800.0
2006-06-30,143400.0
2006-07-31,144000.0
2006-08-31,144600.0
2006-09-30,145100.0
2006-10-31,145500.0
2006-11-30,145900.0
2006-12-31,146400.0
2007-01-31,146900.0
2007-02-28,147300.0
2007-03-31,147900.0
2007-04-30,148400.0
2007-05-31,148900.0
2007-06-30,149300.0
2007-07-31,149800.0
2007-08-31,150400.0
2007-09-30,151000.0
2007-10-31,151200.0
2007-11-30,151200.0
2007-12-31,151200.0
2008-01-31,151100.0
2008-02-29,151100.0
2008-03-31,151100.0
2008-04-30,151200.0
2008-05-31,151300.0
2008-06-30,151300.0
2008-07-31,151100.0
2008-08-31,150700.0
2008-09-30,150400.0
2008-10-31,150200.0
2008-11-30,149900.0
2008-12-31,149600.0
2009-01-31,149300.0
2009-02-28,149000.0
2009-03-31,148700.0
2009-04-30,148200.0
2009-05-31,147700.0
2009-06-30,147200.0
2009-07-31,146600.0
2009-08-31,146100.0
2009-09-30,145700.0
2009-10-31,145400.0
2009-11-30,145200.0
2009-12-31,144900.0
2010-01-31,144400.0
2010-02-28,143700.0
2010-03-31,143100.0
2010-04-30,142600.0
2010-05-31,142100.0
2010-06-30,141500.0
2010-07-31,141000.0
2010-08-31,140500.0
2010-09-30,140000.0
2010-10-31,139600.0
2010-11-30,139100.0
2010-12-31,138900.0
2011-01-31,138700.0
2011-02-28,138300.0
2011-03-31,137800.0
2011-04-30,137400.0
2011-05-31,137100.0
2011-06-30,137100.0
2011-07-31,137000.0
2011-08-31,136600.0
2011-09-30,136000.0
2011-10-31,135600.0
2011-11-30,135300.0
2011-12-31,135200.0
2012-01-31,135200.0
2012-02-29,135300.0
2012-03-31,135400.0
2012-04-30,135400.0
2012-05-31,135200.0
2012-06-30,135200.0
2012-07-31,135200.0
2012-08-31,135300.0
2012-09-30,135500.0
2012-10-31,135800.0
2012-11-30,136000.0
2012-12-31,136100.0
2013-01-31,136400.0
2013-02-28,136800.0
2013-03-31,137000.0
2013-04-30,137300.0
2013-05-31,137700.0
2013-06-30,138100.0
2013-07-31,138400.0
2013-08-31,138800.0
2013-09-30,139200.0
2013-10-31,139500.0
2013-11-30,139600.0
2013-12-31,139800.0
2014-01-31,140200.0
2014-02-28,140600.0
2014-03-31,140900.0
2014-04-30,141200.0
2014-05-31,141300.0
2014-06-30,141300.0
2014-07-31,141400.0
2014-08-31,141500.0
2014-09-30,141600.0
2014-10-31,141700.0
2014-11-30,141700.0
2014-12-31,141800.0
2015-01-31,142100.0
2015-02-28,142500.0
2015-03-31,143000.0
2015-04-30,143600.0
2015-05-31,144300.0
2015-06-30,145000.0
2015-07-31,145500.0
2015-08-31,145900.0
2015-09-30,146300.0
2015-10-31,146700.0
2015-11-30,147300.0
2015-12-31,147800.0
2016-01-31,148100.0
2016-02-29,148500.0
2016-03-31,149100.0
2016-04-30,149800.0
2016-05-31,150600.0
2016-06-30,151100.0
2016-07-31,151800.0
2016-08-31,152600.0
2016-09-30,153400.0
2016-10-31,154300.0
2016-11-30,155400.0
2016-12-31,156300.0
2017-01-31,156800.0
2017-02-28,157600.0
2017-03-31,158900.0
2017-04-30,159700.0
2017-05-31,160300.0
2017-06-30,161000.0
2017-07-31,161800.0
2017-08-31,162600.0
2017-09-30,163600.0
2017-10-31,164500.0
2017-11-30,165300.0
2017-12-31,166000.0
