Date,all_homes
1996-04-30,88100.0
1996-05-31,88300.0
1996-06-30,88500.0
1996-07-31,88700.0
1996-08-31,88800.0
1996-09-30,89100.0
1996-10-31,89400.0
1996-11-30,89600.0
1996-12-31,89700.0
1997-01-31,90100.0
1997-02-28,90500.0
1997-03-31,90900.0
1997-04-30,91200.0
1997-05-31,91500.0
1997-06-30,91800.0
1997-07-31,92200.0
1997-08-31,92400.0
1997-09-30,92700.0
1997-10-31,93300.0
1997-11-30,93700.0
1997-12-31,94000.0
1998-01-31,94300.0
1998-02-28,94600.0
1998-03-31,95000.0
1998-04-30,95300.0
1998-05-31,95400.0
1998-06-30,95600.0
1998-07-31,95800.0
1998-08-31,96200.0
1998-09-30,96600.0
1998-10-31,96800.0
1998-11-30,97000.0
1998-12-31,97300.0
1999-01-31,97800.0
1999-02-28,98400.0
1999-03-31,98900.0
1999-04-30,99300.0
1999-05-31,99700.0
1999-06-30,100100.0
1999-07-31,100600.0
1999-08-31,101100.0
1999-09-30,101400.0
1999-10-31,101700.0
1999-11-30,102100.0
1999-12-31,102500.0
2000-01-31,102900.0
2000-02-29,103300.0
2000-03-31,103800.0
2000-04-30,104300.0
2000-05-31,105100.0
2000-06-30,105700.0
2000-07-31,106100.0
2000-08-31,106600.0
2000-09-30,106900.0
2000-10-31,107100.0
2000-11-30,107500.0
2000-12-31,107900.0
2001-01-31,108300.0
2001-02-28,108700.0
2001-03-31,109100.0
2001-04-30,109200.0
2001-05-31,109500.0
2001-06-30,110100.0
2001-07-31,110400.0
2001-08-31,110600.0
2001-09-30,110800.0
2001-10-31,111100.0
2001-11-30,111300.0
2001-12-31,111700.0
2002-01-31,112100.0
2002-02-28,112500.0
2002-03-31,112600.0
2002-04-30,112900.0
2002-05-31,113000.0
2002-06-30,113200.0
2002-07-31,113700.0
2002-08-31,114000.0
2002-09-30,114300.0
2002-10-31,114700.0
2002-11-30,115100.0
2002-12-31,115400.0
2003-01-31,115700.0
2003-02-28,116000.0
2003-03-31,116400.0
2003-04-30,116900.0
2003-05-31,117400.0
2003-06-30,117800.0
2003-07-31,118100.0
2003-08-31,118500.0
2003-09-30,119000.0
2003-10-31,119600.0
2003-11-30,120100.0
2003-12-31,120500.0
2004-01-31,120700.0
2004-02-29,120900.0
2004-03-31,121300.0
2004-04-30,121600.0
2004-05-31,121800.0
2004-06-30,122000.0
2004-07-31,122200.0
2004-08-31,122500.0
2004-09-30,122900.0
2004-10-31,123200.0
2004-11-30,123400.0
2004-12-31,123800.0
2005-01-31,124100.0
2005-02-28,124600.0
2005-03-31,124800.0
2005-04-30,125000.0
2005-05-31,125200.0
2005-06-30,125500.0
2005-07-31,125700.0
2005-08-31,125800.0
2005-09-30,126000.0
2005-10-31,126100.0
2005-11-30,126400.0
2005-12-31,126600.0
2006-01-31,126800.0
2006-02-28,126800.0
2006-03-31,126800.0
2006-04-30,126900.0
2006-05-31,126900.0
2006-06-30,126800.0
2006-07-31,126700.0
2006-08-31,126600.0
2006-09-30,126600.0
2006-10-31,126500.0
2006-11-30,126200.0
2006-12-31,125800.0
2007-01-31,125600.0
2007-02-28,125600.0
2007-03-31,125500.0
2007-04-30,125500.0
2007-05-31,125200.0
2007-06-30,124800.0
2007-07-31,124500.0
2007-08-31,124300.0
2007-09-30,123900.0
2007-10-31,123400.0
2007-11-30,123000.0
2007-12-31,122600.0
2008-01-31,122000.0
2008-02-29,121300.0
2008-03-31,120700.0
2008-04-30,120000.0
2008-05-31,119500.0
2008-06-30,119000.0
2008-07-31,118500.0
2008-08-31,117900.0
2008-09-30,117600.0
2008-10-31,117300.0
2008-11-30,117100.0
2008-12-31,116800.0
2009-01-31,116500.0
2009-02-28,116300.0
2009-03-31,115900.0
2009-04-30,115500.0
2009-05-31,114900.0
2009-06-30,114500.0
2009-07-31,114000.0
2009-08-31,113700.0
2009-09-30,113600.0
2009-10-31,113600.0
2009-11-30,113400.0
2009-12-31,113300.0
2010-01-31,113500.0
2010-02-28,113400.0
2010-03-31,112900.0
2010-04-30,112500.0
2010-05-31,112400.0
2010-06-30,112300.0
2010-07-31,112200.0
2010-08-31,111900.0
2010-09-30,111300.0
2010-10-31,110500.0
2010-11-30,109900.0
2010-12-31,109500.0
2011-01-31,109000.0
2011-02-28,108500.0
2011-03-31,108200.0
2011-04-30,107900.0
2011-05-31,107600.0
2011-06-30,107400.0
2011-07-31,107200.0
2011-08-31,107000.0
2011-09-30,106700.0
2011-10-31,106500.0
2011-11-30,106300.0
2011-12-31,105900.0
2012-01-31,105600.0
2012-02-29,105600.0
2012-03-31,105900.0
2012-04-30,106200.0
2012-05-31,106400.0
2012-06-30,106600.0
2012-07-31,106600.0
2012-08-31,106900.0
2012-09-30,106900.0
2012-10-31,106800.0
2012-11-30,107000.0
2012-12-31,107300.0
2013-01-31,107500.0
2013-02-28,107800.0
2013-03-31,107800.0
2013-04-30,107900.0
2013-05-31,108200.0
2013-06-30,108500.0
2013-07-31,108800.0
2013-08-31,108900.0
2013-09-30,109100.0
2013-10-31,109500.0
2013-11-30,109800.0
2013-12-31,110000.0
2014-01-31,110200.0
2014-02-28,110500.0
2014-03-31,111000.0
2014-04-30,111300.0
2014-05-31,111400.0
2014-06-30,111800.0
2014-07-31,112000.0
2014-08-31,112100.0
2014-09-30,112400.0
2014-10-31,112700.0
2014-11-30,112900.0
2014-12-31,113100.0
2015-01-31,113300.0
2015-02-28,113700.0
2015-03-31,114200.0
2015-04-30,114700.0
2015-05-31,115100.0
2015-06-30,115500.0
2015-07-31,116000.0
2015-08-31,116600.0
2015-09-30,117300.0
2015-10-31,117900.0
2015-11-30,118300.0
2015-12-31,118500.0
2016-01-31,118700.0
2016-02-29,119000.0
2016-03-31,119200.0
2016-04-30,119700.0
2016-05-31,120300.0
2016-06-30,120500.0
2016-07-31,120700.0
2016-08-31,121300.0
2016-09-30,121900.0
2016-10-31,122400.0
2016-11-30,123200.0
2016-12-31,124200.0
2017-01-31,124900.0
2017-02-28,125600.0
2017-03-31,126100.0
2017-04-30,126400.0
2017-05-31,126700.0
2017-06-30,127100.0
2017-07-31,127800.0
2017-08-31,128200.0
2017-09-30,128800.0
2017-10-31,129500.0
2017-11-30,129900.0
2017-12-31,130000.0
