Date,all_homes
1996-04-30,56400.0
1996-05-31,56400.0
1996-06-30,56500.0
1996-07-31,56500.0
1996-08-31,56500.0
1996-09-30,56700.0
1996-10-31,56800.0
1996-11-30,57000.0
1996-12-31,57300.0
1997-01-31,57500.0
1997-02-28,57500.0
1997-03-31,57700.0
1997-04-30,58000.0
1997-05-31,58300.0
1997-06-30,58500.0
1997-07-31,58900.0
1997-08-31,59100.0
1997-09-30,59300.0
1997-10-31,59600.0
1997-11-30,59800.0
1997-12-31,60000.0
1998-01-31,60300.0
1998-02-28,60600.0
1998-03-31,60900.0
1998-04-30,61200.0
1998-05-31,61500.0
1998-06-30,61900.0
1998-07-31,61900.0
1998-08-31,62000.0
1998-09-30,62200.0
1998-10-31,62500.0
1998-11-30,62800.0
1998-12-31,63200.0
1999-01-31,63400.0
1999-02-28,63500.0
1999-03-31,63800.0
1999-04-30,64100.0
1999-05-31,64200.0
1999-06-30,64400.0
1999-07-31,64600.0
1999-08-31,64900.0
1999-09-30,65000.0
1999-10-31,65300.0
1999-11-30,65600.0
1999-12-31,65900.0
2000-01-31,66100.0
2000-02-29,66400.0
2000-03-31,66600.0
2000-04-30,66900.0
2000-05-31,67100.0
2000-06-30,67300.0
2000-07-31,67600.0
2000-08-31,68000.0
2000-09-30,68200.0
2000-10-31,68500.0
2000-11-30,68600.0
2000-12-31,68700.0
2001-01-31,69200.0
2001-02-28,69600.0
2001-03-31,69700.0
2001-04-30,69900.0
2001-05-31,70100.0
2001-06-30,70300.0
2001-07-31,70600.0
2001-08-31,71000.0
2001-09-30,71100.0
2001-10-31,71100.0
2001-11-30,71200.0
2001-12-31,71300.0
2002-01-31,71300.0
2002-02-28,71500.0
2002-03-31,71800.0
2002-04-30,72000.0
2002-05-31,72100.0
2002-06-30,72300.0
2002-07-31,72400.0
2002-08-31,72500.0
2002-09-30,72800.0
2002-10-31,72900.0
2002-11-30,73100.0
2002-12-31,73400.0
2003-01-31,73800.0
2003-02-28,74000.0
2003-03-31,74100.0
2003-04-30,74300.0
2003-05-31,74600.0
2003-06-30,75000.0
2003-07-31,75200.0
2003-08-31,75500.0
2003-09-30,75500.0
2003-10-31,75600.0
2003-11-30,76000.0
2003-12-31,76200.0
2004-01-31,76200.0
2004-02-29,76400.0
2004-03-31,76800.0
2004-04-30,77300.0
2004-05-31,77500.0
2004-06-30,77600.0
2004-07-31,77800.0
2004-08-31,78100.0
2004-09-30,78600.0
2004-10-31,78900.0
2004-11-30,79100.0
2004-12-31,79100.0
2005-01-31,79400.0
2005-02-28,79700.0
2005-03-31,80000.0
2005-04-30,80200.0
2005-05-31,80400.0
2005-06-30,80800.0
2005-07-31,81200.0
2005-08-31,81500.0
2005-09-30,81600.0
2005-10-31,82000.0
2005-11-30,82400.0
2005-12-31,82900.0
2006-01-31,83000.0
2006-02-28,83200.0
2006-03-31,83400.0
2006-04-30,83400.0
2006-05-31,83500.0
2006-06-30,83700.0
2006-07-31,84000.0
2006-08-31,84100.0
2006-09-30,84300.0
2006-10-31,84500.0
2006-11-30,84600.0
2006-12-31,84500.0
2007-01-31,84300.0
2007-02-28,84200.0
2007-03-31,84400.0
2007-04-30,84600.0
2007-05-31,84900.0
2007-06-30,85000.0
2007-07-31,85200.0
2007-08-31,85400.0
2007-09-30,85600.0
2007-10-31,85800.0
2007-11-30,86000.0
2007-12-31,85900.0
2008-01-31,85800.0
2008-02-29,85800.0
2008-03-31,86100.0
2008-04-30,86300.0
2008-05-31,86600.0
2008-06-30,86700.0
2008-07-31,86700.0
2008-08-31,86900.0
2008-09-30,87100.0
2008-10-31,87300.0
2008-11-30,87600.0
2008-12-31,87700.0
2009-01-31,87600.0
2009-02-28,87700.0
2009-03-31,88200.0
2009-04-30,88400.0
2009-05-31,88500.0
2009-06-30,88800.0
2009-07-31,89100.0
2009-08-31,89200.0
2009-09-30,89200.0
2009-10-31,89500.0
2009-11-30,89300.0
2009-12-31,90700.0
2010-01-31,93400.0
2010-02-28,94600.0
2010-03-31,94000.0
2010-04-30,94100.0
2010-05-31,94300.0
2010-06-30,94400.0
2010-07-31,94600.0
2010-08-31,94800.0
2010-09-30,95200.0
2010-10-31,95400.0
2010-11-30,95600.0
2010-12-31,95500.0
2011-01-31,95100.0
2011-02-28,95000.0
2011-03-31,95000.0
2011-04-30,95100.0
2011-05-31,95200.0
2011-06-30,95100.0
2011-07-31,94900.0
2011-08-31,94800.0
2011-09-30,94600.0
2011-10-31,94400.0
2011-11-30,94400.0
2011-12-31,94300.0
2012-01-31,94100.0
2012-02-29,94000.0
2012-03-31,94000.0
2012-04-30,94000.0
2012-05-31,94100.0
2012-06-30,94100.0
2012-07-31,94200.0
2012-08-31,94200.0
2012-09-30,94300.0
2012-10-31,94300.0
2012-11-30,94500.0
2012-12-31,94700.0
2013-01-31,94700.0
2013-02-28,94600.0
2013-03-31,94800.0
2013-04-30,94900.0
2013-05-31,95000.0
2013-06-30,95400.0
2013-07-31,95700.0
2013-08-31,95800.0
2013-09-30,95700.0
2013-10-31,95600.0
2013-11-30,95600.0
2013-12-31,95500.0
2014-01-31,95200.0
2014-02-28,95100.0
2014-03-31,95400.0
2014-04-30,95700.0
2014-05-31,96000.0
2014-06-30,96000.0
2014-07-31,96200.0
2014-08-31,96500.0
2014-09-30,96700.0
2014-10-31,96900.0
2014-11-30,97200.0
2014-12-31,97500.0
2015-01-31,97800.0
2015-02-28,98400.0
2015-03-31,99200.0
2015-04-30,100200.0
2015-05-31,101500.0
2015-06-30,102800.0
2015-07-31,104000.0
2015-08-31,105200.0
2015-09-30,106600.0
2015-10-31,107800.0
2015-11-30,108600.0
2015-12-31,109100.0
2016-01-31,109400.0
2016-02-29,109900.0
2016-03-31,110400.0
2016-04-30,110900.0
2016-05-31,111300.0
2016-06-30,111500.0
2016-07-31,111800.0
2016-08-31,112000.0
2016-09-30,112300.0
2016-10-31,112900.0
2016-11-30,113600.0
2016-12-31,114200.0
2017-01-31,114800.0
2017-02-28,115700.0
2017-03-31,116400.0
2017-04-30,116300.0
2017-05-31,115300.0
2017-06-30,114900.0
2017-07-31,115300.0
2017-08-31,115700.0
2017-09-30,116100.0
2017-10-31,116600.0
2017-11-30,116900.0
2017-12-31,116800.0
