Date,all_homes
1996-04-30,124500.0
1996-05-31,125200.0
1996-06-30,125700.0
1996-07-31,126200.0
1996-08-31,126900.0
1996-09-30,127600.0
1996-10-31,128200.0
1996-11-30,129000.0
1996-12-31,129700.0
1997-01-31,130300.0
1997-02-28,131000.0
1997-03-31,131500.0
1997-04-30,132000.0
1997-05-31,132400.0
1997-06-30,132900.0
1997-07-31,133500.0
1997-08-31,134000.0
1997-09-30,134700.0
1997-10-31,135400.0
1997-11-30,136200.0
1997-12-31,137000.0
1998-01-31,137900.0
1998-02-28,138500.0
1998-03-31,139100.0
1998-04-30,139500.0
1998-05-31,139800.0
1998-06-30,139800.0
1998-07-31,139900.0
1998-08-31,140300.0
1998-09-30,140700.0
1998-10-31,140800.0
1998-11-30,141100.0
1998-12-31,141500.0
1999-01-31,141600.0
1999-02-28,142000.0
1999-03-31,142600.0
1999-04-30,143000.0
1999-05-31,143100.0
1999-06-30,143500.0
1999-07-31,144000.0
1999-08-31,144200.0
1999-09-30,144400.0
1999-10-31,144700.0
1999-11-30,145100.0
1999-12-31,145200.0
2000-01-31,145500.0
2000-02-29,146100.0
2000-03-31,146700.0
2000-04-30,147100.0
2000-05-31,147600.0
2000-06-30,148300.0
2000-07-31,148800.0
2000-08-31,149100.0
2000-09-30,149200.0
2000-10-31,149200.0
2000-11-30,149500.0
2000-12-31,149900.0
2001-01-31,150700.0
2001-02-28,151500.0
2001-03-31,152200.0
2001-04-30,152600.0
2001-05-31,153000.0
2001-06-30,153400.0
2001-07-31,153700.0
2001-08-31,153900.0
2001-09-30,154300.0
2001-10-31,154700.0
2001-11-30,155100.0
2001-12-31,155700.0
2002-01-31,156500.0
2002-02-28,157200.0
2002-03-31,158000.0
2002-04-30,158700.0
2002-05-31,159200.0
2002-06-30,159700.0
2002-07-31,160300.0
2002-08-31,161000.0
2002-09-30,161800.0
2002-10-31,162500.0
2002-11-30,163200.0
2002-12-31,164100.0
2003-01-31,165100.0
2003-02-28,166000.0
2003-03-31,166600.0
2003-04-30,167400.0
2003-05-31,168300.0
2003-06-30,169200.0
2003-07-31,170000.0
2003-08-31,170800.0
2003-09-30,171900.0
2003-10-31,173200.0
2003-11-30,174500.0
2003-12-31,175800.0
2004-01-31,176900.0
2004-02-29,177900.0
2004-03-31,179000.0
2004-04-30,180500.0
2004-05-31,182100.0
2004-06-30,183600.0
2004-07-31,185400.0
2004-08-31,187300.0
2004-09-30,189300.0
2004-10-31,191400.0
2004-11-30,193600.0
2004-12-31,195600.0
2005-01-31,197600.0
2005-02-28,200000.0
2005-03-31,202500.0
2005-04-30,205200.0
2005-05-31,208500.0
2005-06-30,212200.0
2005-07-31,216000.0
2005-08-31,220100.0
2005-09-30,224300.0
