Date,all_homes
1996-04-30,83300.0
1996-05-31,83700.0
1996-06-30,83800.0
1996-07-31,83600.0
1996-08-31,83700.0
1996-09-30,83900.0
1996-10-31,83900.0
1996-11-30,83700.0
1996-12-31,83800.0
1997-01-31,84000.0
1997-02-28,84200.0
1997-03-31,84600.0
1997-04-30,84800.0
1997-05-31,84700.0
1997-06-30,84800.0
1997-07-31,85100.0
1997-08-31,85200.0
1997-09-30,85300.0
1997-10-31,85500.0
1997-11-30,85800.0
1997-12-31,86100.0
1998-01-31,86400.0
1998-02-28,86700.0
1998-03-31,87200.0
1998-04-30,87500.0
1998-05-31,87600.0
1998-06-30,87600.0
1998-07-31,87800.0
1998-08-31,88000.0
1998-09-30,87800.0
1998-10-31,88100.0
1998-11-30,88600.0
1998-12-31,88900.0
1999-01-31,89100.0
1999-02-28,89500.0
1999-03-31,89700.0
1999-04-30,89900.0
1999-05-31,89900.0
1999-06-30,89900.0
1999-07-31,90100.0
1999-08-31,90100.0
1999-09-30,90200.0
1999-10-31,90400.0
1999-11-30,90700.0
1999-12-31,90900.0
2000-01-31,91200.0
2000-02-29,91700.0
2000-03-31,92200.0
2000-04-30,92500.0
2000-05-31,92800.0
2000-06-30,93200.0
2000-07-31,93700.0
2000-08-31,94100.0
2000-09-30,94300.0
2000-10-31,94700.0
2000-11-30,95100.0
2000-12-31,95400.0
2001-01-31,95700.0
2001-02-28,96000.0
2001-03-31,96500.0
2001-04-30,97300.0
2001-05-31,98100.0
2001-06-30,98500.0
2001-07-31,98800.0
2001-08-31,99300.0
2001-09-30,99900.0
2001-10-31,100300.0
2001-11-30,100800.0
2001-12-31,101400.0
2002-01-31,102000.0
2002-02-28,102600.0
2002-03-31,103100.0
2002-04-30,103400.0
2002-05-31,103900.0
2002-06-30,104500.0
2002-07-31,105300.0
2002-08-31,105900.0
2002-09-30,106700.0
2002-10-31,107300.0
2002-11-30,108200.0
2002-12-31,109000.0
2003-01-31,109800.0
2003-02-28,110700.0
2003-03-31,111500.0
2003-04-30,112200.0
2003-05-31,113100.0
2003-06-30,114000.0
2003-07-31,114800.0
2003-08-31,115700.0
2003-09-30,116800.0
2003-10-31,117900.0
2003-11-30,118700.0
2003-12-31,119600.0
2004-01-31,120600.0
2004-02-29,121300.0
2004-03-31,122000.0
2004-04-30,122800.0
2004-05-31,123500.0
2004-06-30,124500.0
2004-07-31,125600.0
2004-08-31,126700.0
2004-09-30,127500.0
2004-10-31,128600.0
2004-11-30,129600.0
2004-12-31,130500.0
2005-01-31,131500.0
2005-02-28,132700.0
2005-03-31,133800.0
2005-04-30,135000.0
2005-05-31,136300.0
2005-06-30,137500.0
2005-07-31,138700.0
2005-08-31,140000.0
2005-09-30,141100.0
2005-10-31,142100.0
2005-11-30,143100.0
2005-12-31,144200.0
2006-01-31,145000.0
2006-02-28,145500.0
2006-03-31,146100.0
2006-04-30,146800.0
2006-05-31,147500.0
2006-06-30,148100.0
2006-07-31,148900.0
2006-08-31,149500.0
2006-09-30,149900.0
2006-10-31,150300.0
2006-11-30,150700.0
2006-12-31,150900.0
2007-01-31,151000.0
2007-02-28,151200.0
2007-03-31,151700.0
2007-04-30,152400.0
2007-05-31,152900.0
2007-06-30,153200.0
2007-07-31,153400.0
2007-08-31,153800.0
2007-09-30,154100.0
2007-10-31,154200.0
2007-11-30,154100.0
2007-12-31,153900.0
2008-01-31,153600.0
2008-02-29,153500.0
2008-03-31,153400.0
2008-04-30,153300.0
2008-05-31,153200.0
2008-06-30,153200.0
2008-07-31,153100.0
2008-08-31,152900.0
2008-09-30,152900.0
2008-10-31,153000.0
2008-11-30,153200.0
2008-12-31,153200.0
2009-01-31,153400.0
2009-02-28,153600.0
2009-03-31,153700.0
2009-04-30,153600.0
2009-05-31,153400.0
2009-06-30,153000.0
2009-07-31,152600.0
2009-08-31,152300.0
2009-09-30,152100.0
2009-10-31,151900.0
2009-11-30,151700.0
2009-12-31,151900.0
2010-01-31,152100.0
2010-02-28,152100.0
2010-03-31,151800.0
2010-04-30,151500.0
2010-05-31,151200.0
2010-06-30,150800.0
2010-07-31,150300.0
2010-08-31,149600.0
2010-09-30,148900.0
2010-10-31,148100.0
2010-11-30,147700.0
2010-12-31,147600.0
2011-01-31,147300.0
2011-02-28,146900.0
2011-03-31,146600.0
2011-04-30,145900.0
2011-05-31,145300.0
2011-06-30,144800.0
2011-07-31,144600.0
2011-08-31,144400.0
2011-09-30,144100.0
2011-10-31,143800.0
