Date,all_homes
1996-04-30,113600.0
1996-05-31,114000.0
1996-06-30,114100.0
1996-07-31,114000.0
1996-08-31,113700.0
1996-09-30,113400.0
1996-10-31,113200.0
1996-11-30,113000.0
1996-12-31,113200.0
1997-01-31,113800.0
1997-02-28,114400.0
1997-03-31,114700.0
1997-04-30,114900.0
1997-05-31,114800.0
1997-06-30,114300.0
1997-07-31,114200.0
1997-08-31,114300.0
1997-09-30,114300.0
1997-10-31,114600.0
1997-11-30,115100.0
1997-12-31,115400.0
1998-01-31,115800.0
1998-02-28,116400.0
1998-03-31,116800.0
1998-04-30,116900.0
1998-05-31,117100.0
1998-06-30,117400.0
1998-07-31,117400.0
1998-08-31,117300.0
1998-09-30,117500.0
1998-10-31,117900.0
1998-11-30,118200.0
1998-12-31,118600.0
1999-01-31,119100.0
1999-02-28,119800.0
1999-03-31,120400.0
1999-04-30,121000.0
1999-05-31,121600.0
1999-06-30,122300.0
1999-07-31,123000.0
1999-08-31,124000.0
1999-09-30,124800.0
1999-10-31,125200.0
1999-11-30,126100.0
1999-12-31,127500.0
2000-01-31,129100.0
2000-02-29,131100.0
2000-03-31,133200.0
2000-04-30,134500.0
2000-05-31,135300.0
2000-06-30,136200.0
2000-07-31,137100.0
2000-08-31,138200.0
2000-09-30,139800.0
2000-10-31,141300.0
2000-11-30,142700.0
2000-12-31,144000.0
2001-01-31,145400.0
2001-02-28,146700.0
2001-03-31,148000.0
2001-04-30,149500.0
2001-05-31,151100.0
2001-06-30,152700.0
2001-07-31,154700.0
2001-08-31,156900.0
2001-09-30,159100.0
2001-10-31,161300.0
2001-11-30,163200.0
2001-12-31,165000.0
2002-01-31,167300.0
2002-02-28,169500.0
2002-03-31,171400.0
2002-04-30,173800.0
2002-05-31,176900.0
2002-06-30,180300.0
2002-07-31,183600.0
2002-08-31,186900.0
2002-09-30,190300.0
2002-10-31,193800.0
2002-11-30,197300.0
2002-12-31,200700.0
2003-01-31,203600.0
2003-02-28,206600.0
2003-03-31,209600.0
2003-04-30,212900.0
2003-05-31,216800.0
2003-06-30,220700.0
2003-07-31,224500.0
2003-08-31,228100.0
2003-09-30,231600.0
2003-10-31,235000.0
2003-11-30,238100.0
2003-12-31,241000.0
2004-01-31,244100.0
2004-02-29,247200.0
2004-03-31,250100.0
2004-04-30,252900.0
2004-05-31,255900.0
2004-06-30,259200.0
2004-07-31,262400.0
2004-08-31,265400.0
2004-09-30,268000.0
2004-10-31,270800.0
2004-11-30,273900.0
2004-12-31,276900.0
2005-01-31,279400.0
2005-02-28,282000.0
2005-03-31,284800.0
2005-04-30,287100.0
2005-05-31,288300.0
2005-06-30,289000.0
2005-07-31,289700.0
2005-08-31,290500.0
2005-09-30,291300.0
2005-10-31,292100.0
2005-11-30,292600.0
2005-12-31,292700.0
2006-01-31,292300.0
2006-02-28,291800.0
2006-03-31,291800.0
2006-04-30,292600.0
2006-05-31,293600.0
2006-06-30,293800.0
2006-07-31,293200.0
2006-08-31,292000.0
2006-09-30,290700.0
2006-10-31,289300.0
2006-11-30,287800.0
2006-12-31,286400.0
2007-01-31,285300.0
2007-02-28,284400.0
2007-03-31,283500.0
2007-04-30,282400.0
2007-05-31,281100.0
2007-06-30,279700.0
2007-07-31,278500.0
2007-08-31,277000.0
2007-09-30,275100.0
2007-10-31,273000.0
2007-11-30,271200.0
2007-12-31,269300.0
2008-01-31,267500.0
2008-02-29,265100.0
2008-03-31,261600.0
2008-04-30,257400.0
2008-05-31,253800.0
