Date,all_homes
1996-04-30,80000.0
1996-05-31,80000.0
1996-06-30,80100.0
1996-07-31,80000.0
1996-08-31,79800.0
1996-09-30,79700.0
1996-10-31,79800.0
1996-11-30,80100.0
1996-12-31,80400.0
1997-01-31,80900.0
1997-02-28,81200.0
1997-03-31,81400.0
1997-04-30,81800.0
1997-05-31,82000.0
1997-06-30,82200.0
1997-07-31,82700.0
1997-08-31,83500.0
1997-09-30,83900.0
1997-10-31,84000.0
1997-11-30,84300.0
1997-12-31,84600.0
1998-01-31,84900.0
1998-02-28,85300.0
1998-03-31,85800.0
1998-04-30,86100.0
1998-05-31,86400.0
1998-06-30,86700.0
1998-07-31,87300.0
1998-08-31,88000.0
1998-09-30,88600.0
1998-10-31,89100.0
1998-11-30,89500.0
1998-12-31,89800.0
1999-01-31,90200.0
1999-02-28,90900.0
1999-03-31,91500.0
1999-04-30,92100.0
1999-05-31,92600.0
1999-06-30,92900.0
1999-07-31,93400.0
1999-08-31,94000.0
1999-09-30,94300.0
1999-10-31,94600.0
1999-11-30,95100.0
1999-12-31,95600.0
2000-01-31,96200.0
2000-02-29,96800.0
2000-03-31,97200.0
2000-04-30,97800.0
2000-05-31,98700.0
2000-06-30,99300.0
2000-07-31,99700.0
2000-08-31,99900.0
2000-09-30,100200.0
2000-10-31,100700.0
2000-11-30,101100.0
2000-12-31,101500.0
2001-01-31,101600.0
2001-02-28,101600.0
2001-03-31,101800.0
2001-04-30,102000.0
2001-05-31,102300.0
2001-06-30,102500.0
2001-07-31,102700.0
2001-08-31,102900.0
2001-09-30,103600.0
2001-10-31,104100.0
2001-11-30,104300.0
2001-12-31,104500.0
2002-01-31,104800.0
2002-02-28,105000.0
2002-03-31,105300.0
2002-04-30,105600.0
2002-05-31,105900.0
2002-06-30,106300.0
2002-07-31,106500.0
2002-08-31,106600.0
2002-09-30,106900.0
2002-10-31,107500.0
2002-11-30,108000.0
2002-12-31,108100.0
2003-01-31,108400.0
2003-02-28,108800.0
2003-03-31,109300.0
2003-04-30,109600.0
2003-05-31,109900.0
2003-06-30,110300.0
2003-07-31,110900.0
2003-08-31,111300.0
2003-09-30,111500.0
2003-10-31,111700.0
2003-11-30,112100.0
2003-12-31,112500.0
2004-01-31,112900.0
2004-02-29,113300.0
2004-03-31,114000.0
2004-04-30,114600.0
2004-05-31,115200.0
2004-06-30,115700.0
2004-07-31,116400.0
2004-08-31,117200.0
2004-09-30,117800.0
2004-10-31,118400.0
2004-11-30,119100.0
2004-12-31,120200.0
2005-01-31,121300.0
2005-02-28,122400.0
2005-03-31,123200.0
2005-04-30,124100.0
2005-05-31,124900.0
2005-06-30,125800.0
2005-07-31,126500.0
2005-08-31,127300.0
2005-09-30,128000.0
2005-10-31,129000.0
2005-11-30,129900.0
2005-12-31,130800.0
2006-01-31,131600.0
2006-02-28,132300.0
2006-03-31,132900.0
2006-04-30,133500.0
2006-05-31,133900.0
2006-06-30,134500.0
2006-07-31,135100.0
2006-08-31,135800.0
2006-09-30,136300.0
2006-10-31,136700.0
2006-11-30,137100.0
2006-12-31,137500.0
2007-01-31,137900.0
2007-02-28,138000.0
2007-03-31,137900.0
2007-04-30,137700.0
2007-05-31,137800.0
2007-06-30,137700.0
2007-07-31,137300.0
2007-08-31,137000.0
2007-09-30,136700.0
2007-10-31,136100.0
2007-11-30,135300.0
2007-12-31,134500.0
2008-01-31,134000.0
2008-02-29,133800.0
2008-03-31,133400.0
2008-04-30,133100.0
2008-05-31,132600.0
2008-06-30,132200.0
2008-07-31,132000.0
2008-08-31,132100.0
2008-09-30,132200.0
2008-10-31,132400.0
2008-11-30,132700.0
2008-12-31,133000.0
2009-01-31,133400.0
2009-02-28,133800.0
2009-03-31,134100.0
2009-04-30,134300.0
2009-05-31,134500.0
2009-06-30,134500.0
2009-07-31,134300.0
2009-08-31,133900.0
2009-09-30,133500.0
2009-10-31,133000.0
2009-11-30,132700.0
2009-12-31,131900.0
2010-01-31,130600.0
2010-02-28,129600.0
2010-03-31,129200.0
2010-04-30,128600.0
2010-05-31,128200.0
2010-06-30,127800.0
2010-07-31,127400.0
2010-08-31,126900.0
2010-09-30,126500.0
2010-10-31,126000.0
2010-11-30,125500.0
2010-12-31,125000.0
2011-01-31,124800.0
2011-02-28,124600.0
2011-03-31,124100.0
2011-04-30,123700.0
2011-05-31,123200.0
2011-06-30,122600.0
2011-07-31,122000.0
2011-08-31,121600.0
2011-09-30,121200.0
2011-10-31,121100.0
2011-11-30,120900.0
2011-12-31,121000.0
2012-01-31,121000.0
2012-02-29,120700.0
2012-03-31,120100.0
2012-04-30,120000.0
2012-05-31,120200.0
2012-06-30,120300.0
2012-07-31,120100.0
2012-08-31,119900.0
2012-09-30,120200.0
2012-10-31,120400.0
2012-11-30,120300.0
2012-12-31,120600.0
2013-01-31,121400.0
2013-02-28,121600.0
2013-03-31,121600.0
2013-04-30,122000.0
2013-05-31,122400.0
2013-06-30,122600.0
2013-07-31,122500.0
2013-08-31,122300.0
2013-09-30,122500.0
2013-10-31,123000.0
2013-11-30,123100.0
2013-12-31,123500.0
2014-01-31,124300.0
2014-02-28,124500.0
2014-03-31,124100.0
2014-04-30,124200.0
2014-05-31,124700.0
2014-06-30,124900.0
2014-07-31,124800.0
2014-08-31,125000.0
2014-09-30,125300.0
2014-10-31,125700.0
2014-11-30,126300.0
2014-12-31,125400.0
2015-01-31,123400.0
2015-02-28,122400.0
2015-03-31,122800.0
2015-04-30,123600.0
2015-05-31,124400.0
2015-06-30,124300.0
2015-07-31,126500.0
2015-08-31,128400.0
2015-09-30,127500.0
2015-10-31,126100.0
2015-11-30,126900.0
2015-12-31,127700.0
2016-01-31,128100.0
2016-02-29,130200.0
2016-03-31,134100.0
2016-04-30,134400.0
2016-05-31,132900.0
2016-06-30,134800.0
2016-07-31,137100.0
2016-08-31,137400.0
2016-09-30,138600.0
2016-10-31,139700.0
2016-11-30,140200.0
2016-12-31,141000.0
2017-01-31,142200.0
2017-02-28,143300.0
2017-03-31,143700.0
2017-04-30,144200.0
2017-05-31,144700.0
2017-06-30,144900.0
2017-07-31,144600.0
2017-08-31,144900.0
2017-09-30,145800.0
2017-10-31,146900.0
2017-11-30,147300.0
2017-12-31,148000.0
