Date,all_homes
1996-04-30,70300.0
1996-05-31,70700.0
1996-06-30,71000.0
1996-07-31,71400.0
1996-08-31,71600.0
1996-09-30,72000.0
1996-10-31,72100.0
1996-11-30,72400.0
1996-12-31,72700.0
1997-01-31,73100.0
1997-02-28,73600.0
1997-03-31,74100.0
1997-04-30,74400.0
1997-05-31,74700.0
1997-06-30,75100.0
1997-07-31,75500.0
1997-08-31,75900.0
1997-09-30,76200.0
1997-10-31,76700.0
1997-11-30,77300.0
1997-12-31,77800.0
1998-01-31,78400.0
1998-02-28,78900.0
1998-03-31,79400.0
1998-04-30,79800.0
1998-05-31,80400.0
1998-06-30,80800.0
1998-07-31,81200.0
1998-08-31,81600.0
1998-09-30,82100.0
1998-10-31,82600.0
1998-11-30,82900.0
1998-12-31,83100.0
1999-01-31,83400.0
1999-02-28,84000.0
1999-03-31,84200.0
1999-04-30,84200.0
1999-05-31,84400.0
1999-06-30,84600.0
1999-07-31,84700.0
1999-08-31,84900.0
1999-09-30,85100.0
1999-10-31,85300.0
1999-11-30,85300.0
1999-12-31,85500.0
2000-01-31,85800.0
2000-02-29,86200.0
2000-03-31,86700.0
2000-04-30,86900.0
2000-05-31,87200.0
2000-06-30,87500.0
2000-07-31,87800.0
2000-08-31,87900.0
2000-09-30,88100.0
2000-10-31,88300.0
2000-11-30,88600.0
2000-12-31,88900.0
2001-01-31,89200.0
2001-02-28,89500.0
2001-03-31,89800.0
2001-04-30,90200.0
2001-05-31,90400.0
2001-06-30,90500.0
2001-07-31,90700.0
2001-08-31,90800.0
2001-09-30,90800.0
2001-10-31,91000.0
2001-11-30,91200.0
2001-12-31,91400.0
2002-01-31,91500.0
2002-02-28,91700.0
2002-03-31,91900.0
2002-04-30,92100.0
2002-05-31,92300.0
2002-06-30,92400.0
2002-07-31,92700.0
2002-08-31,93100.0
2002-09-30,93300.0
2002-10-31,93400.0
2002-11-30,93800.0
2002-12-31,94300.0
2003-01-31,94500.0
2003-02-28,94800.0
2003-03-31,95200.0
2003-04-30,95700.0
2003-05-31,95900.0
2003-06-30,96300.0
2003-07-31,96600.0
2003-08-31,97100.0
2003-09-30,97500.0
2003-10-31,97800.0
2003-11-30,98100.0
2003-12-31,98500.0
2004-01-31,98800.0
2004-02-29,99200.0
2004-03-31,99400.0
2004-04-30,99600.0
2004-05-31,100000.0
2004-06-30,100600.0
2004-07-31,101000.0
2004-08-31,101400.0
2004-09-30,102000.0
2004-10-31,102600.0
2004-11-30,103000.0
2004-12-31,103300.0
2005-01-31,103800.0
2005-02-28,104500.0
2005-03-31,105000.0
2005-04-30,105600.0
2005-05-31,106500.0
2005-06-30,107300.0
2005-07-31,108000.0
2005-08-31,108800.0
2005-09-30,109500.0
2005-10-31,110300.0
2005-11-30,111100.0
2005-12-31,111900.0
2006-01-31,112600.0
2006-02-28,113000.0
2006-03-31,113700.0
2006-04-30,114400.0
2006-05-31,114900.0
2006-06-30,115300.0
2006-07-31,115900.0
2006-08-31,116400.0
2006-09-30,117000.0
2006-10-31,117600.0
2006-11-30,118000.0
2006-12-31,118400.0
2007-01-31,118900.0
2007-02-28,119300.0
2007-03-31,119800.0
2007-04-30,120100.0
2007-05-31,120400.0
2007-06-30,120500.0
2007-07-31,120700.0
2007-08-31,120900.0
2007-09-30,120900.0
2007-10-31,120900.0
2007-11-30,120800.0
2007-12-31,120600.0
2008-01-31,120500.0
2008-02-29,120400.0
2008-03-31,120200.0
2008-04-30,119900.0
2008-05-31,119800.0
2008-06-30,119700.0
2008-07-31,119500.0
2008-08-31,119400.0
2008-09-30,119400.0
2008-10-31,119500.0
2008-11-30,119500.0
2008-12-31,119600.0
2009-01-31,119600.0
2009-02-28,119700.0
2009-03-31,119700.0
2009-04-30,119600.0
2009-05-31,119500.0
2009-06-30,119400.0
2009-07-31,119200.0
2009-08-31,119100.0
2009-09-30,119000.0
2009-10-31,118800.0
2009-11-30,118600.0
2009-12-31,118500.0
2010-01-31,118300.0
2010-02-28,118000.0
2010-03-31,117700.0
2010-04-30,117400.0
2010-05-31,117000.0
2010-06-30,116700.0
2010-07-31,116300.0
2010-08-31,116000.0
2010-09-30,115700.0
2010-10-31,115500.0
2010-11-30,115100.0
2010-12-31,114900.0
2011-01-31,114800.0
2011-02-28,114700.0
2011-03-31,114400.0
2011-04-30,114300.0
2011-05-31,114200.0
2011-06-30,114300.0
2011-07-31,114300.0
2011-08-31,114000.0
2011-09-30,113600.0
2011-10-31,113600.0
2011-11-30,113600.0
2011-12-31,113600.0
2012-01-31,113500.0
2012-02-29,113400.0
2012-03-31,113300.0
2012-04-30,113500.0
2012-05-31,113600.0
2012-06-30,113700.0
2012-07-31,114000.0
2012-08-31,114300.0
2012-09-30,114600.0
2012-10-31,114700.0
2012-11-30,114900.0
2012-12-31,115000.0
2013-01-31,115300.0
2013-02-28,115700.0
2013-03-31,116000.0
2013-04-30,116200.0
2013-05-31,116400.0
2013-06-30,116500.0
2013-07-31,116700.0
2013-08-31,116900.0
2013-09-30,117200.0
2013-10-31,117400.0
2013-11-30,117500.0
2013-12-31,117700.0
2014-01-31,118100.0
2014-02-28,118500.0
2014-03-31,119100.0
2014-04-30,119700.0
2014-05-31,120100.0
2014-06-30,120500.0
2014-07-31,120800.0
2014-08-31,120900.0
2014-09-30,120900.0
2014-10-31,121100.0
2014-11-30,121100.0
2014-12-31,121200.0
2015-01-31,121500.0
2015-02-28,122100.0
2015-03-31,122600.0
2015-04-30,123000.0
2015-05-31,123400.0
2015-06-30,123700.0
2015-07-31,124200.0
2015-08-31,124700.0
2015-09-30,125300.0
2015-10-31,126100.0
2015-11-30,126800.0
2015-12-31,127200.0
2016-01-31,127600.0
2016-02-29,128000.0
2016-03-31,128600.0
2016-04-30,129300.0
2016-05-31,129900.0
2016-06-30,130400.0
2016-07-31,131000.0
2016-08-31,131700.0
2016-09-30,132700.0
2016-10-31,133600.0
2016-11-30,134700.0
2016-12-31,135900.0
2017-01-31,136900.0
2017-02-28,137800.0
2017-03-31,138800.0
2017-04-30,139700.0
2017-05-31,140700.0
2017-06-30,141700.0
2017-07-31,142600.0
2017-08-31,143600.0
2017-09-30,144500.0
2017-10-31,145200.0
2017-11-30,145900.0
2017-12-31,146500.0
