Date,all_homes
1996-04-30,
1996-05-31,
1996-06-30,
1996-07-31,
1996-08-31,
1996-09-30,
1996-10-31,
1996-11-30,
1996-12-31,
1997-01-31,
1997-02-28,81200.0
1997-03-31,81600.0
1997-04-30,82000.0
1997-05-31,82400.0
1997-06-30,82900.0
1997-07-31,83400.0
1997-08-31,84000.0
1997-09-30,84600.0
1997-10-31,84800.0
1997-11-30,84500.0
1997-12-31,84400.0
1998-01-31,84600.0
1998-02-28,85000.0
1998-03-31,85400.0
1998-04-30,85700.0
1998-05-31,86100.0
1998-06-30,86400.0
1998-07-31,86800.0
1998-08-31,87000.0
1998-09-30,87200.0
1998-10-31,87600.0
1998-11-30,87700.0
1998-12-31,87700.0
1999-01-31,88300.0
1999-02-28,88900.0
1999-03-31,89500.0
1999-04-30,90200.0
1999-05-31,91100.0
1999-06-30,91800.0
1999-07-31,92400.0
1999-08-31,93000.0
1999-09-30,93500.0
1999-10-31,93800.0
1999-11-30,94100.0
1999-12-31,94200.0
2000-01-31,94400.0
2000-02-29,94400.0
2000-03-31,94500.0
2000-04-30,94900.0
2000-05-31,95300.0
2000-06-30,95500.0
2000-07-31,95700.0
2000-08-31,96000.0
2000-09-30,96500.0
2000-10-31,97000.0
2000-11-30,97200.0
2000-12-31,97300.0
2001-01-31,97400.0
2001-02-28,97700.0
2001-03-31,97800.0
2001-04-30,98100.0
2001-05-31,98300.0
2001-06-30,98500.0
2001-07-31,98800.0
2001-08-31,99200.0
2001-09-30,99500.0
2001-10-31,99900.0
2001-11-30,100200.0
2001-12-31,100300.0
2002-01-31,100700.0
2002-02-28,101200.0
2002-03-31,101500.0
2002-04-30,101600.0
2002-05-31,101900.0
2002-06-30,102300.0
2002-07-31,102800.0
2002-08-31,103200.0
2002-09-30,103800.0
2002-10-31,104400.0
2002-11-30,104900.0
2002-12-31,105100.0
2003-01-31,105300.0
2003-02-28,105600.0
2003-03-31,106100.0
2003-04-30,106400.0
2003-05-31,106500.0
