Date,all_homes
1996-04-30,126400.0
1996-05-31,126500.0
1996-06-30,126800.0
1996-07-31,127400.0
1996-08-31,128300.0
1996-09-30,129200.0
1996-10-31,130000.0
1996-11-30,130800.0
1996-12-31,131800.0
1997-01-31,132700.0
1997-02-28,133400.0
1997-03-31,134200.0
1997-04-30,135200.0
1997-05-31,136100.0
1997-06-30,136700.0
1997-07-31,137400.0
1997-08-31,138400.0
1997-09-30,139100.0
1997-10-31,139500.0
1997-11-30,139900.0
1997-12-31,140100.0
1998-01-31,140400.0
1998-02-28,140900.0
1998-03-31,141500.0
1998-04-30,141800.0
1998-05-31,142000.0
1998-06-30,142200.0
1998-07-31,142400.0
1998-08-31,142800.0
1998-09-30,143200.0
1998-10-31,143600.0
1998-11-30,144200.0
1998-12-31,144800.0
1999-01-31,145200.0
1999-02-28,145500.0
1999-03-31,146200.0
1999-04-30,147100.0
1999-05-31,147700.0
1999-06-30,148200.0
1999-07-31,148900.0
1999-08-31,149100.0
1999-09-30,149500.0
1999-10-31,150900.0
1999-11-30,152700.0
1999-12-31,153800.0
2000-01-31,154200.0
2000-02-29,154700.0
2000-03-31,155400.0
2000-04-30,155900.0
2000-05-31,156500.0
2000-06-30,157100.0
2000-07-31,157400.0
2000-08-31,157800.0
2000-09-30,158700.0
2000-10-31,159400.0
2000-11-30,160000.0
2000-12-31,160900.0
2001-01-31,161800.0
2001-02-28,162100.0
2001-03-31,162300.0
2001-04-30,162700.0
2001-05-31,163000.0
2001-06-30,163100.0
2001-07-31,163200.0
2001-08-31,163300.0
2001-09-30,163600.0
2001-10-31,163900.0
2001-11-30,163900.0
2001-12-31,164000.0
2002-01-31,164400.0
2002-02-28,164900.0
2002-03-31,165000.0
2002-04-30,165000.0
2002-05-31,164800.0
2002-06-30,165100.0
2002-07-31,165600.0
2002-08-31,166100.0
2002-09-30,166200.0
2002-10-31,165700.0
2002-11-30,165200.0
2002-12-31,165100.0
2003-01-31,165400.0
2003-02-28,165400.0
2003-03-31,165300.0
2003-04-30,165200.0
2003-05-31,165000.0
2003-06-30,164900.0
2003-07-31,164900.0
2003-08-31,164600.0
2003-09-30,164400.0
2003-10-31,164400.0
2003-11-30,164300.0
2003-12-31,164300.0
2004-01-31,164500.0
2004-02-29,165000.0
2004-03-31,165400.0
2004-04-30,166000.0
2004-05-31,166900.0
2004-06-30,167800.0
2004-07-31,168400.0
2004-08-31,168900.0
2004-09-30,169200.0
2004-10-31,169400.0
2004-11-30,169900.0
2004-12-31,170600.0
2005-01-31,171300.0
2005-02-28,172200.0
2005-03-31,173500.0
2005-04-30,174900.0
2005-05-31,176500.0
2005-06-30,178100.0
2005-07-31,179900.0
2005-08-31,181800.0
2005-09-30,183600.0
2005-10-31,185400.0
2005-11-30,187100.0
2005-12-31,189100.0
2006-01-31,191500.0
2006-02-28,194100.0
2006-03-31,196700.0
2006-04-30,199600.0
2006-05-31,202700.0
2006-06-30,206100.0
2006-07-31,209700.0
2006-08-31,213500.0
2006-09-30,217800.0
2006-10-31,222300.0
2006-11-30,225800.0
2006-12-31,229600.0
2007-01-31,234200.0
2007-02-28,238300.0
2007-03-31,241500.0
2007-04-30,244600.0
2007-05-31,246800.0
2007-06-30,248500.0
2007-07-31,250000.0
2007-08-31,251600.0
2007-09-30,253200.0
2007-10-31,254700.0
2007-11-30,256100.0
2007-12-31,258100.0
2008-01-31,259700.0
2008-02-29,259500.0
2008-03-31,257700.0
2008-04-30,256000.0
2008-05-31,254600.0
2008-06-30,253500.0
2008-07-31,252500.0
2008-08-31,251700.0
2008-09-30,251000.0
2008-10-31,250300.0
2008-11-30,249200.0
2008-12-31,249200.0
2009-01-31,250000.0
2009-02-28,249800.0
2009-03-31,248400.0
2009-04-30,247300.0
2009-05-31,246400.0
2009-06-30,244500.0
2009-07-31,241600.0
2009-08-31,238400.0
2009-09-30,235000.0
2009-10-31,231900.0
2009-11-30,230900.0
2009-12-31,223700.0
2010-01-31,212600.0
2010-02-28,206300.0
2010-03-31,206000.0
2010-04-30,204700.0
2010-05-31,203100.0
2010-06-30,201300.0
2010-07-31,199500.0
2010-08-31,197200.0
2010-09-30,194500.0
2010-10-31,192300.0
2010-11-30,190500.0
2010-12-31,189700.0
2011-01-31,189600.0
2011-02-28,188900.0
2011-03-31,187600.0
2011-04-30,186500.0
2011-05-31,185100.0
2011-06-30,183800.0
2011-07-31,182600.0
2011-08-31,181500.0
2011-09-30,180700.0
2011-10-31,179700.0
2011-11-30,178200.0
2011-12-31,177800.0
2012-01-31,178400.0
2012-02-29,178800.0
2012-03-31,178200.0
2012-04-30,177700.0
2012-05-31,177200.0
2012-06-30,176900.0
2012-07-31,176700.0
2012-08-31,176900.0
2012-09-30,177700.0
2012-10-31,178600.0
2012-11-30,179300.0
2012-12-31,180600.0
2013-01-31,182600.0
2013-02-28,184000.0
2013-03-31,184800.0
2013-04-30,185400.0
2013-05-31,186600.0
2013-06-30,188900.0
2013-07-31,192100.0
2013-08-31,194900.0
2013-09-30,197100.0
2013-10-31,198700.0
2013-11-30,199800.0
2013-12-31,201500.0
2014-01-31,203400.0
2014-02-28,204600.0
2014-03-31,205100.0
2014-04-30,205800.0
2014-05-31,206300.0
2014-06-30,206700.0
2014-07-31,207200.0
2014-08-31,207800.0
2014-09-30,208100.0
2014-10-31,208200.0
2014-11-30,208200.0
2014-12-31,208500.0
2015-01-31,209400.0
2015-02-28,210400.0
2015-03-31,211300.0
2015-04-30,212200.0
2015-05-31,212900.0
2015-06-30,213700.0
2015-07-31,214700.0
2015-08-31,215800.0
2015-09-30,217100.0
2015-10-31,218700.0
2015-11-30,220100.0
2015-12-31,221600.0
2016-01-31,223300.0
2016-02-29,225100.0
2016-03-31,226700.0
2016-04-30,228300.0
2016-05-31,229500.0
2016-06-30,230600.0
2016-07-31,232000.0
2016-08-31,234300.0
2016-09-30,236700.0
2016-10-31,238400.0
2016-11-30,239400.0
2016-12-31,240600.0
2017-01-31,242200.0
2017-02-28,244200.0
2017-03-31,246200.0
2017-04-30,248300.0
2017-05-31,250100.0
2017-06-30,251800.0
2017-07-31,253200.0
2017-08-31,254100.0
2017-09-30,255200.0
2017-10-31,256700.0
2017-11-30,259200.0
2017-12-31,262200.0
