Date,all_homes
1996-04-30,111600.0
1996-05-31,112200.0
1996-06-30,112600.0
1996-07-31,112800.0
1996-08-31,112900.0
1996-09-30,112700.0
1996-10-31,112800.0
1996-11-30,113100.0
1996-12-31,113300.0
1997-01-31,113500.0
1997-02-28,114000.0
1997-03-31,114400.0
1997-04-30,114300.0
1997-05-31,114300.0
1997-06-30,114500.0
1997-07-31,114500.0
1997-08-31,114600.0
1997-09-30,114900.0
1997-10-31,115200.0
1997-11-30,115600.0
1997-12-31,115800.0
1998-01-31,116200.0
1998-02-28,116800.0
1998-03-31,117200.0
1998-04-30,117300.0
1998-05-31,117500.0
1998-06-30,117600.0
1998-07-31,117600.0
1998-08-31,117600.0
1998-09-30,118000.0
1998-10-31,118400.0
1998-11-30,118600.0
1998-12-31,119000.0
1999-01-31,119600.0
1999-02-28,120100.0
1999-03-31,120500.0
1999-04-30,120800.0
1999-05-31,121300.0
1999-06-30,121900.0
1999-07-31,122400.0
1999-08-31,122800.0
1999-09-30,123300.0
1999-10-31,123900.0
1999-11-30,124500.0
1999-12-31,125100.0
2000-01-31,125900.0
2000-02-29,126800.0
2000-03-31,127800.0
2000-04-30,128400.0
2000-05-31,129000.0
2000-06-30,129600.0
2000-07-31,130300.0
2000-08-31,131000.0
2000-09-30,131700.0
2000-10-31,132300.0
2000-11-30,132900.0
2000-12-31,133700.0
2001-01-31,134700.0
2001-02-28,135600.0
2001-03-31,136500.0
2001-04-30,137700.0
2001-05-31,138700.0
2001-06-30,139600.0
2001-07-31,140700.0
2001-08-31,141700.0
2001-09-30,142500.0
2001-10-31,143200.0
2001-11-30,144200.0
2001-12-31,145300.0
2002-01-31,146400.0
2002-02-28,147400.0
2002-03-31,148500.0
2002-04-30,149700.0
2002-05-31,150900.0
2002-06-30,152000.0
2002-07-31,153300.0
2002-08-31,154600.0
2002-09-30,155900.0
2002-10-31,157100.0
2002-11-30,158300.0
2002-12-31,159700.0
2003-01-31,161100.0
2003-02-28,162600.0
2003-03-31,163900.0
2003-04-30,165200.0
2003-05-31,166500.0
2003-06-30,168000.0
2003-07-31,169700.0
2003-08-31,171400.0
2003-09-30,173200.0
2003-10-31,175100.0
2003-11-30,177100.0
2003-12-31,179200.0
2004-01-31,181600.0
2004-02-29,184000.0
2004-03-31,186400.0
2004-04-30,189000.0
2004-05-31,191900.0
2004-06-30,195200.0
2004-07-31,198600.0
2004-08-31,202200.0
2004-09-30,206200.0
2004-10-31,210500.0
2004-11-30,214400.0
2004-12-31,218000.0
2005-01-31,221700.0
2005-02-28,225500.0
2005-03-31,229400.0
2005-04-30,233300.0
2005-05-31,237100.0
2005-06-30,241000.0
2005-07-31,244900.0
2005-08-31,248600.0
2005-09-30,251800.0
2005-10-31,254700.0
2005-11-30,257600.0
2005-12-31,259500.0
2006-01-31,260500.0
2006-02-28,261500.0
2006-03-31,262800.0
2006-04-30,264100.0
2006-05-31,265200.0
2006-06-30,266000.0
2006-07-31,266600.0
2006-08-31,266900.0
2006-09-30,266700.0
2006-10-31,266500.0
2006-11-30,266400.0
2006-12-31,266200.0
2007-01-31,266300.0
2007-02-28,266700.0
2007-03-31,267100.0
2007-04-30,267200.0
2007-05-31,267300.0
