Date,all_homes
1996-04-30,134400.0
1996-05-31,134800.0
1996-06-30,135100.0
1996-07-31,135100.0
1996-08-31,135200.0
1996-09-30,135400.0
1996-10-31,135900.0
1996-11-30,136300.0
1996-12-31,136800.0
1997-01-31,137600.0
1997-02-28,138500.0
1997-03-31,139100.0
1997-04-30,139700.0
1997-05-31,140400.0
1997-06-30,141300.0
1997-07-31,142100.0
1997-08-31,142900.0
1997-09-30,143600.0
1997-10-31,144300.0
1997-11-30,145000.0
1997-12-31,145900.0
1998-01-31,146700.0
1998-02-28,147500.0
1998-03-31,148000.0
1998-04-30,148600.0
1998-05-31,149200.0
1998-06-30,149900.0
1998-07-31,150900.0
1998-08-31,152000.0
1998-09-30,152700.0
1998-10-31,153000.0
1998-11-30,153600.0
1998-12-31,154600.0
1999-01-31,155600.0
1999-02-28,156500.0
1999-03-31,157000.0
1999-04-30,157500.0
1999-05-31,158200.0
1999-06-30,158900.0
1999-07-31,159500.0
1999-08-31,159900.0
1999-09-30,160700.0
1999-10-31,161700.0
1999-11-30,162700.0
1999-12-31,163500.0
2000-01-31,164300.0
2000-02-29,165200.0
2000-03-31,166300.0
2000-04-30,167300.0
2000-05-31,167900.0
2000-06-30,168500.0
2000-07-31,169100.0
2000-08-31,169900.0
2000-09-30,170500.0
2000-10-31,171000.0
2000-11-30,171300.0
2000-12-31,171800.0
2001-01-31,172400.0
2001-02-28,173300.0
2001-03-31,174200.0
2001-04-30,175100.0
2001-05-31,175800.0
2001-06-30,176300.0
2001-07-31,176900.0
2001-08-31,177500.0
2001-09-30,178100.0
2001-10-31,178900.0
2001-11-30,179700.0
2001-12-31,180200.0
2002-01-31,180800.0
2002-02-28,181800.0
2002-03-31,182600.0
2002-04-30,183000.0
2002-05-31,183400.0
2002-06-30,183900.0
2002-07-31,184500.0
2002-08-31,185000.0
2002-09-30,185600.0
2002-10-31,186400.0
2002-11-30,187500.0
2002-12-31,188700.0
2003-01-31,189800.0
2003-02-28,190600.0
2003-03-31,191400.0
2003-04-30,192300.0
2003-05-31,193100.0
2003-06-30,193900.0
2003-07-31,194800.0
2003-08-31,195800.0
2003-09-30,196900.0
2003-10-31,198000.0
2003-11-30,199200.0
2003-12-31,200600.0
2004-01-31,201900.0
2004-02-29,203400.0
2004-03-31,205100.0
2004-04-30,206800.0
2004-05-31,208900.0
2004-06-30,211300.0
2004-07-31,213700.0
2004-08-31,215900.0
2004-09-30,218300.0
2004-10-31,220600.0
2004-11-30,222900.0
2004-12-31,225300.0
2005-01-31,227900.0
2005-02-28,230600.0
2005-03-31,233500.0
2005-04-30,236900.0
2005-05-31,240600.0
2005-06-30,244300.0
2005-07-31,248100.0
2005-08-31,252300.0
2005-09-30,256300.0
2005-10-31,260200.0
2005-11-30,263800.0
2005-12-31,267300.0
2006-01-31,270400.0
2006-02-28,273300.0
2006-03-31,276200.0
2006-04-30,279300.0
2006-05-31,282300.0
2006-06-30,285200.0
2006-07-31,287900.0
2006-08-31,290300.0
2006-09-30,292400.0
2006-10-31,294400.0
2006-11-30,296200.0
2006-12-31,297500.0
2007-01-31,298700.0
2007-02-28,300100.0
2007-03-31,301100.0
2007-04-30,301500.0
2007-05-31,302000.0
2007-06-30,302500.0
2007-07-31,302800.0
2007-08-31,302900.0
2007-09-30,302800.0
2007-10-31,302000.0
2007-11-30,300600.0
2007-12-31,299000.0
2008-01-31,297400.0
2008-02-29,295700.0
2008-03-31,293900.0
2008-04-30,292100.0
2008-05-31,290300.0
2008-06-30,288200.0
2008-07-31,285700.0
2008-08-31,283200.0
2008-09-30,280900.0
2008-10-31,278900.0
2008-11-30,277000.0
2008-12-31,275200.0
2009-01-31,273500.0
2009-02-28,271700.0
2009-03-31,269400.0
2009-04-30,266500.0
2009-05-31,263500.0
2009-06-30,260700.0
2009-07-31,258500.0
2009-08-31,256800.0
2009-09-30,255300.0
2009-10-31,254100.0
2009-11-30,253100.0
2009-12-31,252000.0
2010-01-31,251100.0
2010-02-28,250200.0
2010-03-31,249300.0
2010-04-30,248500.0
2010-05-31,247200.0
2010-06-30,245300.0
2010-07-31,243300.0
2010-08-31,241300.0
2010-09-30,239200.0
2010-10-31,237200.0
2010-11-30,235500.0
2010-12-31,233700.0
2011-01-31,231900.0
2011-02-28,230200.0
2011-03-31,228900.0
2011-04-30,227400.0
2011-05-31,226000.0
2011-06-30,224700.0
2011-07-31,223600.0
2011-08-31,222500.0
2011-09-30,221200.0
2011-10-31,219600.0
2011-11-30,219000.0
2011-12-31,219000.0
2012-01-31,218800.0
2012-02-29,218300.0
2012-03-31,218200.0
2012-04-30,218400.0
2012-05-31,218500.0
2012-06-30,219200.0
2012-07-31,220100.0
2012-08-31,221000.0
2012-09-30,222000.0
2012-10-31,223500.0
2012-11-30,224800.0
2012-12-31,226400.0
2013-01-31,228200.0
2013-02-28,229700.0
2013-03-31,231000.0
2013-04-30,232800.0
2013-05-31,234900.0
2013-06-30,237200.0
2013-07-31,239300.0
2013-08-31,241200.0
2013-09-30,242700.0
2013-10-31,244000.0
2013-11-30,244800.0
2013-12-31,245500.0
2014-01-31,246500.0
2014-02-28,247700.0
2014-03-31,248600.0
2014-04-30,249300.0
2014-05-31,250200.0
2014-06-30,251300.0
2014-07-31,252800.0
2014-08-31,254400.0
2014-09-30,256000.0
2014-10-31,257500.0
2014-11-30,258900.0
2014-12-31,260200.0
2015-01-31,261300.0
2015-02-28,262800.0
2015-03-31,265300.0
2015-04-30,267900.0
2015-05-31,270300.0
2015-06-30,272600.0
2015-07-31,274900.0
2015-08-31,277000.0
2015-09-30,279000.0
2015-10-31,280700.0
2015-11-30,282600.0
2015-12-31,284600.0
2016-01-31,287200.0
2016-02-29,291000.0
2016-03-31,294900.0
2016-04-30,298200.0
2016-05-31,300900.0
2016-06-30,303100.0
2016-07-31,305000.0
2016-08-31,307200.0
2016-09-30,309900.0
2016-10-31,312900.0
2016-11-30,315900.0
2016-12-31,318500.0
2017-01-31,320600.0
2017-02-28,323100.0
2017-03-31,326000.0
2017-04-30,329300.0
2017-05-31,333200.0
2017-06-30,336500.0
2017-07-31,338800.0
2017-08-31,341200.0
2017-09-30,344100.0
2017-10-31,346600.0
2017-11-30,349100.0
2017-12-31,351300.0
