Date,all_homes
1996-04-30,38200.0
1996-05-31,39000.0
1996-06-30,39800.0
1996-07-31,40300.0
1996-08-31,40500.0
1996-09-30,40400.0
1996-10-31,40200.0
1996-11-30,40200.0
1996-12-31,40200.0
1997-01-31,40200.0
1997-02-28,40300.0
1997-03-31,40500.0
1997-04-30,40600.0
1997-05-31,40600.0
1997-06-30,40700.0
1997-07-31,40700.0
1997-08-31,41000.0
1997-09-30,41200.0
1997-10-31,41300.0
1997-11-30,41300.0
1997-12-31,41600.0
1998-01-31,41900.0
1998-02-28,42400.0
1998-03-31,42600.0
1998-04-30,42800.0
1998-05-31,43100.0
1998-06-30,43600.0
1998-07-31,44000.0
1998-08-31,44400.0
1998-09-30,44900.0
1998-10-31,45200.0
1998-11-30,45300.0
1998-12-31,45400.0
1999-01-31,45600.0
1999-02-28,45800.0
1999-03-31,45900.0
1999-04-30,46000.0
1999-05-31,45900.0
1999-06-30,45800.0
1999-07-31,45900.0
1999-08-31,46100.0
1999-09-30,46600.0
1999-10-31,47200.0
1999-11-30,47700.0
1999-12-31,48200.0
2000-01-31,48700.0
2000-02-29,48700.0
2000-03-31,48700.0
2000-04-30,48600.0
2000-05-31,48500.0
2000-06-30,48200.0
2000-07-31,48000.0
2000-08-31,47600.0
2000-09-30,47400.0
2000-10-31,47500.0
2000-11-30,47600.0
2000-12-31,47700.0
2001-01-31,48000.0
2001-02-28,48600.0
2001-03-31,49000.0
2001-04-30,49400.0
2001-05-31,49700.0
2001-06-30,49700.0
2001-07-31,49800.0
2001-08-31,50000.0
2001-09-30,50200.0
2001-10-31,50300.0
2001-11-30,50200.0
2001-12-31,50000.0
2002-01-31,50100.0
2002-02-28,50500.0
2002-03-31,50800.0
2002-04-30,50800.0
2002-05-31,50600.0
2002-06-30,50600.0
2002-07-31,50900.0
2002-08-31,51200.0
2002-09-30,51600.0
2002-10-31,51900.0
2002-11-30,52200.0
2002-12-31,52200.0
2003-01-31,52100.0
2003-02-28,52300.0
2003-03-31,52600.0
2003-04-30,52600.0
2003-05-31,52700.0
2003-06-30,53200.0
2003-07-31,54000.0
2003-08-31,54400.0
2003-09-30,54800.0
2003-10-31,55400.0
2003-11-30,56100.0
2003-12-31,56800.0
2004-01-31,57300.0
2004-02-29,57200.0
2004-03-31,56900.0
2004-04-30,56500.0
2004-05-31,56000.0
2004-06-30,55500.0
2004-07-31,55200.0
2004-08-31,55400.0
2004-09-30,55600.0
2004-10-31,55800.0
2004-11-30,56300.0
2004-12-31,56900.0
2005-01-31,56900.0
2005-02-28,56500.0
2005-03-31,56900.0
2005-04-30,58400.0
2005-05-31,60500.0
2005-06-30,63100.0
2005-07-31,65300.0
2005-08-31,66300.0
2005-09-30,66300.0
2005-10-31,66000.0
2005-11-30,65700.0
2005-12-31,65500.0
2006-01-31,65900.0
2006-02-28,67000.0
2006-03-31,67800.0
2006-04-30,68300.0
2006-05-31,68900.0
2006-06-30,68100.0
2006-07-31,65900.0
2006-08-31,64000.0
2006-09-30,63400.0
2006-10-31,63300.0
2006-11-30,63000.0
2006-12-31,62300.0
2007-01-31,62000.0
2007-02-28,61800.0
2007-03-31,61500.0
2007-04-30,61100.0
2007-05-31,60700.0
2007-06-30,60500.0
2007-07-31,60900.0
2007-08-31,61500.0
2007-09-30,61900.0
2007-10-31,62000.0
2007-11-30,62200.0
2007-12-31,62900.0
2008-01-31,63800.0
2008-02-29,64400.0
2008-03-31,64700.0
2008-04-30,64900.0
2008-05-31,65200.0
2008-06-30,65600.0
2008-07-31,66700.0
2008-08-31,68800.0
2008-09-30,71400.0
2008-10-31,73700.0
2008-11-30,75900.0
2008-12-31,78100.0
2009-01-31,80200.0
2009-02-28,82300.0
2009-03-31,84600.0
2009-04-30,86800.0
2009-05-31,89000.0
2009-06-30,90400.0
2009-07-31,90600.0
2009-08-31,90300.0
2009-09-30,90100.0
2009-10-31,90300.0
2009-11-30,90700.0
2009-12-31,91000.0
2010-01-31,91000.0
2010-02-28,91100.0
2010-03-31,91000.0
2010-04-30,90700.0
2010-05-31,90300.0
2010-06-30,90200.0
2010-07-31,90600.0
2010-08-31,91100.0
2010-09-30,90700.0
2010-10-31,90300.0
2010-11-30,90300.0
2010-12-31,90200.0
2011-01-31,89600.0
2011-02-28,89100.0
2011-03-31,88600.0
2011-04-30,88000.0
2011-05-31,87700.0
2011-06-30,88100.0
2011-07-31,88500.0
2011-08-31,88300.0
2011-09-30,88200.0
2011-10-31,88100.0
2011-11-30,88000.0
2011-12-31,87900.0
2012-01-31,88000.0
2012-02-29,88100.0
2012-03-31,88200.0
2012-04-30,88400.0
2012-05-31,88500.0
2012-06-30,88700.0
2012-07-31,89000.0
2012-08-31,89400.0
2012-09-30,89500.0
2012-10-31,89700.0
2012-11-30,89800.0
2012-12-31,89900.0
2013-01-31,90000.0
2013-02-28,90100.0
2013-03-31,90200.0
2013-04-30,90200.0
2013-05-31,90000.0
2013-06-30,90000.0
2013-07-31,90200.0
2013-08-31,90400.0
2013-09-30,90500.0
2013-10-31,90600.0
2013-11-30,90500.0
2013-12-31,90500.0
2014-01-31,90700.0
2014-02-28,90900.0
2014-03-31,91200.0
2014-04-30,91700.0
2014-05-31,92200.0
2014-06-30,92600.0
2014-07-31,93100.0
2014-08-31,93400.0
2014-09-30,93600.0
2014-10-31,93900.0
2014-11-30,94100.0
2014-12-31,94100.0
2015-01-31,94100.0
2015-02-28,94300.0
2015-03-31,94700.0
2015-04-30,95400.0
2015-05-31,96000.0
2015-06-30,96600.0
2015-07-31,96900.0
2015-08-31,97200.0
2015-09-30,97400.0
2015-10-31,97400.0
2015-11-30,97100.0
2015-12-31,97000.0
2016-01-31,97000.0
2016-02-29,97100.0
2016-03-31,97500.0
2016-04-30,98000.0
2016-05-31,98400.0
2016-06-30,98700.0
2016-07-31,99200.0
2016-08-31,99700.0
2016-09-30,100300.0
2016-10-31,100800.0
2016-11-30,101000.0
2016-12-31,101400.0
2017-01-31,102100.0
2017-02-28,102800.0
2017-03-31,102900.0
2017-04-30,102500.0
2017-05-31,102100.0
2017-06-30,101900.0
2017-07-31,101800.0
2017-08-31,102000.0
2017-09-30,102300.0
2017-10-31,102800.0
2017-11-30,103300.0
2017-12-31,103500.0
